name,bs_timestamp,rs_timestamp,seq_number,stored,accelx,accely,accelz,breathing_signal,breathing_rate,activity
RESpeckT5,20140625153637.775,780255391,13,0,0.893555,0.025146,-0.177490,nan,nan,0.310973
RESpeckT5,20140625153637.801,780255391,14,0,0.904785,0.136475,-0.174072,nan,nan,0.310973
RESpeckT5,20140625153637.801,780255391,15,0,0.945801,0.111816,-0.183594,nan,nan,0.310973
RESpeckT5,20140625153637.801,780255391,16,0,1.127686,0.166260,-0.274658,nan,nan,0.310973
RESpeckT5,20140625153637.826,780255391,17,0,1.150146,-0.053711,-0.303955,nan,nan,0.310973
RESpeckT5,20140625153637.826,780255391,18,0,1.066895,-0.294678,-0.323486,nan,nan,0.310973
RESpeckT5,20140625153637.826,780255391,19,0,0.930664,0.006348,-0.262451,nan,nan,0.336006
RESpeckT5,20140625153637.852,780255391,20,0,0.716064,-0.066895,-0.172363,nan,nan,0.336006
RESpeckT5,20140625153637.852,780255391,21,0,0.846924,-0.062012,-0.169189,nan,nan,0.336006
RESpeckT5,20140625153637.852,780255391,22,0,0.886963,0.055420,-0.067627,nan,nan,0.336006
RESpeckT5,20140625153637.961,780255391,23,0,0.869873,0.033203,-0.100098,nan,nan,0.336006
RESpeckT5,20140625153637.961,780255391,24,0,1.071533,-0.040283,-0.009033,nan,nan,0.336006
RESpeckT5,20140625153637.961,780255391,25,0,1.238525,0.036377,-0.151367,nan,nan,0.336006
RESpeckT5,20140625153637.996,780255391,26,0,1.094727,-0.059082,-0.212646,nan,nan,0.336006
RESpeckT5,20140625153637.996,780255391,27,0,0.995117,-0.170410,-0.264893,nan,nan,0.336006
RESpeckT5,20140625153637.996,780255391,28,0,0.852051,0.061523,-0.156006,nan,nan,0.336006
RESpeckT5,20140625153638.022,780255391,29,0,0.815918,0.029541,-0.162842,nan,nan,0.336006
RESpeckT5,20140625153638.022,780255391,30,0,0.904297,0.085449,-0.122803,nan,nan,0.336006
RESpeckT5,20140625153638.022,780255391,31,0,0.923828,0.083984,-0.107910,nan,nan,0.336006
RESpeckT5,20140625153639.696,780255811,0,0,0.946777,0.106201,-0.100586,nan,nan,0.336006
RESpeckT5,20140625153639.696,780255811,1,0,1.100830,0.196289,-0.140381,nan,nan,3.656868
RESpeckT5,20140625153639.940,780255811,2,0,1.044678,-0.083984,-0.188721,nan,nan,3.656868
RESpeckT5,20140625153639.940,780255811,3,0,1.113281,-0.157959,-0.167480,nan,nan,3.656868
RESpeckT5,20140625153639.940,780255811,4,0,0.996338,-0.124756,-0.212402,nan,nan,3.656868
RESpeckT5,20140625153639.977,780255811,5,0,0.854980,-0.077148,-0.168701,nan,nan,3.656868
RESpeckT5,20140625153639.977,780255811,6,0,0.907227,-0.034180,-0.191406,nan,nan,3.656868
RESpeckT5,20140625153639.977,780255811,7,0,0.952393,-0.116211,-0.260010,nan,nan,3.656868
RESpeckT5,20140625153640.003,780255811,8,0,0.940186,-0.079834,-0.214111,nan,nan,3.656868
RESpeckT5,20140625153640.003,780255811,9,0,0.905273,-0.098633,-0.262451,nan,nan,3.656868
RESpeckT5,20140625153640.003,780255811,10,0,0.918701,-0.131104,-0.296143,nan,nan,3.656868
