(6, 25538, 25367, 24736, array([-7904.,  -576.,  1840.]), array([ 9709.,   559., -2419.]), array([ 247.,  100., -300.]))
(6, 26487, 26375, 24736, array([-7808.,  -640.,  1968.]), array([ 9750.,   545., -2424.]), array([ 247.,  100., -300.]))
(6, 27436, 27383, 27283, array([-7936.,  -544.,  1792.]), array([ 9722.,   569., -2418.]), array([ 246.,   90., -303.]))
(6, 28859, 28391, 27283, array([-7904.,  -656.,  1872.]), array([ 9777.,   555., -2414.]), array([ 246.,   90., -303.]))
(6, 29808, 29400, 29830, array([-8016.,  -688.,  1744.]), array([ 9750.,   565., -2399.]), array([ 247.,   81., -301.]))
(6, 31231, 30408, 29830, array([-7904.,  -624.,  1952.]), array([ 9739.,   571., -2411.]), array([ 247.,   81., -301.]))
(6, 32181, 31416, 29830, array([-7904.,  -640.,  1856.]), array([ 9798.,   576., -2423.]), array([ 247.,   81., -301.]))
(6, 33130, 33432, 32377, array([-7920.,  -592.,  1904.]), array([ 9783.,   574., -2449.]), array([ 247.,   67., -301.]))
(6, 34554, 34440, 32377, array([-7856.,  -640.,  1872.]), array([ 9795.,   572., -2469.]), array([ 247.,   67., -301.]))
(6, 35503, 35448, 34924, array([-7920.,  -608.,  1968.]), array([ 9821.,   567., -2452.]), array([ 246.,   58., -300.]))
(6, 36452, 36456, 34924, array([-7856.,  -432.,  1936.]), array([ 9845.,   558., -2467.]), array([ 246.,   58., -300.]))
(6, 37876, 37464, 37470, array([-7888.,  -544.,  1856.]), array([ 9825.,   565., -2447.]), array([ 247.,   49., -302.]))
(6, 38825, 38472, 37470, array([-7904.,  -640.,  1840.]), array([ 9807.,   561., -2433.]), array([ 247.,   49., -302.]))
(6, 40249, 39480, 40017, array([-7920.,  -592.,  1952.]), array([ 9824.,   567., -2446.]), array([ 246.,   36., -299.]))
(6, 41199, 40488, 40017, array([-7936.,  -608.,  1936.]), array([ 9873.,   573., -2459.]), array([ 246.,   36., -299.]))
(6, 42148, 41496, 40017, array([-7904.,  -544.,  1952.]), array([ 9908.,   568., -2467.]), array([ 246.,   36., -299.]))
(6, 43572, 43512, 42566, array([-7888.,  -560.,  1968.]), array([ 9917.,   542., -2485.]), array([ 247.,   31., -296.]))
(6, 44521, 44520, 42566, array([-7792.,  -384.,  2160.]), array([ 9931.,   540., -2499.]), array([ 247.,   31., -296.]))
(6, 45470, 45528, 45113, array([-7936.,  -464.,  1952.]), array([ 9947.,   560., -2519.]), array([ 248.,   19., -296.]))
(6, 46893, 46536, 45113, array([-7808.,  -448.,  2048.]), array([ 9958.,   553., -2497.]), array([ 248.,   19., -296.]))
(6, 47842, 47544, 47660, array([-7856.,  -576.,  1920.]), array([ 9948.,   581., -2474.]), array([ 244.,    9., -294.]))
(6, 48791, 48552, 47660, array([-7872.,  -480.,  1952.]), array([ 9975.,   556., -2464.]), array([ 244.,    9., -294.]))
(6, 50214, 49560, 50206, array([-7872.,  -512.,  1952.]), array([ 9969.,   561., -2476.]), array([ 248.,   -1., -292.]))
(6, 51163, 50568, 50206, array([-7888.,  -512.,  1952.]), array([ 9949.,   573., -2498.]), array([ 248.,   -1., -292.]))
(6, 52586, 52584, 50206, array([-7872.,  -496.,  1952.]), array([ 9955.,   559., -2538.]), array([ 248.,   -1., -292.]))
(6, 53535, 53592, 52754, array([-7888.,  -384.,  1904.]), array([ 9962.,   560., -2552.]), array([ 248.,  -10., -288.]))
(6, 54484, 54600, 52754, array([-7888.,  -336.,  1968.]), array([ 9998.,   581., -2569.]), array([ 248.,  -10., -288.]))
(6, 55907, 55608, 55300, array([-7824.,  -448.,  1904.]), array([ 10016.,    611.,  -2551.]), array([ 247.,  -21., -273.]))
(6, 56857, 56616, 55300, array([-7888.,  -560.,  1904.]), array([ 10052.,    606.,  -2525.]), array([ 247.,  -21., -273.]))
(6, 57805, 57624, 57846, array([-7920.,  -400.,  2000.]), array([ 9997.,   593., -2532.]), array([ 247.,  -30., -278.]))
(6, 59229, 58632, 57846, array([-7872.,  -352.,  1984.]), array([ 10035.,    603.,  -2540.]), array([ 247.,  -30., -278.]))
(6, 60179, 59640, 60392, array([-7872.,  -512.,  2000.]), array([ 10016.,    606.,  -2523.]), array([ 247.,  -41., -278.]))
(6, 62552, 62664, 60392, array([-7952.,  -480.,  1904.]), array([ 10038.,    647.,  -2574.]), array([ 247.,  -41., -278.]))
(6, 63501, 63672, 62939, array([-7808.,  -352.,  2080.]), array([ 10081.,    650.,  -2576.]), array([ 249.,  -49., -269.]))
(6, 64924, 64680, 62939, array([-7952.,  -416.,  1920.]), array([ 10108.,    625.,  -2599.]), array([ 249.,  -49., -269.]))
(6, 338, 152, 65486, array([-7904.,  -368.,  2032.]), array([ 10104.,    661.,  -2596.]), array([ 251.,  -59., -264.]))
(6, 1287, 1160, 65486, array([-7920.,  -336.,  1952.]), array([ 10132.,    654.,  -2586.]), array([ 251.,  -59., -264.]))
(6, 2711, 2168, 2496, array([-7888.,  -224.,  1984.]), array([ 10078.,    620.,  -2578.]), array([ 252.,  -66., -263.]))
(6, 3660, 3176, 2496, array([-7872.,  -304.,  2080.]), array([ 10066.,    652.,  -2564.]), array([ 252.,  -66., -263.]))
(6, 4609, 4184, 5043, array([-7904.,  -352.,  2080.]), array([ 10102.,    638.,  -2565.]), array([ 255.,  -74., -254.]))
(6, 6033, 6200, 5043, array([-7856.,  -352.,  2000.]), array([ 10148.,    637.,  -2563.]), array([ 255.,  -74., -254.]))
(6, 6982, 7208, 5043, array([-7904.,  -272.,  2224.]), array([ 10168.,    602.,  -2574.]), array([ 255.,  -74., -254.]))
(6, 8405, 8217, 7589, array([-7904.,  -304.,  2064.]), array([ 10171.,    608.,  -2592.]), array([ 259.,  -83., -249.]))
(6, 9354, 9225, 7589, array([-7952.,  -208.,  2128.]), array([ 10174.,    589.,  -2581.]), array([ 259.,  -83., -249.]))
(6, 10304, 10233, 10137, array([-7968.,  -192.,  2080.]), array([ 10190.,    582.,  -2553.]), array([ 256.,  -88., -244.]))
(6, 11727, 11241, 10137, array([-7952.,  -256.,  2208.]), array([ 10197.,    596.,  -2551.]), array([ 256.,  -88., -244.]))
(6, 12676, 12249, 12684, array([-7904.,  -272.,  2080.]), array([ 10178.,    570.,  -2521.]), array([ 262.,  -99., -229.]))
(6, 13625, 13257, 12684, array([-7824.,  -288.,  2112.]), array([ 10207.,    575.,  -2518.]), array([ 262.,  -99., -229.]))
(6, 15048, 14265, 12684, array([-7888.,  -288.,  2064.]), array([ 10204.,    560.,  -2528.]), array([ 262.,  -99., -229.]))
(6, 15997, 16281, 15230, array([-7792.,  -288.,  1936.]), array([ 10184.,    531.,  -2544.]), array([ 262., -103., -229.]))
(6, 17421, 17289, 15230, array([-7760.,  -144.,  2080.]), array([ 10134.,    525.,  -2576.]), array([ 262., -103., -229.]))
(6, 18371, 18297, 17776, array([-7840.,  -112.,  2016.]), array([ 10183.,    553.,  -2571.]), array([ 260., -112., -222.]))
(6, 19320, 19305, 17776, array([-7760.,  -144.,  2064.]), array([ 10186.,    564.,  -2541.]), array([ 260., -112., -222.]))
(6, 20744, 20313, 20323, array([-7840.,  -224.,  1952.]), array([ 10162.,    574.,  -2531.]), array([ 260., -119., -200.]))
(6, 21693, 21321, 20323, array([-7792.,  -224.,  2080.]), array([ 10210.,    579.,  -2517.]), array([ 260., -119., -200.]))
(6, 22642, 22329, 22870, array([-7920.,  -352.,  1984.]), array([ 10192.,    604.,  -2519.]), array([ 264., -125., -200.]))
(6, 24066, 23337, 22870, array([-7888.,  -256.,  1856.]), array([ 10199.,    589.,  -2541.]), array([ 264., -125., -200.]))
(6, 25015, 24345, 22870, array([-7840.,  -192.,  2032.]), array([ 10211.,    592.,  -2581.]), array([ 264., -125., -200.]))
(6, 26439, 26361, 25416, array([-7872.,  -144.,  2000.]), array([ 10205.,    624.,  -2577.]), array([ 270., -129., -191.]))
(6, 27388, 27369, 25416, array([-7856.,  -128.,  2048.]), array([ 10171.,    620.,  -2546.]), array([ 270., -129., -191.]))
(6, 28337, 28377, 27963, array([-7904.,  -128.,  2000.]), array([ 10180.,    638.,  -2534.]), array([ 268., -136., -191.]))
(6, 29761, 29385, 27963, array([-7952.,  -224.,  2112.]), array([ 10182.,    608.,  -2526.]), array([ 268., -136., -191.]))
(6, 30710, 30393, 30508, array([-7920.,  -208.,  2144.]), array([ 10185.,    623.,  -2538.]), array([ 270., -138., -179.]))
(6, 31659, 31401, 30508, array([-7872.,  -112.,  2096.]), array([ 10184.,    600.,  -2532.]), array([ 270., -138., -179.]))
