(6, 22312, 22022, 20669, array([-7920.,  -608.,  2336.]), array([ 8624.,   626., -3901.]), array([ 251.,  319., -223.]))
(6, 23260, 23030, 23215, array([-7952.,  -624.,  2240.]), array([ 8654.,   615., -3898.]), array([ 249.,  315., -230.]))
(6, 24685, 24038, 23215, array([-8000.,  -640.,  2160.]), array([ 8614.,   622., -3935.]), array([ 249.,  315., -230.]))
(6, 25634, 25046, 25761, array([-7968.,  -592.,  2256.]), array([ 8626.,   620., -3932.]), array([ 242.,  312., -237.]))
(6, 26583, 26054, 25761, array([-8000.,  -640.,  2208.]), array([ 8665.,   617., -3904.]), array([ 242.,  312., -237.]))
(6, 28007, 28070, 25761, array([-7984.,  -448.,  2304.]), array([ 8667.,   637., -3893.]), array([ 242.,  312., -237.]))
(6, 28957, 29078, 28306, array([-7952.,  -528.,  2256.]), array([ 8660.,   635., -3912.]), array([ 242.,  306., -244.]))
(6, 29906, 30086, 28306, array([-7968.,  -640.,  2240.]), array([ 8714.,   624., -3875.]), array([ 242.,  306., -244.]))
(6, 31330, 31094, 30852, array([-8000.,  -720.,  2352.]), array([ 8698.,   609., -3885.]), array([ 239.,  297., -251.]))
(6, 32279, 32102, 30852, array([-8000.,  -640.,  2288.]), array([ 8625.,   630., -3942.]), array([ 239.,  297., -251.]))
(6, 33702, 33110, 33397, array([-8016.,  -640.,  2192.]), array([ 8651.,   615., -3955.]), array([ 235.,  296., -258.]))
(6, 34651, 34118, 33397, array([-7968.,  -656.,  2208.]), array([ 8672.,   596., -3928.]), array([ 235.,  296., -258.]))
(6, 35601, 35126, 35944, array([-8000.,  -672.,  2336.]), array([ 8709.,   618., -3893.]), array([ 233.,  290., -262.]))
(6, 37973, 38150, 35944, array([-7952.,  -640.,  2336.]), array([ 8711.,   621., -3917.]), array([ 233.,  290., -262.]))
(6, 38922, 39158, 38489, array([-7984.,  -688.,  2320.]), array([ 8674.,   644., -3916.]), array([ 227.,  282., -276.]))
(6, 40346, 40166, 38489, array([-7952.,  -688.,  2304.]), array([ 8695.,   651., -3933.]), array([ 227.,  282., -276.]))
(6, 41294, 41174, 41035, array([-7984.,  -672.,  2368.]), array([ 8695.,   606., -3944.]), array([ 227.,  276., -276.]))
(6, 42718, 42182, 41035, array([-7920.,  -640.,  2432.]), array([ 8670.,   649., -3947.]), array([ 227.,  276., -276.]))
(6, 43667, 43190, 43579, array([-7984.,  -624.,  2400.]), array([ 8718.,   647., -3926.]), array([ 225.,  272., -279.]))
(6, 44616, 44198, 43579, array([-7856.,  -624.,  2416.]), array([ 8737.,   644., -3930.]), array([ 225.,  272., -279.]))
(6, 46040, 45206, 43579, array([-7904.,  -704.,  2320.]), array([ 8709.,   654., -3922.]), array([ 225.,  272., -279.]))
(6, 46989, 47222, 46125, array([-7984.,  -736.,  2272.]), array([ 8687.,   660., -3926.]), array([ 222.,  264., -286.]))
(6, 47937, 48230, 46125, array([-7968.,  -736.,  2272.]), array([ 8721.,   644., -3945.]), array([ 222.,  264., -286.]))
(6, 49361, 49238, 48670, array([-7904.,  -720.,  2384.]), array([ 8744.,   614., -3898.]), array([ 220.,  258., -290.]))
(6, 50310, 50246, 48670, array([-7872.,  -752.,  2384.]), array([ 8736.,   652., -3907.]), array([ 220.,  258., -290.]))
(6, 51259, 51254, 51216, array([-7856.,  -768.,  2400.]), array([ 8744.,   663., -3935.]), array([ 218.,  252., -294.]))
(6, 52683, 52262, 51216, array([-7856.,  -688.,  2288.]), array([ 8740.,   660., -3957.]), array([ 218.,  252., -294.]))
(6, 53632, 53270, 53761, array([-7920.,  -688.,  2304.]), array([ 8749.,   628., -3966.]), array([ 217.,  245., -295.]))
(6, 55055, 54278, 53761, array([-7952.,  -768.,  2384.]), array([ 8724.,   595., -3947.]), array([ 217.,  245., -295.]))
(6, 56004, 55286, 53761, array([-7936.,  -736.,  2400.]), array([ 8746.,   630., -3947.]), array([ 217.,  245., -295.]))
(6, 56953, 57303, 56306, array([-7984.,  -752.,  2368.]), array([ 8763.,   594., -3980.]), array([ 212.,  236., -304.]))
(6, 58376, 58311, 56306, array([-7952.,  -752.,  2432.]), array([ 8794.,   601., -3954.]), array([ 212.,  236., -304.]))
(6, 59326, 59319, 58853, array([-8000.,  -784.,  2432.]), array([ 8752.,   614., -3960.]), array([ 208.,  229., -310.]))
(6, 60275, 60327, 58853, array([-7936.,  -736.,  2400.]), array([ 8755.,   635., -3961.]), array([ 208.,  229., -310.]))
(6, 61698, 61335, 61398, array([-7920.,  -640.,  2464.]), array([ 8775.,   639., -3993.]), array([ 208.,  222., -317.]))
(6, 62647, 62343, 61398, array([-8000.,  -640.,  2432.]), array([ 8769.,   613., -3998.]), array([ 208.,  222., -317.]))
(6, 64071, 63351, 63944, array([-7952.,  -656.,  2640.]), array([ 8796.,   568., -3958.]), array([ 209.,  210., -317.]))
(6, 65020, 64359, 63944, array([-7968.,  -704.,  2592.]), array([ 8763.,   592., -3956.]), array([ 209.,  210., -317.]))
(6, 433, 65367, 63944, array([-7904.,  -752.,  2512.]), array([ 8793.,   606., -3937.]), array([ 209.,  210., -317.]))
(6, 1855, 1847, 953, array([-7840.,  -768.,  2416.]), array([ 8768.,   607., -3956.]), array([ 205.,  202., -321.]))
(6, 2804, 2855, 953, array([-7952.,  -768.,  2448.]), array([ 8808.,   606., -3953.]), array([ 205.,  202., -321.]))
(6, 3753, 3863, 3498, array([-7920.,  -800.,  2416.]), array([ 8783.,   614., -3964.]), array([ 205.,  197., -321.]))
(6, 5177, 4871, 3498, array([-7872.,  -736.,  2448.]), array([ 8798.,   601., -3977.]), array([ 205.,  197., -321.]))
(6, 6127, 5879, 6044, array([-7840.,  -720.,  2336.]), array([ 8803.,   577., -3979.]), array([ 202.,  188., -319.]))
(6, 7550, 6887, 6044, array([-7760.,  -800.,  2496.]), array([ 8799.,   566., -3950.]), array([ 202.,  188., -319.]))
(6, 8499, 7895, 8589, array([-7904.,  -848.,  2464.]), array([ 8840.,   593., -3949.]), array([ 202.,  180., -329.]))
(6, 9448, 8903, 8589, array([-7936.,  -768.,  2432.]), array([ 8813.,   612., -3950.]), array([ 202.,  180., -329.]))
(6, 10872, 10919, 8589, array([-7856.,  -688.,  2384.]), array([ 8795.,   598., -4015.]), array([ 202.,  180., -329.]))
(6, 11821, 11927, 11134, array([-7824.,  -720.,  2464.]), array([ 8792.,   615., -3990.]), array([ 197.,  174., -332.]))
(6, 12770, 12935, 11134, array([-7888.,  -736.,  2496.]), array([ 8800.,   611., -3978.]), array([ 197.,  174., -332.]))
(6, 14194, 13943, 13679, array([-7840.,  -720.,  2464.]), array([ 8790.,   614., -3980.]), array([ 199.,  159., -334.]))
(6, 15144, 14951, 13679, array([-7856.,  -688.,  2576.]), array([ 8857.,   592., -3989.]), array([ 199.,  159., -334.]))
(6, 16093, 15959, 16224, array([-7888.,  -672.,  2528.]), array([ 8801.,   605., -3984.]), array([ 197.,  152., -334.]))
(6, 17517, 16967, 16224, array([-7920.,  -640.,  2720.]), array([ 8808.,   625., -3971.]), array([ 197.,  152., -334.]))
(6, 18466, 17975, 18770, array([-7872.,  -704.,  2576.]), array([ 8845.,   626., -3970.]), array([ 198.,  141., -336.]))
(6, 19894, 18983, 18770, array([-7872.,  -736.,  2592.]), array([ 8797.,   624., -4030.]), array([ 198.,  141., -336.]))
(6, 20842, 20999, 18770, array([-7888.,  -736.,  2592.]), array([ 8862.,   611., -3941.]), array([ 198.,  141., -336.]))
(6, 21791, 22007, 21315, array([-7840.,  -800.,  2640.]), array([ 8817.,   645., -3991.]), array([ 195.,  136., -339.]))
(6, 23215, 23015, 21315, array([-7888.,  -704.,  2640.]), array([ 8836.,   611., -4011.]), array([ 195.,  136., -339.]))
(6, 24164, 24023, 23862, array([-7888.,  -656.,  2672.]), array([ 8820.,   591., -4006.]), array([ 197.,  123., -339.]))
(6, 25113, 25031, 23862, array([-7776.,  -704.,  2640.]), array([ 8831.,   582., -4004.]), array([ 197.,  123., -339.]))
(6, 26537, 26039, 26407, array([-7856.,  -832.,  2560.]), array([ 8843.,   614., -3978.]), array([ 197.,  113., -340.]))
(6, 27486, 27047, 26407, array([-7888.,  -832.,  2576.]), array([ 8838.,   613., -3953.]), array([ 197.,  113., -340.]))
(6, 28909, 28055, 26407, array([-7872.,  -672.,  2592.]), array([ 8851.,   623., -3976.]), array([ 197.,  113., -340.]))
(6, 29858, 29063, 28952, array([-7824.,  -688.,  2608.]), array([ 8855.,   605., -4012.]), array([ 194.,  104., -340.]))
(6, 30807, 31079, 28952, array([-7776.,  -672.,  2656.]), array([ 8842.,   582., -4017.]), array([ 194.,  104., -340.]))
(6, 32231, 32087, 31497, array([-7872.,  -640.,  2672.]), array([ 8874.,   634., -3979.]), array([ 194.,   95., -340.]))
(6, 33181, 33095, 31497, array([-7776.,  -576.,  2752.]), array([ 8895.,   636., -4004.]), array([ 194.,   95., -340.]))
(6, 34129, 34104, 34041, array([-7760.,  -528.,  2640.]), array([ 8848.,   632., -4034.]), array([ 193.,   86., -338.]))
