(6, 41948, 41786, 41048, array([-8032.,   704.,   816.]), array([ 9408., -1041.,   454.]), array([ 306.,  -20., -255.]))
(6, 42896, 42794, 41048, array([-8096.,   752.,   880.]), array([ 9384., -1022.,   477.]), array([ 306.,  -20., -255.]))
(6, 43845, 43802, 43592, array([-7984.,   832.,   896.]), array([ 9433.,  -999.,   443.]), array([ 306.,  -30., -250.]))
(6, 45268, 44810, 43592, array([-7968.,   800.,   864.]), array([ 9403., -1024.,   477.]), array([ 306.,  -30., -250.]))
(6, 46217, 45818, 46138, array([-8000.,   720.,   784.]), array([ 9386., -1068.,   506.]), array([ 307.,  -39., -250.]))
(6, 47650, 46826, 46138, array([-8096.,   624.,   848.]), array([ 9367., -1043.,   536.]), array([ 307.,  -39., -250.]))
(6, 48599, 47834, 48684, array([-8000.,   672.,   912.]), array([ 9393., -1009.,   513.]), array([ 305.,  -50., -249.]))
(6, 49548, 49850, 48684, array([-7984.,   784.,   896.]), array([ 9417., -1012.,   451.]), array([ 305.,  -50., -249.]))
(6, 50972, 50858, 48684, array([-8016.,   832.,   816.]), array([ 9450., -1039.,   459.]), array([ 305.,  -50., -249.]))
(6, 51925, 51866, 51229, array([-7968.,   816.,   864.]), array([ 9438., -1038.,   460.]), array([ 307.,  -55., -247.]))
(6, 52874, 52874, 51229, array([-8016.,   784.,   896.]), array([ 9404., -1032.,   457.]), array([ 307.,  -55., -247.]))
(6, 54298, 53882, 53773, array([-7952.,   768.,   928.]), array([ 9414., -1028.,   457.]), array([ 303.,  -66., -240.]))
(6, 55251, 54890, 53773, array([-8016.,   848.,   976.]), array([ 9414., -1026.,   467.]), array([ 303.,  -66., -240.]))
(6, 56200, 55898, 56319, array([-7952.,   864.,   992.]), array([ 9464., -1028.,   469.]), array([ 303.,  -76., -240.]))
(6, 57624, 56906, 56319, array([-8016.,   768.,   976.]), array([ 9413., -1022.,   475.]), array([ 303.,  -76., -240.]))
(6, 58573, 57915, 58864, array([-8000.,   704.,   800.]), array([ 9398., -1032.,   511.]), array([ 303.,  -86., -236.]))
(6, 59997, 59931, 58864, array([-7984.,   768.,   880.]), array([ 9428., -1013.,   439.]), array([ 303.,  -86., -236.]))
(6, 60946, 60939, 58864, array([-8000.,   784.,   928.]), array([ 9463., -1032.,   430.]), array([ 303.,  -86., -236.]))
(6, 61895, 61947, 61408, array([-8048.,   864.,   976.]), array([ 9451., -1030.,   436.]), array([ 300.,  -94., -231.]))
(6, 63319, 62955, 61408, array([-7984.,   864.,   880.]), array([ 9417., -1035.,   455.]), array([ 300.,  -94., -231.]))
(6, 64268, 63963, 63952, array([-7968.,   896.,   976.]), array([ 9407., -1073.,   456.]), array([ 300., -103., -228.]))
(6, 65217, 64971, 63952, array([-7840.,   864.,  1056.]), array([ 9372., -1045.,   464.]), array([ 300., -103., -228.]))
(6, 1105, 443, 961, array([-8048.,   816.,   864.]), array([ 9400., -1008.,   504.]), array([ 300., -108., -225.]))
(6, 2053, 1451, 961, array([-8000.,   800.,   912.]), array([ 9400.,  -976.,   522.]), array([ 300., -108., -225.]))
(6, 3477, 3467, 961, array([-7936.,   864.,   928.]), array([ 9432., -1060.,   453.]), array([ 300., -108., -225.]))
(6, 4426, 4475, 3507, array([-8016.,   896.,   960.]), array([ 9388., -1048.,   472.]), array([ 299., -116., -213.]))
(6, 5376, 5483, 3507, array([-7984.,   928.,  1024.]), array([ 9447.,  -999.,   483.]), array([ 299., -116., -213.]))
(6, 6799, 6491, 6053, array([-8016.,   976.,  1040.]), array([ 9411.,  -990.,   454.]), array([ 299., -125., -213.]))
(6, 7749, 7499, 6053, array([-7968.,  1024.,   992.]), array([ 9413.,  -992.,   442.]), array([ 299., -125., -213.]))
(6, 8697, 8507, 8598, array([-7968.,  1008.,   928.]), array([ 9442., -1034.,   436.]), array([ 301., -134., -209.]))
(6, 10121, 9515, 8598, array([-7968.,   960.,  1024.]), array([ 9380., -1058.,   437.]), array([ 301., -134., -209.]))
(6, 11070, 10523, 11143, array([-7968.,   976.,  1168.]), array([ 9407., -1013.,   492.]), array([ 296., -138., -200.]))
(6, 12494, 11531, 11143, array([-8032.,   896.,  1024.]), array([ 9397., -1020.,   500.]), array([ 296., -138., -200.]))
(6, 13442, 13547, 11143, array([-7920.,   880.,   944.]), array([ 9429., -1037.,   447.]), array([ 296., -138., -200.]))
(6, 14391, 14555, 13688, array([-7920.,   848.,  1008.]), array([ 9395., -1043.,   446.]), array([ 298., -146., -188.]))
(6, 15814, 15563, 13688, array([-7952.,   976.,  1024.]), array([ 9438., -1021.,   436.]), array([ 298., -146., -188.]))
(6, 16764, 16571, 16232, array([-7904.,  1024.,  1072.]), array([ 9441., -1002.,   457.]), array([ 296., -151., -188.]))
(6, 17713, 17579, 16232, array([-7936.,  1008.,  1072.]), array([ 9436., -1006.,   449.]), array([ 296., -151., -188.]))
(6, 19137, 18587, 18777, array([-7904.,  1008.,  1024.]), array([ 9441., -1031.,   456.]), array([ 294., -161., -182.]))
(6, 20085, 19595, 18777, array([-7936.,   992.,   976.]), array([ 9402., -1033.,   483.]), array([ 294., -161., -182.]))
(6, 21034, 20603, 21323, array([-8016.,   976.,   992.]), array([ 9414., -1009.,   486.]), array([ 293., -168., -176.]))
(6, 22458, 22619, 21323, array([-7952.,   976.,  1088.]), array([ 9422., -1024.,   483.]), array([ 293., -168., -176.]))
(6, 23407, 23627, 21323, array([-8016.,   896.,  1024.]), array([ 9421., -1045.,   491.]), array([ 293., -168., -176.]))
(6, 24831, 24635, 23867, array([-8032.,   896.,  1008.]), array([ 9392., -1058.,   484.]), array([ 294., -172., -167.]))
(6, 25780, 25643, 23867, array([-7840.,   960.,   944.]), array([ 9424., -1052.,   445.]), array([ 294., -172., -167.]))
(6, 26729, 26651, 26411, array([-7792.,   880.,   752.]), array([ 9400., -1030.,   444.]), array([ 291., -176., -159.]))
(6, 28153, 27659, 26411, array([-7904.,   880.,   928.]), array([ 9362., -1021.,   493.]), array([ 291., -176., -159.]))
(6, 29102, 28667, 28956, array([-8048.,   976.,   912.]), array([ 9373., -1017.,   501.]), array([ 292., -184., -152.]))
(6, 30051, 29675, 28956, array([-7824.,  1008.,  1136.]), array([ 9408., -1001.,   500.]), array([ 292., -184., -152.]))
(6, 31479, 30683, 31502, array([-7968.,  1072.,  1056.]), array([ 9459., -1002.,   480.]), array([ 294., -186., -135.]))
(6, 32428, 32699, 31502, array([-7952.,   992.,  1040.]), array([ 9451., -1005.,   499.]), array([ 294., -186., -135.]))
(6, 33851, 33707, 31502, array([-7984.,  1040.,   992.]), array([ 9464., -1000.,   457.]), array([ 294., -186., -135.]))
(6, 34800, 34715, 34047, array([-7984.,  1024.,  1088.]), array([ 9418.,  -998.,   442.]), array([ 294., -191., -135.]))
(6, 35749, 35723, 34047, array([-7952.,  1104.,  1088.]), array([ 9434., -1015.,   465.]), array([ 294., -191., -135.]))
(6, 37172, 36731, 36592, array([-7888.,  1104.,   960.]), array([ 9418., -1045.,   486.]), array([ 295., -195., -129.]))
(6, 38121, 37739, 36592, array([-7872.,  1104.,  1072.]), array([ 9434., -1032.,   480.]), array([ 295., -195., -129.]))
(6, 39070, 38747, 39138, array([-8016.,  1120.,  1104.]), array([ 9437., -1016.,   455.]), array([ 292., -198., -121.]))
(6, 40493, 39755, 39138, array([-7952.,  1184.,  1040.]), array([ 9419., -1029.,   463.]), array([ 292., -198., -121.]))
(6, 41442, 40763, 41683, array([-7920.,  1120.,  1200.]), array([ 9454., -1027.,   491.]), array([ 292., -199., -113.]))
(6, 42865, 42780, 41683, array([-7904.,  1072.,  1040.]), array([ 9422., -1051.,   514.]), array([ 292., -199., -113.]))
(6, 43814, 43788, 41683, array([-7952.,  1120.,  1104.]), array([ 9436., -1051.,   483.]), array([ 292., -199., -113.]))
(6, 44764, 44796, 44228, array([-8016.,  1200.,  1040.]), array([ 9432., -1034.,   475.]), array([ 290., -205., -107.]))
(6, 46192, 45804, 44228, array([-7968.,  1232.,  1088.]), array([ 9474., -1006.,   455.]), array([ 290., -205., -107.]))
(6, 47141, 46812, 46773, array([-7984.,  1120.,  1088.]), array([ 9428., -1020.,   479.]), array([ 289., -205.,  -98.]))
(6, 48090, 47820, 46773, array([-8000.,  1120.,  1040.]), array([ 9427., -1029.,   504.]), array([ 289., -205.,  -98.]))
(6, 49513, 48828, 49318, array([-7824.,  1264.,  1136.]), array([ 9484., -1027.,   483.]), array([ 285., -208.,  -90.]))
(6, 50462, 49836, 49318, array([-7952.,  1232.,  1056.]), array([ 9437., -1020.,   463.]), array([ 285., -208.,  -90.]))
(6, 51411, 51852, 51863, array([-7984.,  1152.,  1024.]), array([ 9419., -1012.,   478.]), array([ 288., -212.,  -80.]))
(6, 52834, 52860, 51863, array([-7888.,  1136.,  1056.]), array([ 9397., -1027.,   520.]), array([ 288., -212.,  -80.]))
(6, 53784, 53868, 51863, array([-7824.,  1216.,  1040.]), array([ 9469., -1027.,   467.]), array([ 288., -212.,  -80.]))
