(6, 63416, 63746, 61557, array([-7520.,  -528.,  3936.]), array([ 6537.,   519., -5062.]), array([ 174.,  294., -311.]))
(6, 64839, 64754, 64102, array([-7392.,  -592.,  3888.]), array([ 6566.,   488., -4978.]), array([ 174.,  288., -311.]))
(6, 252, 226, 64102, array([-7408.,  -640.,  3872.]), array([ 6630.,   489., -4927.]), array([ 174.,  288., -311.]))
(6, 1201, 1234, 1111, array([-7424.,  -640.,  3920.]), array([ 6626.,   538., -4935.]), array([ 170.,  282., -319.]))
(6, 2624, 2242, 1111, array([-7312.,  -528.,  3968.]), array([ 6583.,   542., -5007.]), array([ 170.,  282., -319.]))
(6, 3573, 3250, 3656, array([-7344.,  -544.,  3968.]), array([ 6560.,   505., -5015.]), array([ 169.,  280., -324.]))
(6, 4522, 4258, 3656, array([-7360.,  -608.,  3968.]), array([ 6529.,   513., -5008.]), array([ 169.,  280., -324.]))
(6, 5945, 5266, 3656, array([-7408.,  -592.,  3952.]), array([ 6558.,   521., -4966.]), array([ 169.,  280., -324.]))
(6, 6895, 6274, 6200, array([-7392.,  -640.,  4000.]), array([ 6582.,   551., -4940.]), array([ 165.,  273., -325.]))
(6, 8318, 8290, 6200, array([-7376.,  -576.,  4000.]), array([ 6477.,   528., -5030.]), array([ 165.,  273., -325.]))
(6, 9267, 9298, 8745, array([-7376.,  -512.,  3968.]), array([ 6451.,   515., -5043.]), array([ 165.,  269., -327.]))
(6, 10216, 10306, 8745, array([-7344.,  -512.,  4016.]), array([ 6466.,   529., -5010.]), array([ 165.,  269., -327.]))
(6, 11640, 11314, 11290, array([-7440.,  -608.,  4032.]), array([ 6532.,   533., -4942.]), array([ 159.,  261., -333.]))
(6, 12590, 12322, 11290, array([-7392.,  -576.,  4112.]), array([ 6568.,   564., -4932.]), array([ 159.,  261., -333.]))
(6, 13538, 13330, 13834, array([-7440.,  -576.,  4080.]), array([ 6526.,   573., -4963.]), array([ 155.,  258., -333.]))
(6, 14962, 14338, 13834, array([-7344.,  -464.,  4096.]), array([ 6501.,   557., -5003.]), array([ 155.,  258., -333.]))
(6, 15912, 15346, 13834, array([-7424.,  -576.,  4096.]), array([ 6510.,   543., -5015.]), array([ 155.,  258., -333.]))
(6, 18284, 18370, 16378, array([-7456.,  -560.,  4112.]), array([ 6520.,   558., -4923.]), array([ 153.,  256., -341.]))
(6, 19234, 19378, 18923, array([-7424.,  -528.,  4048.]), array([ 6453.,   564., -4958.]), array([ 152.,  244., -341.]))
(6, 20657, 20386, 18923, array([-7408.,  -560.,  4016.]), array([ 6451.,   526., -4989.]), array([ 152.,  244., -341.]))
(6, 21607, 21394, 21468, array([-7312.,  -592.,  4080.]), array([ 6473.,   498., -4943.]), array([ 149.,  241., -342.]))
(6, 22556, 22402, 21468, array([-7344.,  -592.,  4128.]), array([ 6492.,   514., -4862.]), array([ 149.,  241., -342.]))
(6, 23979, 23410, 24013, array([-7312.,  -704.,  4192.]), array([ 6532.,   524., -4816.]), array([ 142.,  231., -353.]))
(6, 24928, 24418, 24013, array([-7312.,  -688.,  4128.]), array([ 6518.,   540., -4872.]), array([ 142.,  231., -353.]))
(6, 26351, 25426, 24013, array([-7232.,  -656.,  4032.]), array([ 6464.,   537., -4931.]), array([ 142.,  231., -353.]))
(6, 27300, 27442, 26558, array([-7312.,  -704.,  4048.]), array([ 6417.,   499., -4944.]), array([ 142.,  228., -353.]))
(6, 28249, 28450, 26558, array([-7264.,  -720.,  4064.]), array([ 6510.,   552., -4894.]), array([ 142.,  228., -353.]))
(6, 29673, 29458, 29103, array([-7280.,  -656.,  4112.]), array([ 6478.,   560., -4860.]), array([ 142.,  219., -351.]))
(6, 30621, 30466, 29103, array([-7232.,  -608.,  4128.]), array([ 6399.,   537., -4915.]), array([ 142.,  219., -351.]))
(6, 31570, 31474, 31647, array([-7280.,  -528.,  4080.]), array([ 6374.,   545., -4987.]), array([ 134.,  215., -357.]))
(6, 32994, 32482, 31647, array([-7232.,  -576.,  4064.]), array([ 6353.,   532., -4934.]), array([ 134.,  215., -357.]))
(6, 33944, 33490, 34193, array([-7312.,  -592.,  4112.]), array([ 6415.,   545., -4880.]), array([ 137.,  209., -360.]))
(6, 34893, 34498, 34193, array([-7312.,  -544.,  4272.]), array([ 6490.,   564., -4820.]), array([ 137.,  209., -360.]))
(6, 36316, 35506, 34193, array([-7296.,  -720.,  4176.]), array([ 6432.,   576., -4825.]), array([ 137.,  209., -360.]))
(6, 37266, 37522, 36739, array([-7264.,  -592.,  4224.]), array([ 6296.,   572., -4925.]), array([ 135.,  199., -358.]))
(6, 38689, 38530, 36739, array([-7296.,  -560.,  4192.]), array([ 6335.,   566., -4860.]), array([ 135.,  199., -358.]))
(6, 39638, 39538, 39284, array([-7264.,  -560.,  4288.]), array([ 6408.,   577., -4831.]), array([ 136.,  192., -363.]))
(6, 40588, 40546, 39284, array([-7344.,  -608.,  4368.]), array([ 6452.,   582., -4780.]), array([ 136.,  192., -363.]))
(6, 42011, 41554, 41829, array([-7312.,  -560.,  4240.]), array([ 6380.,   557., -4841.]), array([ 130.,  187., -366.]))
(6, 42960, 42562, 41829, array([-7184.,  -560.,  4160.]), array([ 6317.,   540., -4870.]), array([ 130.,  187., -366.]))
(6, 43909, 43570, 41829, array([-7184.,  -528.,  4224.]), array([ 6353.,   528., -4840.]), array([ 130.,  187., -366.]))
(6, 45332, 44578, 44376, array([-7104.,  -640.,  4288.]), array([ 6353.,   522., -4821.]), array([ 130.,  181., -365.]))
(6, 46281, 46594, 44376, array([-7168.,  -640.,  4400.]), array([ 6406.,   520., -4758.]), array([ 130.,  181., -365.]))
(6, 47704, 47602, 46922, array([-7200.,  -544.,  4400.]), array([ 6296.,   509., -4810.]), array([ 131.,  172., -368.]))
(6, 48653, 48610, 46922, array([-7152.,  -496.,  4400.]), array([ 6286.,   536., -4860.]), array([ 131.,  172., -368.]))
(6, 49602, 49618, 49468, array([-7104.,  -544.,  4384.]), array([ 6286.,   528., -4841.]), array([ 131.,  166., -368.]))
(6, 51025, 50626, 49468, array([-7168.,  -560.,  4304.]), array([ 6313.,   529., -4778.]), array([ 131.,  166., -368.]))
(6, 51974, 51634, 52013, array([-7088.,  -560.,  4304.]), array([ 6390.,   531., -4746.]), array([ 128.,  159., -369.]))
(6, 52923, 52642, 52013, array([-7056.,  -512.,  4288.]), array([ 6312.,   514., -4780.]), array([ 128.,  159., -369.]))
(6, 54346, 53650, 52013, array([-6992.,  -480.,  4224.]), array([ 6233.,   533., -4845.]), array([ 128.,  159., -369.]))
(6, 55295, 54658, 54557, array([-7072.,  -528.,  4256.]), array([ 6233.,   544., -4887.]), array([ 128.,  152., -369.]))
(6, 56719, 56674, 54557, array([-7200.,  -608.,  4256.]), array([ 6327.,   559., -4714.]), array([ 128.,  152., -369.]))
(6, 57667, 57682, 57102, array([-7168.,  -592.,  4336.]), array([ 6293.,   577., -4690.]), array([ 125.,  145., -373.]))
(6, 58617, 58690, 57102, array([-7168.,  -528.,  4384.]), array([ 6230.,   560., -4754.]), array([ 125.,  145., -373.]))
(6, 60989, 60706, 59648, array([-7088.,  -496.,  4368.]), array([ 6199.,   547., -4817.]), array([ 125.,  143., -373.]))
(6, 61939, 61714, 62195, array([-7152.,  -560.,  4304.]), array([ 6207.,   548., -4762.]), array([ 123.,  130., -374.]))
(6, 63362, 62723, 62195, array([-7184.,  -624.,  4496.]), array([ 6278.,   572., -4664.]), array([ 123.,  130., -374.]))
(6, 64312, 63731, 62195, array([-7168.,  -656.,  4464.]), array([ 6302.,   559., -4650.]), array([ 123.,  130., -374.]))
(6, 65261, 64739, 64740, array([-7216.,  -560.,  4416.]), array([ 6207.,   554., -4737.]), array([ 124.,  125., -373.]))
(6, 1149, 1219, 64740, array([-7120.,  -464.,  4400.]), array([ 6196.,   528., -4794.]), array([ 124.,  125., -373.]))
(6, 2097, 2227, 1749, array([-7168.,  -448.,  4432.]), array([ 6176.,   548., -4729.]), array([ 124.,  115., -373.]))
(6, 3521, 3235, 1749, array([-7136.,  -608.,  4400.]), array([ 6220.,   548., -4643.]), array([ 124.,  115., -373.]))
(6, 4470, 4243, 4294, array([-7248.,  -560.,  4432.]), array([ 6241.,   520., -4672.]), array([ 124.,  111., -370.]))
(6, 5419, 5251, 4294, array([-7104.,  -592.,  4448.]), array([ 6209.,   525., -4715.]), array([ 124.,  111., -370.]))
(6, 6843, 6259, 6840, array([-7024.,  -432.,  4336.]), array([ 6126.,   519., -4765.]), array([ 123.,  104., -376.]))
(6, 7792, 7267, 6840, array([-6976.,  -448.,  4336.]), array([ 6109.,   514., -4770.]), array([ 123.,  104., -376.]))
(6, 8742, 8275, 6840, array([-7008.,  -496.,  4320.]), array([ 6183.,   517., -4716.]), array([ 123.,  104., -376.]))
(6, 10165, 10291, 9385, array([-7040.,  -512.,  4528.]), array([ 6162.,   507., -4648.]), array([ 120.,   96., -375.]))
(6, 11114, 11299, 9385, array([-7056.,  -576.,  4432.]), array([ 6128.,   527., -4744.]), array([ 120.,   96., -375.]))
(6, 12537, 12307, 11930, array([-6992.,  -496.,  4352.]), array([ 6042.,   498., -4779.]), array([ 123.,   88., -373.]))
(6, 13487, 13315, 11930, array([-6912.,  -432.,  4368.]), array([ 6062.,   511., -4745.]), array([ 123.,   88., -373.]))
(6, 14436, 14323, 14476, array([-7024.,  -480.,  4448.]), array([ 6114.,   568., -4697.]), array([ 124.,   84., -373.]))
(6, 16810, 16339, 17021, array([-6992.,  -528.,  4528.]), array([ 6159.,   525., -4621.]), array([ 124.,   74., -373.]))
(6, 17758, 17347, 17021, array([-7040.,  -464.,  4544.]), array([ 6072.,   562., -4695.]), array([ 124.,   74., -373.]))
(6, 19181, 18355, 17021, array([-6944.,  -464.,  4640.]), array([ 6008.,   576., -4719.]), array([ 124.,   74., -373.]))
(6, 20131, 20371, 19567, array([-7104.,  -496.,  4624.]), array([ 6090.,   546., -4632.]), array([ 122.,   69., -374.]))
(6, 22504, 22387, 22113, array([-7072.,  -560.,  4560.]), array([ 6093.,   543., -4614.]), array([ 124.,   64., -373.]))
(6, 23453, 23395, 22113, array([-7008.,  -496.,  4576.]), array([ 6050.,   538., -4658.]), array([ 124.,   64., -373.]))
(6, 24877, 24403, 24659, array([-6976.,  -432.,  4576.]), array([ 6002.,   521., -4695.]), array([ 122.,   57., -371.]))
(6, 25827, 25411, 24659, array([-7024.,  -448.,  4512.]), array([ 6000.,   518., -4656.]), array([ 122.,   57., -371.]))
(6, 26776, 26419, 24659, array([-7024.,  -432.,  4608.]), array([ 6095.,   507., -4591.]), array([ 122.,   57., -371.]))
(6, 28199, 27427, 27205, array([-6992.,  -496.,  4608.]), array([ 6082.,   504., -4554.]), array([ 124.,   52., -369.]))
(6, 29148, 28435, 27205, array([-7008.,  -528.,  4608.]), array([ 6083.,   532., -4594.]), array([ 124.,   52., -369.]))
(6, 30097, 30451, 29750, array([-6944.,  -400.,  4592.]), array([ 5994.,   495., -4657.]), array([ 124.,   43., -372.]))
(6, 31521, 31459, 29750, array([-6880.,  -528.,  4496.]), array([ 5985.,   510., -4627.]), array([ 124.,   43., -372.]))
(6, 32471, 32467, 32296, array([-6912.,  -448.,  4528.]), array([ 6020.,   522., -4592.]), array([ 125.,   32., -366.]))
(6, 33894, 33475, 32296, array([-6944.,  -496.,  4560.]), array([ 6056.,   491., -4558.]), array([ 125.,   32., -366.]))
(6, 34843, 34483, 34842, array([-6944.,  -512.,  4560.]), array([ 6018.,   521., -4579.]), array([ 124.,   27., -366.]))
