(6, 38207, 38029, 37949, array([-7952.,  -256.,  2144.]), array([ 7087.,   420., -2461.]), array([ 311.,  335.,  -66.]))
(6, 39157, 39037, 37949, array([-7904.,  -192.,  2256.]), array([ 7040.,   394., -2488.]), array([ 311.,  335.,  -66.]))
(6, 40581, 40045, 40495, array([-7984.,  -128.,  2128.]), array([ 7050.,   392., -2478.]), array([ 306.,  338.,  -77.]))
(6, 41530, 41053, 40495, array([-7952.,  -144.,  2176.]), array([ 7056.,   357., -2471.]), array([ 306.,  338.,  -77.]))
(6, 42478, 42061, 40495, array([-7984.,  -240.,  2176.]), array([ 7083.,   380., -2494.]), array([ 306.,  338.,  -77.]))
(6, 43902, 43069, 43040, array([-7968.,  -240.,  2208.]), array([ 7085.,   370., -2443.]), array([ 308.,  339.,  -81.]))
(6, 44851, 45085, 43040, array([-7952.,  -160.,  2176.]), array([ 7079.,   370., -2466.]), array([ 308.,  339.,  -81.]))
(6, 45800, 46093, 45585, array([-7920.,  -128.,  2160.]), array([ 7051.,   341., -2515.]), array([ 305.,  339.,  -91.]))
(6, 47224, 47101, 45585, array([-7856.,  -128.,  2096.]), array([ 7078.,   366., -2504.]), array([ 305.,  339.,  -91.]))
(6, 48173, 48109, 48130, array([-7904.,  -288.,  2096.]), array([ 7110.,   373., -2458.]), array([ 305.,  337.,  -96.]))
(6, 49597, 49117, 48130, array([-7824.,  -272.,  2208.]), array([ 7086.,   396., -2472.]), array([ 305.,  337.,  -96.]))
(6, 50546, 50125, 50676, array([-7920.,  -240.,  2192.]), array([ 7092.,   376., -2499.]), array([ 301.,  338., -101.]))
(6, 51495, 51133, 50676, array([-7936.,  -192.,  2064.]), array([ 7073.,   357., -2521.]), array([ 301.,  338., -101.]))
(6, 52919, 52141, 50676, array([-7904.,  -240.,  2032.]), array([ 7101.,   367., -2509.]), array([ 301.,  338., -101.]))
(6, 53869, 53149, 53220, array([-7856.,  -240.,  2160.]), array([ 7111.,   396., -2505.]), array([ 297.,  338., -107.]))
