(6, 59900, 59061, 57882, array([-7968.,  -432.,  2544.]), array([ 8819.,   659., -5267.]), array([ 236.,  321., -253.]))
(6, 60849, 61076, 60426, array([-8016.,  -496.,  2544.]), array([ 8845.,   671., -5254.]), array([ 231.,  316., -268.]))
(6, 62273, 62084, 60426, array([-8160.,  -480.,  2720.]), array([ 8853.,   674., -5224.]), array([ 231.,  316., -268.]))
(6, 63226, 63092, 62973, array([-8112.,  -544.,  2608.]), array([ 8815.,   721., -5257.]), array([ 227.,  312., -268.]))
(6, 64175, 64100, 62973, array([-8144.,  -432.,  2688.]), array([ 8728.,   699., -5305.]), array([ 227.,  312., -268.]))
(6, 63, 65108, 65518, array([-8176.,  -496.,  2672.]), array([ 8783.,   685., -5290.]), array([ 219.,  305., -276.]))
(6, 1012, 580, 65518, array([-8160.,  -464.,  2752.]), array([ 8841.,   698., -5220.]), array([ 219.,  305., -276.]))
(6, 1961, 1588, 65518, array([-8224.,  -448.,  2784.]), array([ 8814.,   674., -5209.]), array([ 219.,  305., -276.]))
(6, 3385, 2596, 2527, array([-8112.,  -448.,  2720.]), array([ 8779.,   656., -5275.]), array([ 217.,  300., -281.]))
(6, 5283, 5620, 5073, array([-8176.,  -512.,  2592.]), array([ 8867.,   611., -5148.]), array([ 212.,  294., -286.]))
(6, 6707, 6628, 5073, array([-8064.,  -512.,  2640.]), array([ 8792.,   566., -5211.]), array([ 212.,  294., -286.]))
(6, 7656, 7636, 7618, array([-7984.,  -544.,  2624.]), array([ 8824.,   577., -5242.]), array([ 213.,  286., -290.]))
(6, 9080, 8644, 7618, array([-8016.,  -640.,  2592.]), array([ 8823.,   601., -5228.]), array([ 213.,  286., -290.]))
(6, 10029, 9652, 10163, array([-8064.,  -528.,  2624.]), array([ 8823.,   566., -5187.]), array([ 206.,  281., -296.]))
(6, 10978, 10660, 10163, array([-8016.,  -560.,  2592.]), array([ 8850.,   566., -5213.]), array([ 206.,  281., -296.]))
(6, 12402, 11668, 10163, array([-7920.,  -496.,  2608.]), array([ 8759.,   587., -5280.]), array([ 206.,  281., -296.]))
(6, 13352, 12676, 12707, array([-7888.,  -576.,  2512.]), array([ 8814.,   560., -5227.]), array([ 201.,  273., -302.]))
(6, 14300, 14692, 12707, array([-7968.,  -672.,  2496.]), array([ 8823.,   594., -5176.]), array([ 201.,  273., -302.]))
(6, 15724, 15700, 15252, array([-7984.,  -656.,  2544.]), array([ 8787.,   599., -5217.]), array([ 191.,  268., -314.]))
(6, 16673, 16708, 15252, array([-7920.,  -656.,  2496.]), array([ 8762.,   609., -5253.]), array([ 191.,  268., -314.]))
