(6, 23065, 23036, 23088, array([-8096.,  -560.,  1552.]), array([ 6007.,   240.,  -281.]), array([ 305., -110., -189.]))
(6, 24488, 24044, 23088, array([-8096.,  -768.,  1472.]), array([ 6016.,   258.,  -371.]), array([ 305., -110., -189.]))
(6, 25438, 25052, 25634, array([-8048.,  -448.,  1648.]), array([ 5917.,   260.,  -494.]), array([ 305., -119., -189.]))
(6, 26388, 26060, 25634, array([-7904.,    80.,  1664.]), array([ 5892.,   254.,  -627.]), array([ 305., -119., -189.]))
(6, 27812, 27068, 25634, array([-7568.,   592.,  1648.]), array([ 5863.,   275.,  -686.]), array([ 305., -119., -189.]))
(6, 28762, 28076, 28181, array([-7824.,   448.,  1584.]), array([ 5851.,   255.,  -583.]), array([ 305., -119., -184.]))
(6, 29711, 30092, 28181, array([-7888.,    32.,  1584.]), array([ 5950.,   224.,  -258.]), array([ 305., -119., -184.]))
(6, 31135, 31100, 30728, array([-8144.,  -784.,  1584.]), array([ 5978.,   229.,  -247.]), array([ 307., -123., -181.]))
(6, 32085, 32108, 30728, array([-8144.,  -864.,  1520.]), array([ 5890.,   225.,  -370.]), array([ 307., -123., -181.]))
(6, 33509, 33116, 33276, array([-8048.,  -256.,  1552.]), array([ 5828.,   238.,  -556.]), array([ 307., -126., -176.]))
(6, 34458, 34124, 33276, array([-7792.,   352.,  1696.]), array([ 5842.,   235.,  -694.]), array([ 307., -126., -176.]))
(6, 35407, 35132, 33276, array([-7664.,   672.,  1632.]), array([ 5807.,   294.,  -685.]), array([ 307., -126., -176.]))
(6, 37781, 37148, 35824, array([-7968.,  -208.,  1520.]), array([ 5891.,   265.,  -325.]), array([ 310., -131., -173.]))
(6, 38730, 38156, 38370, array([-8112.,  -848.,  1568.]), array([ 5910.,   251.,  -214.]), array([ 309., -137., -166.]))
(6, 40154, 40172, 38370, array([-8176.,  -912.,  1568.]), array([ 5844.,   246.,  -416.]), array([ 309., -137., -166.]))
(6, 41103, 41180, 40917, array([-8016.,  -368.,  1536.]), array([ 5835.,   251.,  -631.]), array([ 311., -138., -166.]))
(6, 42526, 42188, 40917, array([-7744.,   560.,  1696.]), array([ 5744.,   253.,  -722.]), array([ 311., -138., -166.]))
(6, 43475, 43196, 43464, array([-7680.,   768.,  1584.]), array([ 5756.,   273.,  -667.]), array([ 306., -142., -158.]))
(6, 44425, 44204, 43464, array([-7760.,   608.,  1600.]), array([ 5830.,   264.,  -488.]), array([ 306., -142., -158.]))
(6, 45849, 45212, 43464, array([-8032.,  -368.,  1536.]), array([ 5851.,   245.,  -289.]), array([ 306., -142., -158.]))
(6, 46798, 46220, 46011, array([-8192.,  -976.,  1536.]), array([ 5897.,   215.,  -189.]), array([ 312., -140., -153.]))
(6, 47747, 47228, 46011, array([-8192., -1024.,  1584.]), array([ 5853.,   222.,  -286.]), array([ 312., -140., -153.]))
(6, 49171, 49244, 48558, array([-7904.,     0.,  1600.]), array([ 5750.,   269.,  -698.]), array([ 310., -143., -149.]))
(6, 50120, 50252, 48558, array([-7760.,   656.,  1504.]), array([ 5723.,   251.,  -733.]), array([ 310., -143., -149.]))
