(1, 27490, 27467, 26453, array([ 7312.,  -512., -3888.]), array([-6530.,   541.,  6751.]), array([-226.,  -17.,  519.]))
(1, 28440, 28476, 26453, array([ 7376.,  -480., -3792.]), array([-6682.,   541.,  6789.]), array([-226.,  -17.,  519.]))
(1, 29864, 29484, 29000, array([ 7440.,  -272., -3872.]), array([-6726.,   545.,  6853.]), array([-230.,  -26.,  515.]))
(1, 30813, 30492, 29000, array([ 7440.,  -288., -3872.]), array([-6713.,   534.,  6888.]), array([-230.,  -26.,  515.]))
(1, 31763, 31500, 31545, array([ 7344.,  -272., -3920.]), array([-6709.,   575.,  6915.]), array([-235.,  -36.,  512.]))
(1, 33186, 32508, 31545, array([ 7216.,  -256., -3952.]), array([-6668.,   534.,  6966.]), array([-235.,  -36.,  512.]))
(1, 34136, 33516, 34090, array([ 7136.,  -256., -3968.]), array([-6648.,   471.,  6971.]), array([-238.,  -41.,  509.]))
(1, 35085, 35533, 34090, array([ 7008.,  -400., -4064.]), array([-6525.,   487.,  6942.]), array([-238.,  -41.,  509.]))
(1, 36509, 36541, 36635, array([ 6912.,  -448., -3984.]), array([-6528.,   504.,  6921.]), array([-241.,  -48.,  508.]))
(1, 37459, 37549, 36635, array([ 6960.,  -368., -3856.]), array([-6496.,   478.,  6913.]), array([-241.,  -48.,  508.]))
(1, 38882, 38557, 36635, array([ 6960.,   -80., -3920.]), array([-6503.,   427.,  6915.]), array([-241.,  -48.,  508.]))
(1, 39832, 39566, 39181, array([ 6896.,    16., -3872.]), array([-6418.,   439.,  6940.]), array([-247.,  -52.,  503.]))
(1, 40781, 40574, 39181, array([ 6976.,     0., -3840.]), array([-6274.,   433.,  6961.]), array([-247.,  -52.,  503.]))
(1, 42204, 41582, 41727, array([ 6944.,  -240., -3968.]), array([-6187.,   428.,  6965.]), array([-249.,  -57.,  501.]))
(1, 43154, 42590, 41727, array([ 6864.,  -352., -4016.]), array([-6047.,   426.,  6949.]), array([-249.,  -57.,  501.]))
