(1, 23425, 23649, 23526, array([ 6848.,  -912., -3296.]), array([ 933.,  343.,  172.]), array([-297.,  132.,  480.]))
(1, 24375, 24657, 23526, array([ 6752.,  -720., -3472.]), array([ 779.,  288.,  213.]), array([-297.,  132.,  480.]))
(1, 25799, 25666, 23526, array([ 6720.,  -528., -3328.]), array([ 675.,  232.,  198.]), array([-297.,  132.,  480.]))
(1, 26749, 26674, 26073, array([ 6784.,  -448., -3360.]), array([ 570.,  199.,  185.]), array([-299.,  132.,  480.]))
(1, 28173, 27682, 26073, array([ 6928.,  -416., -3264.]), array([ 445.,  223.,  163.]), array([-299.,  132.,  480.]))
(1, 29123, 28690, 28619, array([ 6912.,  -416., -3280.]), array([ 347.,  285.,  172.]), array([-299.,  132.,  483.]))
(1, 30073, 29699, 28619, array([ 6928.,  -400., -3328.]), array([ 217.,  318.,  161.]), array([-299.,  132.,  483.]))
(1, 31497, 30707, 31165, array([ 6928.,  -224., -3488.]), array([  71.,  350.,  196.]), array([-300.,  135.,  480.]))
(1, 32446, 31715, 31165, array([ 6928.,  -208., -3616.]), array([  13.,  343.,  213.]), array([-300.,  135.,  480.]))
(1, 33396, 33731, 33710, array([ 6944.,  -192., -3712.]), array([  64.,  319.,  269.]), array([-295.,  135.,  477.]))
(1, 34820, 34740, 33710, array([ 7024.,  -256., -3808.]), array([ 156.,  313.,  296.]), array([-295.,  135.,  477.]))
(1, 35769, 35748, 33710, array([ 6944.,  -256., -3904.]), array([ 289.,  288.,  301.]), array([-295.,  135.,  477.]))
(1, 36719, 36756, 36256, array([ 6896.,  -352., -3872.]), array([ 384.,  232.,  316.]), array([-303.,  136.,  479.]))
(1, 38143, 37764, 36256, array([ 6912.,  -368., -3760.]), array([ 444.,  209.,  334.]), array([-303.,  136.,  479.]))
(1, 39093, 38773, 38801, array([ 6896.,  -400., -3744.]), array([ 498.,  210.,  327.]), array([-303.,  138.,  479.]))
(1, 40517, 39781, 38801, array([ 6864.,  -544., -3696.]), array([ 533.,  214.,  304.]), array([-303.,  138.,  479.]))
(1, 41467, 40789, 41347, array([ 6816.,  -592., -3696.]), array([ 568.,  218.,  284.]), array([-299.,  138.,  476.]))
(1, 42417, 41797, 41347, array([ 6800.,  -672., -3728.]), array([ 501.,  203.,  257.]), array([-299.,  138.,  476.]))
(1, 43840, 43814, 43892, array([ 6784.,  -672., -3808.]), array([ 296.,  216.,  235.]), array([-300.,  139.,  479.]))
(1, 44790, 44822, 43892, array([ 6784.,  -656., -3776.]), array([ 146.,  187.,  195.]), array([-300.,  139.,  479.]))
(1, 45739, 45830, 43892, array([ 6784.,  -624., -3760.]), array([ -12.,  136.,  151.]), array([-300.,  139.,  479.]))
