(1, 36714, 36838, 34535, array([ 7952.,   176., -1392.]), array([ 391.,  122.,   27.]), array([-425.,   65.,  398.]))
(1, 38138, 37846, 37081, array([ 7872.,   144., -1440.]), array([ 404.,  100.,   10.]), array([-420.,   64.,  397.]))
(1, 39088, 38854, 37081, array([ 7920.,   144., -1472.]), array([ 436.,   71.,   36.]), array([-420.,   64.,  397.]))
(1, 40038, 39863, 39627, array([ 7920.,   176., -1440.]), array([ 442.,   67.,   36.]), array([-424.,   65.,  396.]))
(1, 41461, 40871, 39627, array([ 7888.,   176., -1424.]), array([ 435.,   45.,   27.]), array([-424.,   65.,  396.]))
(1, 42411, 41879, 42173, array([ 7888.,   144., -1408.]), array([ 468.,   -2.,   29.]), array([-425.,   64.,  396.]))
(1, 43360, 42887, 42173, array([ 7904.,   144., -1360.]), array([ 468.,   37.,   43.]), array([-425.,   64.,  396.]))
(1, 44785, 43895, 44720, array([ 7888.,   176., -1456.]), array([ 471.,   29.,   41.]), array([-421.,   66.,  397.]))
(1, 45734, 45911, 44720, array([ 7936.,   144., -1440.]), array([ 431.,   40.,   50.]), array([-421.,   66.,  397.]))
(1, 46684, 46919, 44720, array([ 7904.,   128., -1360.]), array([ 443.,   47.,   54.]), array([-421.,   66.,  397.]))
(1, 48108, 47928, 47266, array([ 7920.,   112., -1392.]), array([ 369.,   56.,   51.]), array([-422.,   63.,  395.]))
(1, 49058, 48936, 47266, array([ 7888.,   128., -1376.]), array([ 368.,   56.,   46.]), array([-422.,   63.,  395.]))
(1, 50482, 49944, 49812, array([ 7968.,    80., -1392.]), array([ 371.,   90.,   42.]), array([-424.,   67.,  401.]))
(1, 51431, 50952, 49812, array([ 7904.,    80., -1408.]), array([ 332.,   99.,   56.]), array([-424.,   67.,  401.]))
(1, 52381, 51960, 52358, array([ 7904.,    80., -1360.]), array([ 305.,   98.,   53.]), array([-427.,   67.,  396.]))
(1, 53805, 52968, 52358, array([ 7888.,    96., -1376.]), array([ 277.,  103.,   37.]), array([-427.,   67.,  396.]))
(1, 54755, 54984, 54903, array([ 7920.,   128., -1408.]), array([ 187.,  117.,    0.]), array([-422.,   69.,  399.]))
(1, 55704, 55993, 54903, array([ 7888.,   112., -1392.]), array([ 107.,  108.,   -6.]), array([-422.,   69.,  399.]))
(1, 57128, 57001, 54903, array([ 7920.,    48., -1424.]), array([ 127.,   49.,   13.]), array([-422.,   69.,  399.]))
(1, 58078, 58009, 57449, array([ 7936.,    48., -1440.]), array([ 93.,  77.,  -5.]), array([-423.,   69.,  396.]))
(1, 59502, 59017, 57449, array([ 7904.,   128., -1456.]), array([  72.,  111.,   -6.]), array([-423.,   69.,  396.]))
(1, 60451, 60025, 59996, array([ 7888.,   160., -1488.]), array([ 109.,  101.,  -13.]), array([-425.,   65.,  394.]))
(1, 61400, 61033, 59996, array([ 7968.,   128., -1456.]), array([  97.,  122.,  -18.]), array([-425.,   65.,  394.]))
(1, 62824, 62041, 62541, array([ 7888.,   192., -1440.]), array([ 107.,  154.,  -37.]), array([-425.,   67.,  394.]))
(1, 63773, 63049, 62541, array([ 7888.,   192., -1408.]), array([  83.,  140.,  -24.]), array([-425.,   67.,  394.]))
(1, 64722, 65066, 65088, array([ 7968.,   224., -1440.]), array([ 119.,  114.,    1.]), array([-426.,   66.,  395.]))
(1, 610, 538, 65088, array([ 7936.,   208., -1408.]), array([ 132.,  127.,   29.]), array([-426.,   66.,  395.]))
(1, 1560, 1546, 65088, array([ 7952.,   192., -1472.]), array([ 175.,  125.,   12.]), array([-426.,   66.,  395.]))
(1, 2984, 2554, 2096, array([ 7904.,   176., -1392.]), array([ 166.,  144.,   43.]), array([-424.,   68.,  396.]))
(1, 3933, 3562, 2096, array([ 7920.,   208., -1424.]), array([ 190.,  147.,   27.]), array([-424.,   68.,  396.]))
(1, 4882, 4570, 4643, array([ 7920.,   192., -1408.]), array([ 240.,  157.,   40.]), array([-424.,   65.,  396.]))
(1, 6306, 5578, 4643, array([ 7888.,   256., -1504.]), array([ 237.,  168.,   43.]), array([-424.,   65.,  396.]))
(1, 7255, 6587, 7189, array([ 7856.,   208., -1504.]), array([ 275.,  180.,   40.]), array([-421.,   67.,  396.]))
(1, 8205, 8603, 7189, array([ 7840.,   176., -1472.]), array([ 284.,  177.,   39.]), array([-421.,   67.,  396.]))
(1, 9629, 9611, 7189, array([ 7760.,   192., -1584.]), array([ 300.,  158.,   54.]), array([-421.,   67.,  396.]))
(1, 10578, 10619, 9736, array([ 7760.,   176., -1552.]), array([ 264.,  162.,   30.]), array([-428.,   68.,  399.]))
(1, 11528, 11627, 9736, array([ 7712.,   192., -1600.]), array([ 279.,  172.,   22.]), array([-428.,   68.,  399.]))
(1, 12952, 12635, 12282, array([ 7744.,   224., -1600.]), array([ 249.,  190.,    3.]), array([-422.,   68.,  396.]))
(1, 13901, 13644, 12282, array([ 7760.,   256., -1648.]), array([ 247.,  210.,    6.]), array([-422.,   68.,  396.]))
(1, 15325, 14652, 14829, array([ 7696.,   256., -1728.]), array([ 222.,  243.,   19.]), array([-426.,   67.,  399.]))
(1, 16275, 15660, 14829, array([ 7632.,   192., -1776.]), array([ 156.,  260.,   31.]), array([-426.,   67.,  399.]))
(1, 17224, 16668, 17375, array([ 7632.,   128., -2032.]), array([ 135.,  244.,   58.]), array([-424.,   70.,  394.]))
(1, 18649, 18684, 17375, array([ 7680.,     0., -2176.]), array([ -65.,  252.,   60.]), array([-424.,   70.,  394.]))
(1, 19598, 19692, 17375, array([ 7616.,     0., -2336.]), array([-159.,  221.,   68.]), array([-424.,   70.,  394.]))
(1, 20547, 20700, 19920, array([ 7648.,    32., -2416.]), array([-302.,  234.,   72.]), array([-421.,   66.,  395.]))
(1, 21970, 21709, 19920, array([ 7632.,    32., -2496.]), array([-460.,  207.,   75.]), array([-421.,   66.,  395.]))
(1, 22920, 22717, 22467, array([ 7664.,     0., -2560.]), array([-620.,  179.,   50.]), array([-426.,   68.,  396.]))
(1, 24343, 23725, 22467, array([ 7728.,    48., -2656.]), array([-784.,  117.,   40.]), array([-426.,   68.,  396.]))
(1, 25293, 24733, 25013, array([ 7744.,    80., -2592.]), array([-988.,   84.,   43.]), array([-426.,   65.,  396.]))
(1, 26242, 25741, 25013, array([ 7776.,   144., -2640.]), array([-1182.,    41.,    27.]), array([-426.,   65.,  396.]))
(1, 27665, 26749, 27559, array([ 7824.,   240., -2656.]), array([-1334.,   -22.,     0.]), array([-426.,   63.,  395.]))
(1, 28614, 28765, 27559, array([ 7824.,   304., -2688.]), array([-1570.,  -135.,   -18.]), array([-426.,   63.,  395.]))
(1, 29563, 29774, 27559, array([ 7840.,   432., -2656.]), array([-1632.,  -131.,   -38.]), array([-426.,   63.,  395.]))
(1, 30987, 30782, 30106, array([ 7952.,   688., -2688.]), array([-1620.,  -223.,   -77.]), array([-425.,   60.,  396.]))
(1, 31936, 31790, 30106, array([ 7968.,   608., -2736.]), array([-1478.,  -231.,  -146.]), array([-425.,   60.,  396.]))
