(1, 45441, 44772, 44276, array([ 4144., -1728., -1728.]), array([ 2567., -3963.,   832.]), array([ -55.,  201.,  553.]))
(1, 46390, 46789, 46823, array([ 4128., -1680., -1776.]), array([ 1848., -3534.,   934.]), array([ -49.,  205.,  556.]))
(1, 47814, 47797, 46823, array([ 4160., -1360., -1584.]), array([ 1605., -3312.,   999.]), array([ -49.,  205.,  556.]))
(1, 48763, 48805, 46823, array([ 4224., -1424., -1552.]), array([ 1418., -3076.,  1028.]), array([ -49.,  205.,  556.]))
(1, 50187, 49813, 49370, array([ 4160., -1248., -1584.]), array([ 1260., -2831.,  1032.]), array([ -41.,  204.,  555.]))
(1, 51136, 50821, 49370, array([ 4080., -1104., -1824.]), array([ 1162., -2633.,  1061.]), array([ -41.,  204.,  555.]))
(1, 52085, 51830, 51916, array([ 4096.,  -928., -2032.]), array([ 1066., -2426.,  1010.]), array([ -37.,  208.,  553.]))
(1, 53509, 52838, 51916, array([ 4096.,  -752., -2160.]), array([ 1184., -2255.,   980.]), array([ -37.,  208.,  553.]))
(1, 54459, 53846, 54461, array([ 4032.,  -912., -2208.]), array([ 1229., -2064.,   899.]), array([ -26.,  209.,  553.]))
(1, 55882, 55862, 54461, array([ 4032.,  -880., -2448.]), array([ 1416., -1740.,   727.]), array([ -26.,  209.,  553.]))
(1, 56832, 56871, 57007, array([ 3904.,  -768., -2528.]), array([ 1435., -1629.,   648.]), array([ -26.,  215.,  553.]))
(1, 57781, 57879, 57007, array([ 3808.,  -768., -2448.]), array([ 1574., -1493.,   563.]), array([ -26.,  215.,  553.]))
(1, 59206, 58887, 57007, array([ 3616., -1024., -2784.]), array([ 1671., -1371.,   437.]), array([ -26.,  215.,  553.]))
(1, 60155, 59895, 59554, array([ 3584., -1168., -2752.]), array([ 1772., -1266.,   331.]), array([ -22.,  219.,  554.]))
(1, 61105, 60903, 59554, array([ 3520., -1152., -2976.]), array([ 1878., -1197.,   225.]), array([ -22.,  219.,  554.]))
(1, 62528, 61912, 62100, array([ 3536., -1232., -3200.]), array([ 1893., -1116.,   151.]), array([ -16.,  219.,  552.]))
(1, 63477, 62920, 62100, array([ 3488., -1280., -3296.]), array([ 1940., -1027.,    80.]), array([ -16.,  219.,  552.]))
(1, 64426, 63928, 64646, array([ 3280., -1312., -3440.]), array([ 1968.,  -996.,    23.]), array([ -16.,  225.,  552.]))
(1, 314, 408, 64646, array([ 3056., -1616., -3744.]), array([  2.03000000e+03,  -9.18000000e+02,  -2.00000000e+00]), array([ -16.,  225.,  552.]))
(1, 1263, 1416, 64646, array([ 2864., -1856., -3920.]), array([ 2026.,  -872.,   -35.]), array([ -16.,  225.,  552.]))
(1, 2687, 2425, 1656, array([ 2720., -2064., -4096.]), array([ 2083.,  -813.,  -100.]), array([ -13.,  228.,  551.]))
(1, 3637, 3433, 1656, array([ 2752., -2096., -4288.]), array([ 2002.,  -711.,  -127.]), array([ -13.,  228.,  551.]))
(1, 4586, 4441, 4202, array([ 2720., -2128., -4400.]), array([ 1860.,  -667.,  -133.]), array([ -13.,  233.,  551.]))
(1, 6010, 5449, 4202, array([ 2736., -2384., -4400.]), array([ 1853.,  -661.,  -145.]), array([ -13.,  233.,  551.]))
(1, 6959, 6457, 6748, array([ 2752., -2672., -4416.]), array([ 1817.,  -651.,  -107.]), array([ -11.,  235.,  547.]))
(1, 7909, 7466, 6748, array([ 2768., -2848., -4512.]), array([ 1684.,  -594.,   -61.]), array([ -11.,  235.,  547.]))
(1, 9332, 8474, 9293, array([ 2800., -3104., -4576.]), array([ 1414.,  -623.,   -12.]), array([  -9.,  238.,  549.]))
(1, 10281, 10490, 9293, array([ 2848., -3072., -4592.]), array([ 835., -484.,  121.]), array([  -9.,  238.,  549.]))
