(1, 2959, 3140, 786, array([ 6208.,   704., -2400.]), array([-330.,  481., -610.]), array([-301., -205.,  428.]))
(1, 3908, 4148, 3331, array([ 6192.,   688., -2144.]), array([-363.,  531., -564.]), array([-302., -206.,  430.]))
(1, 5331, 5156, 3331, array([ 6192.,   608., -2064.]), array([-477.,  603., -520.]), array([-302., -206.,  430.]))
(1, 6280, 6164, 5875, array([ 6176.,   576., -2000.]), array([-544.,  677., -466.]), array([-301., -204.,  426.]))
(1, 7703, 7172, 5875, array([ 6208.,   608., -1968.]), array([-692.,  739., -429.]), array([-301., -204.,  426.]))
(1, 8652, 8180, 8420, array([ 6240.,   592., -1936.]), array([-885.,  825., -386.]), array([-302., -209.,  426.]))
(1, 9602, 9189, 8420, array([ 6256.,   752., -1840.]), array([-1068.,   898.,  -354.]), array([-302., -209.,  426.]))
(1, 11025, 10197, 10964, array([ 6144.,   848., -1744.]), array([-1222.,   980.,  -336.]), array([-302., -210.,  423.]))
(1, 11974, 12213, 10964, array([ 6080.,   928., -1760.]), array([-1616.,  1160.,  -261.]), array([-302., -210.,  423.]))
(1, 12923, 13221, 10964, array([ 6080.,   960., -1824.]), array([-1713.,  1243.,  -264.]), array([-302., -210.,  423.]))
(1, 14347, 14229, 13508, array([ 6096.,  1056., -1824.]), array([-1762.,  1392.,  -221.]), array([-300., -214.,  418.]))
(1, 15296, 15238, 13508, array([ 6192.,  1136., -1888.]), array([-1856.,  1532.,  -211.]), array([-300., -214.,  418.]))
(1, 16719, 16246, 16052, array([ 6240.,  1152., -2032.]), array([-1840.,  1645.,  -205.]), array([-302., -214.,  417.]))
(1, 17668, 17254, 16052, array([ 6208.,  1168., -2112.]), array([-1748.,  1781.,  -171.]), array([-302., -214.,  417.]))
(1, 18618, 18262, 18597, array([ 6240.,  1232., -2128.]), array([-1686.,  1894.,  -160.]), array([-311., -220.,  410.]))
(1, 20042, 19270, 18597, array([ 6240.,  1248., -2224.]), array([-1593.,  2014.,  -152.]), array([-311., -220.,  410.]))
(1, 20991, 20278, 21142, array([ 6304.,  1232., -2192.]), array([-1482.,  2153.,   -97.]), array([-308., -222.,  403.]))
(1, 21940, 22295, 21142, array([ 6368.,  1280., -2160.]), array([-1177.,  2338.,     5.]), array([-308., -222.,  403.]))
(1, 23364, 23303, 21142, array([ 6464.,  1312., -2000.]), array([-1049.,  2486.,    71.]), array([-308., -222.,  403.]))
(1, 24313, 24311, 23686, array([ 6640.,  1264., -1984.]), array([ -988.,  2587.,   112.]), array([-312., -217.,  401.]))
(1, 25737, 25319, 23686, array([ 6784.,  1200., -1792.]), array([ -975.,  2691.,   156.]), array([-312., -217.,  401.]))
(1, 26686, 26327, 26230, array([ 6832.,  1120., -1712.]), array([ -957.,  2813.,   245.]), array([-318., -219.,  389.]))
(1, 27636, 27335, 26230, array([ 6896.,  1008., -1552.]), array([ -973.,  2929.,   325.]), array([-318., -219.,  389.]))
(1, 29059, 28344, 28775, array([ 6928.,   896., -1344.]), array([-1067.,  3010.,   422.]), array([-318., -219.,  389.]))
(1, 30008, 29352, 28775, array([ 6816.,   880., -1344.]), array([-1210.,  3070.,   526.]), array([-318., -219.,  389.]))
(1, 30957, 30360, 31319, array([ 6656.,   832., -1312.]), array([-1434.,  3147.,   586.]), array([-323., -222.,  384.]))
(1, 33329, 33384, 31319, array([ 6304.,  1104., -1680.]), array([-2125.,  3445.,   838.]), array([-323., -222.,  384.]))
(1, 34278, 34393, 33864, array([ 6304.,  1184., -1936.]), array([-2222.,  3591.,   923.]), array([-330., -223.,  370.]))
(1, 35702, 35401, 33864, array([ 6432.,  1472., -2352.]), array([-2208.,  3772.,  1006.]), array([-330., -223.,  370.]))
(1, 36652, 36409, 36408, array([ 6528.,  1616., -2592.]), array([-2057.,  3943.,  1108.]), array([-345., -222.,  363.]))
(1, 38075, 37417, 36408, array([ 6768.,  1920., -2848.]), array([-1848.,  4124.,  1241.]), array([-345., -222.,  363.]))
(1, 39024, 38425, 38953, array([ 6960.,  2064., -3008.]), array([-1571.,  4338.,  1409.]), array([-339., -222.,  363.]))
(1, 39973, 39433, 38953, array([ 7072.,  2144., -3056.]), array([-1229.,  4534.,  1536.]), array([-339., -222.,  363.]))
(1, 41397, 41450, 38953, array([ 7296.,  2176., -3040.]), array([ -292.,  4878.,  1814.]), array([-339., -222.,  363.]))
(1, 42347, 42458, 41497, array([ 7456.,  2160., -3104.]), array([  146.,  5041.,  1935.]), array([-346., -216.,  354.]))
(1, 43296, 43466, 41497, array([ 7552.,  2064., -3056.]), array([  521.,  5193.,  2055.]), array([-346., -216.,  354.]))
(1, 44721, 44474, 44042, array([ 7648.,  1952., -3056.]), array([  908.,  5246.,  2146.]), array([-356., -215.,  346.]))
(1, 45670, 45482, 44042, array([ 7680.,  1824., -2864.]), array([ 1177.,  5313.,  2204.]), array([-356., -215.,  346.]))
(1, 47093, 46491, 46586, array([ 7728.,  1664., -2688.]), array([ 1403.,  5401.,  2279.]), array([-365., -211.,  338.]))
(1, 48042, 47499, 46586, array([ 7696.,  1600., -2608.]), array([ 1533.,  5500.,  2335.]), array([-365., -211.,  338.]))
(1, 48991, 48507, 49129, array([ 7744.,  1536., -2512.]), array([ 1556.,  5518.,  2345.]), array([-372., -200.,  333.]))
(1, 50415, 49515, 49129, array([ 7920.,  1536., -2576.]), array([ 1511.,  5547.,  2306.]), array([-372., -200.,  333.]))
(1, 51365, 51531, 49129, array([ 8112.,  1584., -2640.]), array([ 1273.,  5532.,  2264.]), array([-372., -200.,  333.]))
(1, 52314, 52540, 51675, array([ 8192.,  1552., -2624.]), array([ 1089.,  5554.,  2194.]), array([-378., -196.,  319.]))
(1, 53737, 53548, 51675, array([ 8336.,  1536., -2624.]), array([  891.,  5520.,  2130.]), array([-378., -196.,  319.]))
(1, 54687, 54556, 54219, array([ 8464.,  1568., -2592.]), array([  683.,  5471.,  2070.]), array([-394., -190.,  313.]))
(1, 56110, 55564, 54219, array([ 8608.,  1632., -2656.]), array([  415.,  5403.,  1983.]), array([-394., -190.,  313.]))
(1, 57059, 56572, 56764, array([ 8688.,  1632., -2752.]), array([  141.,  5311.,  1862.]), array([-394., -187.,  313.]))
(1, 58008, 57580, 56764, array([ 8736.,  1680., -2576.]), array([ -159.,  5223.,  1723.]), array([-394., -187.,  313.]))
(1, 59432, 58588, 59309, array([ 8592.,  1696., -2624.]), array([ -422.,  5136.,  1564.]), array([-397., -185.,  304.]))
(1, 60381, 60605, 59309, array([ 8480.,  1744., -2736.]), array([ -806.,  4974.,  1282.]), array([-397., -185.,  304.]))
(1, 61331, 61613, 59309, array([ 8432.,  1632., -2800.]), array([ -830.,  4888.,  1176.]), array([-397., -185.,  304.]))
(1, 62755, 62621, 61854, array([ 8432.,  1664., -2880.]), array([ -831.,  4834.,  1006.]), array([-413., -184.,  289.]))
(1, 63704, 63629, 61854, array([ 8464.,  1712., -2864.]), array([ -794.,  4754.,   890.]), array([-413., -184.,  289.]))
(1, 64653, 64637, 64398, array([ 8544.,  1776., -2896.]), array([ -724.,  4713.,   736.]), array([-413., -184.,  289.]))
(1, 540, 110, 64398, array([ 8688.,  1920., -2912.]), array([ -683.,  4683.,   572.]), array([-413., -184.,  289.]))
(1, 1490, 1118, 1407, array([ 8720.,  1968., -3008.]), array([ -488.,  4631.,   460.]), array([-422., -183.,  278.]))
(1, 2913, 2126, 1407, array([ 8880.,  1936., -3040.]), array([ -353.,  4585.,   357.]), array([-422., -183.,  278.]))
(1, 3862, 3134, 3953, array([ 8848.,  1776., -3056.]), array([ -169.,  4543.,   256.]), array([-421., -184.,  272.]))
(1, 4811, 5150, 3953, array([ 8848.,  1568., -3072.]), array([  288.,  4384.,    61.]), array([-421., -184.,  272.]))
(1, 6234, 6159, 3953, array([ 8848.,  1232., -3040.]), array([  416.,  4308.,    -8.]), array([-421., -184.,  272.]))
(1, 8133, 8175, 6497, array([ 8816.,  1008., -3008.]), array([  401.,  4176.,  -175.]), array([-422., -182.,  267.]))
(1, 9557, 9183, 9042, array([ 8848.,  1072., -3008.]), array([  324.,  4153.,  -298.]), array([-426., -185.,  259.]))
(1, 10506, 10191, 9042, array([ 8880.,  1120., -3056.]), array([  178.,  4110.,  -417.]), array([-426., -185.,  259.]))
(1, 11930, 11199, 11588, array([ 8864.,  1152., -3040.]), array([  101.,  4038.,  -509.]), array([-427., -184.,  252.]))
(1, 12879, 12208, 11588, array([ 8768.,  1200., -2992.]), array([  -18.,  3976.,  -559.]), array([-427., -184.,  252.]))
(1, 13828, 13216, 14133, array([ 8768.,  1376., -2912.]), array([ -101.,  3927.,  -607.]), array([-432., -185.,  246.]))
(1, 15251, 15232, 14133, array([ 8672.,  1392., -2784.]), array([ -226.,  3766.,  -618.]), array([-432., -185.,  246.]))
