(1, 36076, 35529, 35970, array([ 8704.,  1456., -4000.]), array([ -488., -6092.,    86.]), array([-396., -152.,  342.]))
(1, 37025, 36538, 35970, array([ 8704.,  1360., -4016.]), array([ -391., -6126.,   107.]), array([-396., -152.,  342.]))
(1, 37974, 37546, 35970, array([ 8688.,  1312., -3968.]), array([ -209., -6121.,   138.]), array([-396., -152.,  342.]))
(1, 39397, 38554, 38515, array([ 8608.,  1264., -3760.]), array([  -70., -6113.,   125.]), array([-390., -150.,  365.]))
(1, 40346, 40570, 38515, array([ 8560.,  1232., -3664.]), array([   98., -6178.,    54.]), array([-390., -150.,  365.]))
(1, 41296, 41578, 41062, array([ 8464.,  1200., -3568.]), array([   91., -6202.,    26.]), array([-386., -152.,  365.]))
(1, 42719, 42587, 41062, array([ 8336.,  1056., -3456.]), array([  139., -6232.,   -46.]), array([-386., -152.,  365.]))
(1, 43668, 43595, 43608, array([ 8272.,  1168., -3456.]), array([  140., -6235.,  -119.]), array([-375., -152.,  372.]))
(1, 45092, 44603, 43608, array([ 8208.,  1296., -3408.]), array([  102., -6247.,  -193.]), array([-375., -152.,  372.]))
(1, 46041, 45611, 46153, array([ 8112.,  1312., -3520.]), array([   75., -6233.,  -282.]), array([-369., -154.,  379.]))
(1, 46990, 46619, 46153, array([ 8096.,  1344., -3488.]), array([  -21., -6250.,  -350.]), array([-369., -154.,  379.]))
(1, 48414, 47627, 46153, array([ 8080.,  1424., -3600.]), array([  -46., -6282.,  -419.]), array([-369., -154.,  379.]))
(1, 49363, 48635, 48699, array([ 7936.,  1552., -3536.]), array([  -88., -6279.,  -456.]), array([-360., -157.,  396.]))
(1, 50312, 50652, 48699, array([ 7872.,  1392., -3568.]), array([  -75., -6311.,  -560.]), array([-360., -157.,  396.]))
(1, 51736, 51660, 51245, array([ 7728.,  1600., -3456.]), array([   16., -6277.,  -608.]), array([-355., -156.,  396.]))
(1, 52685, 52668, 51245, array([ 7760.,  1440., -3472.]), array([   92., -6235.,  -675.]), array([-355., -156.,  396.]))
(1, 54109, 53676, 53791, array([ 7680.,  1456., -3440.]), array([  114., -6196.,  -726.]), array([-341., -160.,  405.]))
