(1, 37582, 37897, 36776, array([ 8176.,   432.,  4624.]), array([ 140.,  697.,  453.]), array([-481.,  210., -143.]))
(1, 39006, 38905, 36776, array([ 8192.,   592.,  4640.]), array([ 186.,  760.,  463.]), array([-481.,  210., -143.]))
(1, 39955, 39913, 39321, array([ 8192.,   688.,  4672.]), array([ 242.,  858.,  500.]), array([-482.,  211., -143.]))
(1, 40905, 40921, 39321, array([ 8192.,   816.,  4704.]), array([ 288.,  942.,  501.]), array([-482.,  211., -143.]))
(1, 42329, 41929, 41867, array([ 8112.,   880.,  4640.]), array([  328.,  1020.,   474.]), array([-481.,  211., -148.]))
(1, 43278, 42937, 41867, array([ 8064.,   896.,  4608.]), array([  324.,  1085.,   435.]), array([-481.,  211., -148.]))
(1, 44702, 43945, 44412, array([ 8048.,   960.,  4592.]), array([  303.,  1176.,   408.]), array([-481.,  208., -148.]))
(1, 45651, 44954, 44412, array([ 7952.,   960.,  4544.]), array([  341.,  1242.,   377.]), array([-481.,  208., -148.]))
(1, 46601, 46970, 46957, array([ 7888.,   960.,  4528.]), array([  381.,  1339.,   272.]), array([-479.,  211., -150.]))
(1, 48025, 47978, 46957, array([ 7792.,  1088.,  4400.]), array([  397.,  1394.,   204.]), array([-479.,  211., -150.]))
(1, 48974, 48986, 46957, array([ 7792.,  1056.,  4208.]), array([  384.,  1442.,   169.]), array([-479.,  211., -150.]))
(1, 49924, 49994, 49502, array([ 7792.,  1136.,  4224.]), array([  364.,  1467.,   135.]), array([-480.,  212., -155.]))
(1, 51347, 51002, 49502, array([ 7744.,  1088.,  4112.]), array([  340.,  1469.,    81.]), array([-480.,  212., -155.]))
(1, 52297, 52010, 52047, array([ 7680.,  1040.,  4032.]), array([  349.,  1489.,    41.]), array([-479.,  209., -155.]))
(1, 53721, 53018, 52047, array([ 7536.,   960.,  3856.]), array([  384.,  1509.,    -3.]), array([-479.,  209., -155.]))
(1, 55620, 55035, 54593, array([ 7504.,   976.,  3728.]), array([  441.,  1552.,   -64.]), array([-476.,  206., -157.]))
(1, 57044, 57051, 54593, array([ 7424.,   960.,  3696.]), array([  462.,  1542.,   -94.]), array([-476.,  206., -157.]))
(1, 57993, 58059, 57139, array([ 7376.,   928.,  3616.]), array([  441.,  1528.,  -100.]), array([-478.,  208., -161.]))
(1, 58943, 59067, 57139, array([ 7328.,   992.,  3600.]), array([  473.,  1521.,   -85.]), array([-478.,  208., -161.]))
