(1, 56867, 56226, 55794, array([ 8400.,  -752.,  6848.]), array([ 1468., -3145.,    55.]), array([-498.,  258.,  -77.]))
(1, 57817, 58242, 55794, array([ 8448.,  -992.,  6768.]), array([ 2128., -2632.,    97.]), array([-498.,  258.,  -77.]))
(1, 59241, 59251, 58340, array([ 8320.,  -848.,  6768.]), array([ 2679., -2322.,   166.]), array([-501.,  258.,  -68.]))
(1, 60191, 60259, 58340, array([ 8272.,  -608.,  6704.]), array([ 3145., -1953.,   188.]), array([-501.,  258.,  -68.]))
(1, 61615, 61267, 60885, array([ 8240.,   -96.,  6560.]), array([ 3489., -1658.,   223.]), array([-501.,  254.,  -68.]))
(1, 62565, 62275, 60885, array([ 8176.,   304.,  6512.]), array([ 3705., -1370.,   235.]), array([-501.,  254.,  -68.]))
(1, 64938, 64291, 63432, array([ 7920.,   592.,  5840.]), array([ 3803.,  -920.,   199.]), array([-499.,  252.,  -67.]))
(1, 351, 65299, 441, array([ 7904.,   480.,  5632.]), array([ 3687.,  -723.,   121.]), array([-498.,  250.,  -67.]))
(1, 1301, 771, 441, array([ 7840.,   256.,  5648.]), array([ 3722.,  -590.,   108.]), array([-498.,  250.,  -67.]))
(1, 2725, 2787, 441, array([ 7792.,   560.,  5728.]), array([ 4517.,  -213.,   138.]), array([-498.,  250.,  -67.]))
(1, 3675, 3795, 2987, array([ 7792.,  1264.,  5616.]), array([ 4963.,     8.,   140.]), array([-501.,  247.,  -67.]))
(1, 5099, 4803, 2987, array([ 7648.,  2432.,  5616.]), array([ 5090.,   218.,    71.]), array([-501.,  247.,  -67.]))
(1, 6049, 5811, 5532, array([ 7696.,  3120.,  5728.]), array([ 4809.,   400.,    14.]), array([-499.,  246.,  -69.]))
(1, 8424, 7827, 8078, array([ 7712.,  4160.,  5440.]), array([ 3073.,   638.,   -96.]), array([-504.,  244.,  -75.]))
(1, 9374, 8835, 8078, array([ 7648.,  4176.,  5168.]), array([ 1819.,   741.,  -136.]), array([-504.,  244.,  -75.]))
(1, 10323, 9843, 10624, array([ 7600.,  4032.,  4688.]), array([ 487.,  802., -152.]), array([-502.,  245.,  -77.]))
(1, 11748, 11859, 10624, array([ 7472.,  3600.,  3936.]), array([-1742.,   720.,  -270.]), array([-502.,  245.,  -77.]))
(1, 13646, 13875, 13170, array([ 7392.,  3008.,  3216.]), array([-3149.,   584.,  -293.]), array([-501.,  245.,  -80.]))
(1, 15071, 14883, 13170, array([ 7264.,  2640.,  2544.]), array([-3538.,   514.,  -313.]), array([-501.,  245.,  -80.]))
(1, 16020, 15891, 15716, array([ 7296.,  2320.,  2208.]), array([-3822.,   402.,  -354.]), array([-500.,  246.,  -80.]))
(1, 17444, 16899, 15716, array([ 7296.,  1888.,  1920.]), array([-3895.,   304.,  -398.]), array([-500.,  246.,  -80.]))
(1, 18394, 17907, 18262, array([ 7312.,  1680.,  1760.]), array([-3922.,   202.,  -419.]), array([-499.,  250.,  -78.]))
(1, 19343, 18915, 18262, array([ 7344.,  1440.,  1680.]), array([-3789.,   113.,  -429.]), array([-499.,  250.,  -78.]))
(1, 20768, 19924, 20808, array([ 7360.,  1248.,  1552.]), array([-3608.,    37.,  -434.]), array([-500.,  252.,  -73.]))
(1, 21717, 21940, 20808, array([ 7296.,  1088.,  1536.]), array([-3082.,   -70.,  -452.]), array([-500.,  252.,  -73.]))
(1, 22666, 22948, 20808, array([ 7264.,  1040.,  1536.]), array([-2797.,   -95.,  -431.]), array([-500.,  252.,  -73.]))
(1, 24091, 23956, 23354, array([ 7200.,   992.,  1552.]), array([-2400.,  -119.,  -407.]), array([-500.,  251.,  -73.]))
(1, 25040, 24964, 23354, array([ 7200.,  1024.,  1504.]), array([-2105.,  -141.,  -385.]), array([-500.,  251.,  -73.]))
(1, 26464, 25972, 25899, array([ 7296.,  1104.,  1664.]), array([-1839.,  -130.,  -354.]), array([-506.,  249.,  -70.]))
(1, 27414, 26980, 25899, array([ 7328.,  1120.,  1680.]), array([-1508.,  -146.,  -303.]), array([-506.,  249.,  -70.]))
(1, 28363, 27988, 28445, array([ 7296.,  1056.,  1792.]), array([-1264.,  -109.,  -248.]), array([-500.,  251.,  -71.]))
(1, 29787, 28996, 28445, array([ 7472.,  1024.,  1904.]), array([-1032.,   -97.,  -220.]), array([-500.,  251.,  -71.]))
