(1, 41775, 42115, 42118, array([ 8240.,  1312.,  5456.]), array([-3420.,  4100.,  -303.]), array([-446.,  236., -182.]))
(1, 43199, 43123, 42118, array([ 8400.,  1232.,  5552.]), array([-3143.,  4174.,  -324.]), array([-446.,  236., -182.]))
(1, 44149, 44131, 42118, array([ 8464.,  1232.,  5680.]), array([-2963.,  4264.,  -371.]), array([-446.,  236., -182.]))
(1, 45098, 45139, 44663, array([ 8560.,  1280.,  5696.]), array([-2691.,  4352.,  -391.]), array([-441.,  238., -195.]))
(1, 47471, 47156, 47210, array([ 8608.,  1200.,  5552.]), array([-2150.,  4557.,  -498.]), array([-441.,  241., -195.]))
(1, 48421, 48164, 47210, array([ 8640.,  1152.,  5568.]), array([-1813.,  4642.,  -576.]), array([-441.,  241., -195.]))
(1, 49846, 49172, 49754, array([ 8560.,  1184.,  5360.]), array([-1561.,  4761.,  -663.]), array([-435.,  243., -202.]))
(1, 52220, 52196, 49754, array([ 8560.,  1152.,  5248.]), array([ -679.,  5042.,  -911.]), array([-435.,  243., -202.]))
(1, 53169, 53204, 52300, array([ 8544.,  1184.,  5264.]), array([ -418.,  5115.,  -968.]), array([-429.,  243., -217.]))
(1, 54119, 54212, 52300, array([ 8512.,  1232.,  5264.]), array([ -234.,  5194., -1063.]), array([-429.,  243., -217.]))
(1, 56493, 56228, 54847, array([ 8368.,  1344.,  5232.]), array([  197.,  5325., -1274.]), array([-425.,  237., -217.]))
(1, 57442, 57236, 57392, array([ 8320.,  1360.,  5184.]), array([  372.,  5401., -1362.]), array([-416.,  234., -227.]))
(1, 58866, 58244, 57392, array([ 8304.,  1440.,  5248.]), array([  544.,  5452., -1472.]), array([-416.,  234., -227.]))
(1, 59815, 59253, 59937, array([ 8240.,  1488.,  5248.]), array([  630.,  5517., -1576.]), array([-413.,  230., -237.]))
(1, 61240, 60261, 59937, array([ 8208.,  1536.,  5168.]), array([  733.,  5555., -1674.]), array([-413.,  230., -237.]))
(1, 62189, 62277, 59937, array([ 8224.,  1504.,  5136.]), array([  760.,  5630., -1845.]), array([-413.,  230., -237.]))
(1, 64563, 64293, 62483, array([ 8192.,  1440.,  4960.]), array([  798.,  5671., -1995.]), array([-406.,  226., -245.]))
(1, 65511, 65301, 65029, array([ 8128.,  1392.,  4960.]), array([  819.,  5676., -2048.]), array([-398.,  221., -256.]))
(1, 925, 773, 65029, array([ 8096.,  1344.,  4896.]), array([  835.,  5704., -2096.]), array([-398.,  221., -256.]))
(1, 2349, 1781, 2038, array([ 7984.,  1296.,  4848.]), array([  835.,  5747., -2132.]), array([-395.,  216., -264.]))
(1, 3299, 2789, 2038, array([ 7872.,  1248.,  4848.]), array([  822.,  5727., -2180.]), array([-395.,  216., -264.]))
(1, 4248, 3797, 4584, array([ 7792.,  1296.,  4848.]), array([  831.,  5733., -2190.]), array([-384.,  213., -286.]))
(1, 5673, 5813, 4584, array([ 7728.,  1248.,  4688.]), array([  804.,  5693., -2228.]), array([-384.,  213., -286.]))
(1, 6622, 6821, 4584, array([ 7664.,  1296.,  4640.]), array([  801.,  5669., -2228.]), array([-384.,  213., -286.]))
(1, 8046, 7830, 7130, array([ 7632.,  1312.,  4512.]), array([  796.,  5602., -2258.]), array([-372.,  205., -295.]))
(1, 8995, 8838, 7130, array([ 7520.,  1232.,  4480.]), array([  733.,  5549., -2271.]), array([-372.,  205., -295.]))
(1, 9945, 9846, 9675, array([ 7392.,  1312.,  4496.]), array([  742.,  5481., -2255.]), array([-372.,  206., -295.]))
(1, 11369, 10854, 9675, array([ 7232.,  1344.,  4528.]), array([  702.,  5400., -2253.]), array([-372.,  206., -295.]))
(1, 12318, 11862, 12220, array([ 7088.,  1376.,  4512.]), array([  657.,  5338., -2272.]), array([-361.,  198., -304.]))
(1, 13268, 12870, 12220, array([ 6992.,  1376.,  4528.]), array([  547.,  5243., -2304.]), array([-361.,  198., -304.]))
(1, 14693, 13878, 14767, array([ 7008.,  1392.,  4400.]), array([  365.,  5164., -2305.]), array([-356.,  192., -316.]))
(1, 15642, 15894, 14767, array([ 6976.,  1344.,  4432.]), array([  112.,  4973., -2306.]), array([-356.,  192., -316.]))
(1, 17067, 16902, 14767, array([ 6832.,  1296.,  4464.]), array([  -25.,  4901., -2306.]), array([-356.,  192., -316.]))
(1, 18016, 17910, 17313, array([ 6688.,  1216.,  4464.]), array([  -82.,  4837., -2287.]), array([-347.,  192., -321.]))
(1, 18965, 18918, 17313, array([ 6688.,  1200.,  4416.]), array([ -223.,  4772., -2274.]), array([-347.,  192., -321.]))
(1, 21339, 20935, 19858, array([ 6512.,  1008.,  4384.]), array([ -330.,  4604., -2163.]), array([-341.,  186., -329.]))
(1, 22289, 21943, 22403, array([ 6464.,   928.,  4256.]), array([ -388.,  4519., -2116.]), array([-334.,  191., -340.]))
(1, 23713, 22951, 22403, array([ 6464.,   960.,  4336.]), array([ -363.,  4391., -2057.]), array([-334.,  191., -340.]))
(1, 24663, 23959, 24950, array([ 6464.,   992.,  4320.]), array([ -356.,  4297., -1986.]), array([-322.,  186., -345.]))
(1, 25613, 25975, 24950, array([ 6480.,  1024.,  4384.]), array([ -384.,  4060., -1864.]), array([-322.,  186., -345.]))
(1, 27036, 26983, 24950, array([ 6416.,  1040.,  4352.]), array([ -427.,  3995., -1810.]), array([-322.,  186., -345.]))
(1, 27986, 27991, 27495, array([ 6368.,  1008.,  4384.]), array([ -460.,  3923., -1743.]), array([-316.,  187., -358.]))
(1, 30358, 30007, 30041, array([ 6160.,  1040.,  4352.]), array([ -522.,  3744., -1610.]), array([-310.,  185., -358.]))
(1, 31308, 31015, 30041, array([ 6064.,   976.,  4320.]), array([ -529.,  3653., -1575.]), array([-310.,  185., -358.]))
(1, 32731, 32023, 32587, array([ 5936.,   960.,  4288.]), array([ -539.,  3580., -1549.]), array([-304.,  186., -362.]))
(1, 33681, 33031, 32587, array([ 5840.,   976.,  4272.]), array([ -541.,  3467., -1513.]), array([-304.,  186., -362.]))
(1, 34630, 35048, 32587, array([ 5728.,   992.,  4384.]), array([ -545.,  3265., -1427.]), array([-304.,  186., -362.]))
(1, 36054, 36056, 35133, array([ 5616.,   880.,  4352.]), array([ -559.,  3149., -1397.]), array([-289.,  185., -373.]))
(1, 37004, 37064, 35133, array([ 5600.,   992.,  4368.]), array([ -573.,  3050., -1356.]), array([-289.,  185., -373.]))
(1, 38428, 38072, 37680, array([ 5632.,   944.,  4400.]), array([ -570.,  2962., -1321.]), array([-289.,  185., -373.]))
(1, 39378, 39080, 37680, array([ 5648.,   960.,  4400.]), array([ -622.,  2852., -1297.]), array([-289.,  185., -373.]))
(1, 40327, 40088, 40226, array([ 5616.,   928.,  4432.]), array([ -634.,  2757., -1232.]), array([-283.,  188., -371.]))
(1, 41750, 41096, 40226, array([ 5472.,   944.,  4592.]), array([ -693.,  2626., -1208.]), array([-283.,  188., -371.]))
(1, 42699, 42104, 42771, array([ 5552.,   928.,  4608.]), array([ -771.,  2513., -1163.]), array([-276.,  189., -381.]))
(1, 43648, 43112, 42771, array([ 5520.,   912.,  4688.]), array([ -820.,  2411., -1090.]), array([-276.,  189., -381.]))
(1, 45072, 45128, 42771, array([ 5568.,  1008.,  4736.]), array([ -984.,  2226.,  -963.]), array([-276.,  189., -381.]))
(1, 46022, 46136, 45317, array([ 5536.,   944.,  4768.]), array([-1107.,  2107.,  -893.]), array([-272.,  194., -383.]))
(1, 47446, 47144, 45317, array([ 5424.,   784.,  4784.]), array([-1201.,  2029.,  -819.]), array([-272.,  194., -383.]))
(1, 48395, 48153, 47862, array([ 5344.,   800.,  4720.]), array([-1286.,  1989.,  -759.]), array([-271.,  195., -386.]))
(1, 49344, 49161, 47862, array([ 5344.,   736.,  4768.]), array([-1341.,  1923.,  -696.]), array([-271.,  195., -386.]))
(1, 50767, 50169, 50409, array([ 5168.,   656.,  4848.]), array([-1334.,  1858.,  -607.]), array([-270.,  196., -386.]))
(1, 51717, 51177, 50409, array([ 5088.,   640.,  4864.]), array([-1363.,  1769.,  -537.]), array([-270.,  196., -386.]))
(1, 52667, 52185, 52955, array([ 5056.,   624.,  4784.]), array([-1351.,  1701.,  -456.]), array([-261.,  199., -390.]))
(1, 54091, 54201, 52955, array([ 4896.,   672.,  4912.]), array([-1273.,  1554.,  -332.]), array([-261.,  199., -390.]))
(1, 55989, 56217, 55501, array([ 4816.,   752.,  5280.]), array([-1250.,  1369.,  -261.]), array([-256.,  206., -392.]))
(1, 57414, 57225, 55501, array([ 4880.,   864.,  5520.]), array([-1272.,  1270.,  -209.]), array([-256.,  206., -392.]))
(1, 58363, 58233, 58048, array([ 4976.,   896.,  5600.]), array([-1304.,  1154.,  -153.]), array([-255.,  208., -389.]))
(1, 59787, 59241, 58048, array([ 5056.,   944.,  5664.]), array([-1404.,  1061.,   -80.]), array([-255.,  208., -389.]))
(1, 60737, 60249, 60593, array([ 5072.,  1008.,  5680.]), array([-1465.,   927.,   -47.]), array([-252.,  208., -394.]))
(1, 61686, 61258, 60593, array([ 5008.,   944.,  5712.]), array([-1511.,   843.,   -35.]), array([-252.,  208., -394.]))
(1, 63110, 62266, 63138, array([ 4992.,   880.,  5744.]), array([-1588.,   796.,   -27.]), array([-246.,  216., -387.]))
(1, 64060, 64282, 63138, array([ 4928.,   880.,  5808.]), array([-1658.,   696.,    14.]), array([-246.,  216., -387.]))
(1, 65009, 65290, 63138, array([ 4928.,   816.,  5872.]), array([-1671.,   643.,    36.]), array([-246.,  216., -387.]))
(1, 896, 762, 148, array([ 4928.,   784.,  5968.]), array([-1726.,   604.,    64.]), array([-246.,  217., -387.]))
(1, 1846, 1770, 148, array([ 4992.,   736.,  6016.]), array([-1737.,   553.,    98.]), array([-246.,  217., -387.]))
(1, 3269, 2778, 2694, array([ 5024.,   800.,  6192.]), array([-1695.,   514.,   137.]), array([-252.,  222., -390.]))
(1, 4218, 3786, 2694, array([ 5088.,   800.,  6240.]), array([-1687.,   488.,   166.]), array([-252.,  222., -390.]))
(1, 5167, 4794, 5241, array([ 5120.,   800.,  6384.]), array([-1652.,   459.,   208.]), array([-245.,  228., -391.]))
(1, 6591, 5802, 5241, array([ 5008.,   768.,  6368.]), array([-1634.,   459.,   256.]), array([-245.,  228., -391.]))
(1, 7540, 6810, 7786, array([ 4928.,   848.,  6400.]), array([-1570.,   436.,   282.]), array([-246.,  233., -391.]))
(1, 8489, 8827, 7786, array([ 4752.,   880.,  6560.]), array([-1500.,   417.,   253.]), array([-246.,  233., -391.]))
(1, 9913, 9835, 7786, array([ 4608.,   912.,  6720.]), array([-1468.,   420.,   258.]), array([-246.,  233., -391.]))
(1, 10863, 10843, 10332, array([ 4560.,  1072.,  6864.]), array([-1508.,   408.,   266.]), array([-242.,  233., -388.]))
(1, 12287, 11851, 10332, array([ 4576.,  1104.,  7056.]), array([-1581.,   398.,   201.]), array([-242.,  233., -388.]))
(1, 13236, 12859, 12876, array([ 4608.,  1216.,  7136.]), array([-1656.,   373.,   172.]), array([-243.,  239., -387.]))
