(1, 53383, 53177, 51432, array([ 7824.,   432.,  -912.]), array([ 198., -369.,  102.]), array([-467., -125.,  242.]))
(1, 54333, 54185, 53978, array([ 7888.,   432., -1008.]), array([ 167., -339.,  111.]), array([-466., -126.,  242.]))
(1, 55281, 55193, 53978, array([ 7920.,   432., -1056.]), array([ 121., -312.,   79.]), array([-466., -126.,  242.]))
(1, 56704, 56202, 56525, array([ 7920.,   464., -1104.]), array([ 110., -310.,   87.]), array([-463., -129.,  241.]))
(1, 57653, 57210, 56525, array([ 7936.,   336., -1056.]), array([ 107., -266.,   78.]), array([-463., -129.,  241.]))
(1, 58603, 58218, 59073, array([ 7632.,    96.,  -528.]), array([  51., -278.,  100.]), array([-465., -123.,  243.]))
(1, 60026, 59226, 59073, array([ 7760.,   640.,  -160.]), array([ -75., -268.,   90.]), array([-465., -123.,  243.]))
(1, 60975, 61242, 59073, array([ 7904.,  1088.,  -304.]), array([-300.,  242.,  111.]), array([-465., -123.,  243.]))
(1, 63348, 63259, 61620, array([ 7888.,   720.,  -256.]), array([ 638.,  576.,  292.]), array([-463., -128.,  244.]))
(1, 64298, 64267, 64166, array([ 8032.,   704.,  -688.]), array([ 1045.,   674.,   330.]), array([-466., -123.,  240.]))
(1, 185, 65275, 64166, array([ 8112.,   880.,  -848.]), array([ 1396.,   684.,   320.]), array([-466., -123.,  240.]))
(1, 1135, 747, 1177, array([ 8048.,   368.,  -912.]), array([ 1582.,   588.,   256.]), array([-467., -122.,  243.]))
(1, 2558, 1756, 1177, array([ 8016.,  -176.,  -896.]), array([ 1617.,   486.,   204.]), array([-467., -122.,  243.]))
(1, 3507, 2764, 1177, array([ 8032.,  -176.,  -800.]), array([ 1321.,   370.,   223.]), array([-467., -122.,  243.]))
(1, 4456, 4780, 3724, array([ 7904.,   144.,  -640.]), array([ 594.,  223.,  175.]), array([-467., -123.,  243.]))
(1, 5881, 5788, 3724, array([ 7872.,   528.,  -544.]), array([ 401.,  194.,  123.]), array([-467., -123.,  243.]))
(1, 6830, 6796, 6270, array([ 7888.,   400.,  -560.]), array([ 381.,  158.,  115.]), array([-468., -121.,  242.]))
(1, 7780, 7805, 6270, array([ 7872.,   336.,  -608.]), array([ 348.,  153.,   84.]), array([-468., -121.,  242.]))
(1, 9203, 8813, 8816, array([ 7904.,   432.,  -848.]), array([ 343.,  173.,   69.]), array([-467., -119.,  248.]))
(1, 10152, 9821, 8816, array([ 7968.,   512., -1104.]), array([ 291.,  220.,   33.]), array([-467., -119.,  248.]))
(1, 11101, 10829, 11362, array([ 7936.,   512., -1248.]), array([ 243.,  224.,    5.]), array([-467., -123.,  246.]))
(1, 12525, 11837, 11362, array([ 7984.,   528., -1472.]), array([ 255.,  174.,  -20.]), array([-467., -123.,  246.]))
(1, 13474, 12846, 11362, array([ 7952.,   528., -1536.]), array([ 241.,  155.,  -31.]), array([-467., -123.,  246.]))
(1, 14897, 14862, 13910, array([ 7952.,   512., -1568.]), array([ 261.,  103.,   18.]), array([-467., -121.,  242.]))
(1, 15846, 15870, 13910, array([ 7840.,   432., -1584.]), array([ 193.,  115.,   24.]), array([-467., -121.,  242.]))
(1, 16795, 16878, 16455, array([ 7856.,   464., -1648.]), array([ 199.,  115.,   47.]), array([-467., -121.,  242.]))
(1, 18219, 17886, 16455, array([ 7824.,   448., -1600.]), array([ 138.,  104.,   68.]), array([-467., -121.,  242.]))
