name,timestamp,accelX0,accelX1,accelY0,accelY1,accelZ0,accelZ1,breathing,activity,breathingRate
RESpeckPlum,20131129135442.597,252,220,17,72,64,96,nan,2.383838,nan
RESpeckPlum,20131129135442.747,250,208,20,224,60,176,nan,2.383838,nan
RESpeckPlum,20131129135442.837,248,68,21,200,61,4,nan,2.383838,nan
RESpeckPlum,20131129135442.897,253,116,22,168,59,196,nan,2.383838,nan
RESpeckPlum,20131129135442.991,252,208,23,68,58,248,nan,2.383838,nan
RESpeckPlum,20131129135443.047,245,164,24,56,59,196,nan,2.383838,nan
RESpeckPlum,20131129135443.137,254,220,22,148,60,112,nan,2.383838,nan
RESpeckPlum,20131129135443.197,250,132,21,20,61,136,nan,2.383838,nan
RESpeckPlum,20131129135443.287,251,80,23,156,58,124,nan,2.383838,nan
RESpeckPlum,20131129135443.347,250,148,24,136,60,212,nan,0.819818,nan
RESpeckPlum,20131129135443.437,253,196,22,92,59,48,nan,0.819818,nan
RESpeckPlum,20131129135443.497,2,16,23,176,59,220,nan,0.819818,nan
RESpeckPlum,20131129135443.587,250,60,22,204,61,44,nan,0.819818,nan
RESpeckPlum,20131129135443.647,251,188,19,64,63,68,nan,0.819818,nan
RESpeckPlum,20131129135443.737,253,36,18,28,63,104,nan,0.819818,nan
RESpeckPlum,20131129135443.887,252,180,16,244,62,156,nan,0.819818,nan
RESpeckPlum,20131129135443.977,254,8,15,68,62,128,nan,0.819818,nan
RESpeckPlum,20131129135444.037,252,12,16,120,62,16,nan,0.819818,nan
RESpeckPlum,20131129135444.127,253,24,14,236,62,32,nan,0.819818,nan
RESpeckPlum,20131129135444.187,253,164,14,236,64,44,nan,0.819818,nan
RESpeckPlum,20131129135444.277,254,36,12,180,65,140,nan,0.819818,nan
RESpeckPlum,20131129135444.337,255,116,13,148,63,88,nan,0.819818,nan
RESpeckPlum,20131129135444.427,251,40,13,108,63,196,nan,0.819818,nan
RESpeckPlum,20131129135444.487,255,128,11,248,64,64,nan,0.819818,nan
RESpeckPlum,20131129135444.577,254,96,14,4,64,204,nan,0.819818,nan
RESpeckPlum,20131129135444.637,253,168,15,72,64,160,nan,0.819818,nan
RESpeckPlum,20131129135444.727,254,84,14,228,64,32,nan,0.819818,nan
RESpeckPlum,20131129135444.787,253,224,18,104,62,60,nan,0.819818,nan
RESpeckPlum,20131129135444.877,251,16,20,128,60,240,nan,0.819818,nan
RESpeckPlum,20131129135445.027,252,184,23,28,59,180,nan,0.819818,nan
RESpeckPlum,20131129135445.117,252,116,24,244,59,228,nan,0.819818,nan
RESpeckPlum,20131129135445.177,252,112,20,196,60,12,nan,0.819818,nan
RESpeckPlum,20131129135445.267,251,36,23,116,58,20,nan,0.819818,nan
RESpeckPlum,20131129135445.327,254,68,20,208,60,76,nan,0.819818,nan
RESpeckPlum,20131129135445.417,252,132,23,180,58,132,nan,0.819818,nan
RESpeckPlum,20131129135445.477,254,44,21,168,60,152,nan,0.819818,nan
RESpeckPlum,20131129135445.567,253,172,21,40,61,84,nan,0.819818,nan
RESpeckPlum,20131129135445.627,254,144,20,204,61,156,nan,0.819818,nan
RESpeckPlum,20131129135445.717,254,80,26,28,60,248,nan,0.819818,nan
RESpeckPlum,20131129135445.777,254,60,25,140,59,168,nan,0.819818,nan
RESpeckPlum,20131129135445.867,255,44,24,176,62,100,nan,0.819818,nan
RESpeckPlum,20131129135445.928,255,68,19,72,62,216,nan,1.695630,nan
RESpeckPlum,20131129135446.017,255,32,15,212,63,44,nan,1.695630,nan
RESpeckPlum,20131129135446.167,255,4,15,8,62,240,nan,1.695630,nan
RESpeckPlum,20131129135446.257,0,4,12,44,63,76,nan,1.695630,nan
RESpeckPlum,20131129135446.317,253,180,9,252,65,208,nan,1.695630,nan
RESpeckPlum,20131129135446.406,0,120,9,8,64,204,nan,1.695630,nan
RESpeckPlum,20131129135446.467,255,168,7,164,64,148,nan,1.695630,nan
RESpeckPlum,20131129135446.557,253,220,8,128,63,200,nan,1.695630,nan
RESpeckPlum,20131129135446.617,254,216,9,64,64,108,nan,1.695630,nan
RESpeckPlum,20131129135446.706,254,152,8,68,64,92,nan,1.695630,nan
RESpeckPlum,20131129135446.767,254,140,8,60,64,88,nan,1.695630,nan
RESpeckPlum,20131129135446.857,254,96,7,232,64,52,nan,1.695630,nan
RESpeckPlum,20131129135446.917,0,156,8,196,64,8,nan,1.695630,nan
RESpeckPlum,20131129135447.007,4,100,6,100,64,156,nan,1.695630,nan
RESpeckPlum,20131129135447.067,253,36,10,148,63,248,nan,1.695630,nan
RESpeckPlum,20131129135447.156,251,192,8,164,63,156,nan,1.695630,nan
RESpeckPlum,20131129135447.307,254,172,8,20,64,36,nan,1.695630,nan
RESpeckPlum,20131129135447.397,255,188,12,108,63,152,nan,1.695630,nan
RESpeckPlum,20131129135447.457,254,20,5,156,65,136,nan,1.695630,nan
RESpeckPlum,20131129135447.577,0,252,9,68,64,68,nan,1.695630,nan
RESpeckPlum,20131129135447.607,255,196,7,24,65,212,nan,1.695630,nan
RESpeckPlum,20131129135447.697,253,52,6,136,63,184,nan,1.695630,nan
RESpeckPlum,20131129135447.757,254,96,11,136,65,52,nan,1.695630,nan
RESpeckPlum,20131129135447.847,249,60,11,4,60,176,nan,1.695630,nan
RESpeckPlum,20131129135447.907,253,0,253,52,64,252,nan,1.695630,nan
RESpeckPlum,20131129135447.997,251,100,9,108,64,216,nan,1.695630,nan
RESpeckPlum,20131129135448.057,1,84,10,124,60,236,nan,1.695630,nan
RESpeckPlum,20131129135448.147,3,252,6,216,61,208,nan,1.695630,nan
RESpeckPlum,20131129135448.207,253,148,5,216,65,200,nan,1.695630,nan
RESpeckPlum,20131129135448.297,255,40,12,184,63,56,nan,1.695630,nan
RESpeckPlum,20131129135448.447,251,212,6,228,63,204,nan,1.695630,nan
RESpeckPlum,20131129135448.537,250,8,9,44,63,12,nan,1.695630,nan
RESpeckPlum,20131129135448.598,247,212,9,224,64,144,nan,0.864065,nan
RESpeckPlum,20131129135448.687,5,176,10,164,65,164,nan,0.864065,nan
RESpeckPlum,20131129135448.747,0,240,10,4,61,220,nan,0.864065,nan
RESpeckPlum,20131129135448.837,254,112,14,92,66,244,nan,0.864065,nan
RESpeckPlum,20131129135448.897,4,68,9,32,63,244,nan,0.864065,nan
RESpeckPlum,20131129135448.990,6,180,2,40,61,160,nan,0.864065,nan
RESpeckPlum,20131129135449.047,252,36,1,88,64,252,nan,0.864065,nan
RESpeckPlum,20131129135449.137,5,116,0,228,63,132,nan,0.864065,nan
RESpeckPlum,20131129135449.197,252,132,2,72,65,180,nan,0.864065,nan
RESpeckPlum,20131129135449.287,255,60,3,20,66,192,nan,0.864065,nan
RESpeckPlum,20131129135449.347,1,56,1,120,64,212,nan,0.864065,nan
RESpeckPlum,20131129135449.437,254,44,4,208,66,92,nan,0.864065,nan
RESpeckPlum,20131129135449.587,254,208,6,212,65,232,nan,0.864065,nan
RESpeckPlum,20131129135449.677,254,144,7,0,64,144,nan,0.864065,nan
RESpeckPlum,20131129135449.738,254,148,7,64,63,236,nan,0.864065,nan
RESpeckPlum,20131129135449.827,255,40,7,68,64,220,nan,0.864065,nan
RESpeckPlum,20131129135449.887,254,204,7,84,64,16,nan,0.864065,nan
RESpeckPlum,20131129135449.977,254,216,7,44,64,204,nan,0.864065,nan
RESpeckPlum,20131129135450.037,254,216,7,72,64,96,nan,0.864065,nan
RESpeckPlum,20131129135450.127,254,232,7,8,64,156,nan,0.864065,nan
RESpeckPlum,20131129135450.187,254,212,7,36,64,144,nan,0.864065,nan
RESpeckPlum,20131129135450.277,254,216,7,60,64,92,nan,0.864065,nan
RESpeckPlum,20131129135450.337,254,228,7,60,64,160,nan,0.864065,nan
RESpeckPlum,20131129135450.427,254,196,7,44,64,112,nan,0.864065,nan
RESpeckPlum,20131129135450.487,254,236,7,28,64,160,nan,0.864065,nan
RESpeckPlum,20131129135450.577,255,0,7,56,64,116,nan,0.864065,nan
RESpeckPlum,20131129135450.727,254,208,7,64,64,108,nan,0.864065,nan
RESpeckPlum,20131129135450.817,254,240,7,56,64,124,nan,0.864065,nan
RESpeckPlum,20131129135450.877,254,248,7,36,64,108,nan,0.864065,nan
RESpeckPlum,20131129135450.967,254,240,7,68,64,128,nan,0.864065,nan
RESpeckPlum,20131129135451.027,254,212,7,52,64,136,nan,0.864065,nan
RESpeckPlum,20131129135451.118,254,220,7,48,64,120,nan,0.864065,nan
RESpeckPlum,20131129135451.178,254,216,7,68,64,128,7.634962,0.217536,nan
RESpeckPlum,20131129135451.267,254,212,7,44,64,124,9.744484,0.173650,nan
RESpeckPlum,20131129135451.327,254,216,7,48,64,116,12.203880,0.173650,nan
RESpeckPlum,20131129135451.417,254,236,7,44,64,140,12.981349,0.173650,nan
RESpeckPlum,20131129135451.477,254,224,7,48,64,108,15.103502,0.173650,nan
RESpeckPlum,20131129135451.567,254,216,7,44,64,108,17.072958,0.173650,nan
RESpeckPlum,20131129135451.628,254,224,7,56,64,112,19.522860,0.147476,nan
RESpeckPlum,20131129135451.748,254,240,7,44,64,112,21.832609,0.145403,nan
RESpeckPlum,20131129135451.867,254,204,7,52,64,120,24.243204,0.074623,nan
RESpeckPlum,20131129135451.956,254,232,7,40,64,136,26.073610,0.074623,nan
RESpeckPlum,20131129135452.017,254,232,7,44,64,108,28.705425,0.074623,nan
RESpeckPlum,20131129135452.108,254,204,7,60,64,148,30.428274,0.033797,nan
RESpeckPlum,20131129135452.167,254,236,7,44,64,120,27.928675,0.026744,nan
RESpeckPlum,20131129135452.257,254,228,7,56,64,124,25.338776,0.026744,nan
RESpeckPlum,20131129135452.317,254,244,7,44,64,96,22.639524,0.026744,nan
