(1, 43254, 43385, 42168, array([ 7072.,   784., -3408.]), array([  403.,  1975.,   537.]), array([-414., -163.,  312.]))
(1, 44678, 44393, 44716, array([ 7152.,   784., -3408.]), array([  345.,  1960.,   545.]), array([-419., -161.,  309.]))
(1, 45628, 45401, 44716, array([ 7104.,   784., -3376.]), array([  325.,  1969.,   549.]), array([-419., -161.,  309.]))
(1, 46577, 46409, 44716, array([ 7152.,   784., -3392.]), array([  243.,  1969.,   552.]), array([-419., -161.,  309.]))
(1, 48000, 47417, 47263, array([ 7168.,   752., -3424.]), array([  240.,  1960.,   563.]), array([-419., -162.,  309.]))
(1, 48949, 48425, 47263, array([ 7200.,   736., -3440.]), array([  143.,  1989.,   569.]), array([-419., -162.,  309.]))
(1, 50373, 49434, 49811, array([ 7344.,   672., -3392.]), array([  102.,  1977.,   584.]), array([-421., -160.,  302.]))
(1, 51322, 51450, 49811, array([ 7312.,   672., -3376.]), array([  -50.,  1943.,   598.]), array([-421., -160.,  302.]))
(1, 52271, 52458, 52359, array([ 7328.,   672., -3344.]), array([ -108.,  1922.,   695.]), array([-422., -158.,  298.]))
(1, 53695, 53466, 52359, array([ 7344.,   672., -3312.]), array([ -280.,  1889.,   686.]), array([-422., -158.,  298.]))
(1, 54644, 54474, 52359, array([ 7344.,   640., -3328.]), array([ -377.,  1882.,   707.]), array([-422., -158.,  298.]))
(1, 55594, 55482, 54906, array([ 7360.,   704., -3232.]), array([ -475.,  1872.,   708.]), array([-426., -155.,  297.]))
(1, 57018, 56491, 54906, array([ 7408.,   672., -3248.]), array([ -606.,  1854.,   733.]), array([-426., -155.,  297.]))
(1, 57968, 57499, 57453, array([ 7456.,   736., -3232.]), array([ -696.,  1830.,   790.]), array([-430., -155.,  292.]))
(1, 58917, 58507, 57453, array([ 7456.,   704., -3200.]), array([ -834.,  1854.,   846.]), array([-430., -155.,  292.]))
(1, 60341, 59515, 59999, array([ 7408.,   768., -3088.]), array([ -887.,  1833.,   865.]), array([-431., -154.,  294.]))
(1, 61291, 61531, 59999, array([ 7456.,   784., -3040.]), array([-1118.,  1807.,   892.]), array([-431., -154.,  294.]))
(1, 62715, 62539, 62547, array([ 7248.,   944., -2992.]), array([-1117.,  1794.,   963.]), array([-432., -153.,  278.]))
(1, 63664, 63548, 62547, array([ 7072.,  1072., -3088.]), array([-1135.,  1753.,   960.]), array([-432., -153.,  278.]))
(1, 64614, 64556, 62547, array([ 6976.,  1168., -3152.]), array([-1126.,  1734.,   950.]), array([-432., -153.,  278.]))
(1, 501, 28, 65094, array([ 7088.,  1216., -3184.]), array([-1029.,  1764.,   908.]), array([-436., -154.,  272.]))
(1, 1451, 1036, 65094, array([ 7216.,  1200., -3200.]), array([ -909.,  1839.,   858.]), array([-436., -154.,  272.]))
(1, 2400, 2044, 2105, array([ 7360.,  1344., -3280.]), array([ -789.,  1925.,   846.]), array([-436., -152.,  272.]))
(1, 3824, 3052, 2105, array([ 7456.,  1280., -3168.]), array([ -665.,  1967.,   806.]), array([-436., -152.,  272.]))
(1, 4773, 5069, 4653, array([ 7408.,  1200., -3104.]), array([ -372.,  1936.,   761.]), array([-440., -151.,  272.]))
(1, 6197, 6077, 4653, array([ 7440.,   992., -3024.]), array([ -307.,  1946.,   729.]), array([-440., -151.,  272.]))
(1, 7147, 7085, 7199, array([ 7488.,   864., -2976.]), array([ -204.,  1935.,   689.]), array([-441., -148.,  262.]))
(1, 8096, 8093, 7199, array([ 7552.,   688., -2944.]), array([ -249.,  1928.,   675.]), array([-441., -148.,  262.]))
(1, 9520, 9101, 7199, array([ 7680.,   560., -2880.]), array([ -274.,  1930.,   685.]), array([-441., -148.,  262.]))
(1, 10469, 10109, 9747, array([ 7744.,   480., -2848.]), array([ -406.,  1931.,   721.]), array([-441., -145.,  262.]))
(1, 11417, 11118, 9747, array([ 7728.,   448., -2912.]), array([ -600.,  1892.,   750.]), array([-441., -145.,  262.]))
(1, 13790, 13134, 12296, array([ 7648.,   496., -2624.]), array([-1045.,  1828.,   798.]), array([-446., -146.,  266.]))
