(1, 53513, 53219, 51379, array([ 7424., -1600., -2144.]), array([ 33.,  -2., -28.]), array([-480.,   56.,  304.]))
(1, 54462, 54228, 53926, array([ 7472., -1648., -2160.]), array([-11.,   6., -25.]), array([-481.,   54.,  305.]))
(1, 55411, 55236, 53926, array([ 7456., -1632., -2112.]), array([  0.,   7., -28.]), array([-481.,   54.,  305.]))
(1, 58732, 58260, 59021, array([ 7504., -1616., -2160.]), array([-38., -12., -11.]), array([-481.,   55.,  304.]))
(1, 60155, 59268, 59021, array([ 7456., -1552., -2160.]), array([-42.,  17., -19.]), array([-481.,   55.,  304.]))
(1, 62053, 62293, 61568, array([ 7488., -1504., -2144.]), array([-51.,   7.,  -4.]), array([-482.,   55.,  303.]))
(1, 63477, 63301, 61568, array([ 7488., -1504., -2160.]), array([-30.,   1., -20.]), array([-482.,   55.,  303.]))
(1, 64426, 64309, 64115, array([ 7472., -1536., -2208.]), array([-57.,   6., -32.]), array([-481.,   56.,  303.]))
(1, 314, 65317, 64115, array([ 7504., -1472., -2176.]), array([-50.,  42., -40.]), array([-481.,   56.,  303.]))
(1, 1263, 789, 1127, array([ 7424., -1488., -2208.]), array([ -6.,  33., -56.]), array([-476.,   55.,  302.]))
(1, 2212, 1798, 1127, array([ 7472., -1472., -2176.]), array([  5.,  33., -53.]), array([-476.,   55.,  302.]))
(1, 3635, 2806, 3674, array([ 7536., -1456., -2128.]), array([ 30.,  34., -56.]), array([-479.,   55.,  304.]))
(1, 4584, 4822, 3674, array([ 7440., -1472., -2048.]), array([ 37.,  56., -52.]), array([-479.,   55.,  304.]))
(1, 5533, 5830, 3674, array([ 7472., -1472., -2064.]), array([ 80.,  59., -64.]), array([-479.,   55.,  304.]))
(1, 6956, 6838, 6221, array([ 7408., -1504., -2016.]), array([ 39.,  64., -35.]), array([-479.,   54.,  304.]))
(1, 7905, 7847, 6221, array([ 7408., -1488., -2000.]), array([ -11.,  101.,   16.]), array([-479.,   54.,  304.]))
(1, 9329, 8855, 8767, array([ 7440., -1504., -1952.]), array([ -52.,  147.,   -5.]), array([-482.,   54.,  302.]))
(1, 10278, 9863, 8767, array([ 7488., -1568., -1968.]), array([ -69.,  162.,  -25.]), array([-482.,   54.,  302.]))
(1, 11227, 10871, 11314, array([ 7504., -1584., -2000.]), array([ -76.,  169.,   17.]), array([-482.,   54.,  305.]))
(1, 12652, 11879, 11314, array([ 7488., -1504., -2000.]), array([-124.,  229.,   42.]), array([-482.,   54.,  305.]))
(1, 13601, 12887, 13860, array([ 7488., -1552., -2032.]), array([-108.,  208.,   74.]), array([-483.,   55.,  302.]))
(1, 14550, 14904, 13860, array([ 7520., -1600., -2000.]), array([-129.,  241.,   59.]), array([-483.,   55.,  302.]))
(1, 15973, 15912, 13860, array([ 7536., -1536., -2000.]), array([-173.,  245.,   16.]), array([-483.,   55.,  302.]))
(1, 16922, 16920, 16407, array([ 7584., -1536., -2016.]), array([-197.,  249.,  -15.]), array([-481.,   51.,  302.]))
(1, 18345, 17928, 16407, array([ 7632., -1472., -2016.]), array([-152.,  201.,  -24.]), array([-481.,   51.,  302.]))
(1, 19294, 18936, 18954, array([ 7632., -1456., -1936.]), array([-127.,  195.,  -41.]), array([-479.,   53.,  302.]))
(1, 20243, 19944, 18954, array([ 7632., -1504., -1856.]), array([-133.,  207.,  -35.]), array([-479.,   53.,  302.]))
(1, 21667, 20953, 21501, array([ 7536., -1424., -1904.]), array([ -51.,  224.,  -42.]), array([-482.,   53.,  301.]))
