(1, 30195, 29814, 27841, array([ 3840.,   368., -5360.]), array([ -614.,  5222.,  1129.]), array([-113., -189.,  517.]))
(1, 31144, 30822, 30386, array([ 3632.,   544., -5504.]), array([ -823.,  5273.,  1181.]), array([-113., -187.,  517.]))
(1, 32568, 31830, 30386, array([ 3632.,   864., -5632.]), array([ -935.,  5324.,  1231.]), array([-113., -187.,  517.]))
(1, 33518, 32838, 32934, array([ 3760.,  1056., -5712.]), array([-1048.,  5451.,  1295.]), array([-126., -189.,  514.]))
(1, 34467, 34854, 32934, array([ 3920.,  1216., -5920.]), array([ -984.,  5674.,  1405.]), array([-126., -189.,  514.]))
(1, 35892, 35863, 35480, array([ 4016.,  1472., -6176.]), array([ -844.,  5748.,  1444.]), array([-141., -189.,  509.]))
(1, 36841, 36871, 35480, array([ 4128.,  1520., -6336.]), array([ -604.,  5808.,  1492.]), array([-141., -189.,  509.]))
(1, 37791, 37879, 38028, array([ 4240.,  1600., -6496.]), array([ -346.,  5842.,  1478.]), array([-152., -189.,  509.]))
(1, 39215, 38887, 38028, array([ 4400.,  1424., -6544.]), array([ -116.,  5860.,  1495.]), array([-152., -189.,  509.]))
(1, 40164, 39895, 38028, array([ 4528.,  1280., -6528.]), array([  116.,  5813.,  1497.]), array([-152., -189.,  509.]))
(1, 41589, 40903, 40575, array([ 4512.,  1120., -6368.]), array([  214.,  5789.,  1520.]), array([-165., -183.,  500.]))
(1, 42538, 41911, 40575, array([ 4528.,   960., -6208.]), array([  322.,  5716.,  1504.]), array([-165., -183.,  500.]))
(1, 43487, 42919, 43121, array([ 4560.,   752., -6128.]), array([  355.,  5675.,  1493.]), array([-181., -184.,  500.]))
(1, 44911, 44936, 43121, array([ 4608.,   576., -6064.]), array([  107.,  5674.,  1464.]), array([-181., -184.,  500.]))
(1, 45860, 45944, 45668, array([ 4784.,   432., -5968.]), array([ -138.,  5684.,  1496.]), array([-191., -180.,  495.]))
(1, 46810, 46952, 45668, array([ 5040.,   416., -5808.]), array([ -445.,  5717.,  1554.]), array([-191., -180.,  495.]))
(1, 48234, 47960, 48215, array([ 5360.,   384., -5712.]), array([ -761.,  5741.,  1600.]), array([-207., -177.,  492.]))
(1, 49183, 48968, 48215, array([ 5408.,   432., -5776.]), array([-1047.,  5751.,  1651.]), array([-207., -177.,  492.]))
(1, 50606, 49976, 48215, array([ 5568.,   560., -5808.]), array([-1292.,  5784.,  1734.]), array([-207., -177.,  492.]))
(1, 51556, 50985, 50762, array([ 5776.,   656., -5808.]), array([-1569.,  5822.,  1786.]), array([-218., -178.,  487.]))
(1, 52505, 51993, 50762, array([ 6000.,   704., -5744.]), array([-1736.,  5806.,  1842.]), array([-218., -178.,  487.]))
(1, 53930, 53001, 53309, array([ 6176.,   816., -5744.]), array([-1887.,  5829.,  1883.]), array([-232., -179.,  483.]))
(1, 54879, 55017, 53309, array([ 6192.,   896., -5872.]), array([-2098.,  5823.,  1937.]), array([-232., -179.,  483.]))
(1, 55829, 56025, 55857, array([ 6192.,   976., -5936.]), array([-2084.,  5788.,  1939.]), array([-258., -181.,  463.]))
(1, 57253, 57033, 55857, array([ 6400.,   992., -5872.]), array([-2054.,  5742.,  1906.]), array([-258., -181.,  463.]))
(1, 58202, 58042, 58404, array([ 6592.,  1024., -5728.]), array([-2069.,  5770.,  1893.]), array([-258., -180.,  463.]))
(1, 59627, 59050, 58404, array([ 6672.,  1104., -5648.]), array([-2074.,  5757.,  1893.]), array([-258., -180.,  463.]))
(1, 60577, 60058, 58404, array([ 6704.,  1104., -5696.]), array([-2037.,  5744.,  1867.]), array([-258., -180.,  463.]))
(1, 61526, 61066, 60950, array([ 6752.,  1200., -5632.]), array([-2046.,  5753.,  1862.]), array([-269., -183.,  455.]))
(1, 62950, 62074, 60950, array([ 7008.,  1264., -5472.]), array([-2024.,  5766.,  1866.]), array([-269., -183.,  455.]))
