(1, 2732, 2823, 1345, array([ 6912., -3088., -4336.]), array([-1170., -6885.,  3688.]), array([-262.,   90.,  529.]))
(1, 3681, 3831, 3892, array([ 6816., -3072., -4288.]), array([-1265., -6834.,  3663.]), array([-262.,   90.,  534.]))
(1, 5105, 4839, 3892, array([ 6640., -3024., -4128.]), array([-1397., -6774.,  3652.]), array([-262.,   90.,  534.]))
(1, 6055, 5847, 3892, array([ 6480., -2896., -4064.]), array([-1454., -6690.,  3611.]), array([-262.,   90.,  534.]))
(1, 7004, 6855, 6439, array([ 6288., -2864., -4048.]), array([-1578., -6622.,  3589.]), array([-247.,   89.,  534.]))
(1, 8427, 7863, 6439, array([ 6096., -2816., -4064.]), array([-1715., -6574.,  3550.]), array([-247.,   89.,  534.]))
(1, 9377, 8871, 8986, array([ 5888., -2848., -4224.]), array([-1868., -6467.,  3489.]), array([-230.,   87.,  543.]))
(1, 10326, 9879, 8986, array([ 5744., -2864., -4304.]), array([-2041., -6326.,  3459.]), array([-230.,   87.,  543.]))
(1, 11750, 10888, 11533, array([ 5648., -2784., -4624.]), array([-2169., -6223.,  3466.]), array([-217.,   85.,  548.]))
(1, 12699, 12904, 11533, array([ 5520., -2672., -4704.]), array([-2394., -6020.,  3382.]), array([-217.,   85.,  548.]))
(1, 13649, 13912, 14080, array([ 5424., -2496., -4736.]), array([-2442., -5970.,  3355.]), array([-205.,   81.,  555.]))
(1, 15073, 14920, 14080, array([ 5296., -2272., -4704.]), array([-2424., -5939.,  3311.]), array([-205.,   81.,  555.]))
(1, 16021, 15928, 14080, array([ 5216., -2224., -4592.]), array([-2299., -5910.,  3275.]), array([-205.,   81.,  555.]))
(1, 17445, 16936, 16627, array([ 5040., -2128., -4448.]), array([-2200., -5863.,  3213.]), array([-189.,   79.,  558.]))
(1, 18394, 17945, 16627, array([ 4848., -2144., -4400.]), array([-2047., -5825.,  3161.]), array([-189.,   79.,  558.]))
(1, 19343, 18953, 19174, array([ 4688., -2160., -4272.]), array([-1981., -5780.,  3080.]), array([-180.,   74.,  565.]))
(1, 20766, 19961, 19174, array([ 4416., -2112., -4288.]), array([-1965., -5696.,  3028.]), array([-180.,   74.,  565.]))
(1, 21715, 21977, 21721, array([ 4304., -2064., -4464.]), array([-2004., -5459.,  2877.]), array([-150.,   69.,  571.]))
(1, 22664, 22985, 21721, array([ 4320., -2016., -4672.]), array([-1967., -5321.,  2794.]), array([-150.,   69.,  571.]))
(1, 24088, 23993, 21721, array([ 4272., -1952., -4800.]), array([-1951., -5233.,  2702.]), array([-150.,   69.,  571.]))
(1, 25037, 25002, 24268, array([ 4224., -2048., -4896.]), array([-1960., -5169.,  2653.]), array([-150.,   68.,  571.]))
(1, 26461, 26010, 24268, array([ 4176., -1936., -4976.]), array([-1917., -5123.,  2589.]), array([-150.,   68.,  571.]))
(1, 27410, 27018, 26815, array([ 4096., -1840., -4992.]), array([-1841., -5092.,  2540.]), array([-139.,   61.,  571.]))
(1, 28359, 28026, 26815, array([ 3952., -1792., -4976.]), array([-1770., -5044.,  2492.]), array([-139.,   61.,  571.]))
(1, 30731, 30042, 29361, array([ 3584., -1888., -4976.]), array([-1447., -5039.,  2363.]), array([-124.,   58.,  574.]))
(1, 31680, 32059, 31909, array([ 3392., -1856., -4880.]), array([-1210., -4935.,  2196.]), array([-113.,   55.,  574.]))
(1, 33103, 33067, 31909, array([ 3216., -1904., -4672.]), array([-1078., -4880.,  2132.]), array([-113.,   55.,  574.]))
(1, 34051, 34075, 31909, array([ 3088., -1856., -4608.]), array([ -978., -4824.,  2032.]), array([-113.,   55.,  574.]))
(1, 35475, 35083, 34455, array([ 3040., -1824., -4592.]), array([ -947., -4762.,  1937.]), array([-101.,   51.,  576.]))
(1, 36424, 36091, 34455, array([ 2976., -1728., -4608.]), array([ -878., -4667.,  1860.]), array([-101.,   51.,  576.]))
(1, 37373, 37099, 37003, array([ 2944., -1664., -4656.]), array([ -881., -4555.,  1764.]), array([ -92.,   49.,  576.]))
(1, 38796, 38107, 37003, array([ 2848., -1664., -4832.]), array([ -842., -4484.,  1715.]), array([ -92.,   49.,  576.]))
(1, 39746, 39115, 39551, array([ 2800., -1680., -4976.]), array([ -764., -4358.,  1620.]), array([ -81.,   46.,  576.]))
(1, 40695, 41132, 39551, array([ 2768., -1792., -5104.]), array([ -609., -4187.,  1564.]), array([ -81.,   46.,  576.]))
(1, 42118, 42140, 42097, array([ 2608., -1984., -5248.]), array([ -612., -4115.,  1534.]), array([ -73.,   46.,  576.]))
(1, 43067, 43148, 42097, array([ 2624., -2080., -5232.]), array([ -601., -4025.,  1516.]), array([ -73.,   46.,  576.]))
(1, 44490, 44156, 42097, array([ 2400., -2128., -5088.]), array([ -576., -3948.,  1486.]), array([ -73.,   46.,  576.]))
(1, 45439, 45164, 44644, array([ 2272., -2192., -5008.]), array([ -583., -3930.,  1463.]), array([ -64.,   45.,  578.]))
(1, 46388, 46172, 44644, array([ 2208., -2144., -4928.]), array([ -585., -3885.,  1447.]), array([ -64.,   45.,  578.]))
(1, 47812, 47181, 47191, array([ 2080., -2192., -4928.]), array([ -648., -3805.,  1433.]), array([ -55.,   39.,  582.]))
