(1, 48855, 48174, 47288, array([ 7728., -1984., -2000.]), array([  280.,  1400.,  -867.]), array([-474.,    5.,  314.]))
(1, 49804, 49182, 49835, array([ 7696., -2064., -1968.]), array([   89.,  1390.,  -897.]), array([-475.,    1.,  310.]))
(1, 50753, 50190, 49835, array([ 7728., -2112., -1920.]), array([ -226.,  1369.,  -855.]), array([-475.,    1.,  310.]))
(1, 52177, 52207, 49835, array([ 7744., -2080., -1968.]), array([ -874.,  1413.,  -746.]), array([-475.,    1.,  310.]))
(1, 53126, 53215, 52383, array([ 7728., -1984., -1952.]), array([-1215.,  1455.,  -706.]), array([-475.,   -1.,  310.]))
(1, 54076, 54223, 52383, array([ 7696., -1920., -2048.]), array([-1481.,  1480.,  -669.]), array([-475.,   -1.,  310.]))
(1, 55499, 55231, 54930, array([ 7760., -1808., -2096.]), array([-1759.,  1499.,  -652.]), array([-475.,   -7.,  310.]))
(1, 56448, 56239, 54930, array([ 7696., -1744., -2080.]), array([-1957.,  1503.,  -610.]), array([-475.,   -7.,  310.]))
(1, 57872, 57247, 57477, array([ 7744., -1584., -2064.]), array([-2177.,  1497.,  -552.]), array([-482.,   -5.,  305.]))
(1, 58821, 58255, 57477, array([ 7776., -1424., -2064.]), array([-2273.,  1484.,  -519.]), array([-482.,   -5.,  305.]))
(1, 59771, 59264, 60025, array([ 7744., -1296., -2096.]), array([-2314.,  1485.,  -501.]), array([-479.,  -15.,  301.]))
(1, 61195, 60272, 60025, array([ 7728., -1136., -2080.]), array([-2311.,  1494.,  -449.]), array([-479.,  -15.,  301.]))
(1, 62145, 62288, 60025, array([ 7760., -1104., -2080.]), array([-2090.,  1467.,  -362.]), array([-479.,  -15.,  301.]))
(1, 63094, 63296, 62572, array([ 7760., -1072., -2144.]), array([-1932.,  1467.,  -350.]), array([-478.,  -14.,  295.]))
(1, 64518, 64304, 62572, array([ 7760.,  -992., -2064.]), array([-1742.,  1439.,  -342.]), array([-478.,  -14.,  295.]))
(1, 65468, 65313, 65119, array([ 7744., -1008., -2064.]), array([-1579.,  1428.,  -302.]), array([-478.,  -16.,  293.]))
(1, 881, 785, 65119, array([ 7776.,  -976., -2048.]), array([-1338.,  1402.,  -283.]), array([-478.,  -16.,  293.]))
(1, 2305, 1793, 2130, array([ 7744., -1088., -2000.]), array([-1168.,  1379.,  -259.]), array([-482.,  -18.,  290.]))
(1, 4204, 3809, 4678, array([ 7744., -1216., -2032.]), array([ -911.,  1342.,  -242.]), array([-482.,  -23.,  284.]))
(1, 5627, 5825, 4678, array([ 7824., -1184., -2000.]), array([ -815.,  1282.,  -240.]), array([-482.,  -23.,  284.]))
(1, 6577, 6834, 4678, array([ 7808., -1200., -2080.]), array([ -801.,  1267.,  -223.]), array([-482.,  -23.,  284.]))
(1, 8000, 7842, 7225, array([ 7728., -1184., -1984.]), array([ -772.,  1249.,  -221.]), array([-483.,  -20.,  284.]))
(1, 8950, 8850, 7225, array([ 7776., -1200., -2000.]), array([ -722.,  1204.,  -221.]), array([-483.,  -20.,  284.]))
(1, 9900, 9858, 9773, array([ 7776., -1136., -2032.]), array([ -698.,  1171.,  -228.]), array([-487.,  -23.,  283.]))
(1, 11324, 10866, 9773, array([ 7808., -1056., -2080.]), array([ -620.,  1146.,  -220.]), array([-487.,  -23.,  283.]))
(1, 12273, 11874, 12319, array([ 7824., -1056., -2080.]), array([ -598.,  1124.,  -218.]), array([-482.,  -27.,  282.]))
(1, 14647, 13891, 12319, array([ 7840., -1040., -2032.]), array([ -382.,  1073.,  -252.]), array([-482.,  -27.,  282.]))
(1, 15596, 15907, 14867, array([ 7792.,  -896., -1968.]), array([-116.,  995., -209.]), array([-482.,  -26.,  282.]))
(1, 17020, 16915, 14867, array([ 7808.,  -976., -2032.]), array([  -5.,  980., -218.]), array([-482.,  -26.,  282.]))
(1, 17969, 17923, 17415, array([ 7856., -1008., -1968.]), array([  66.,  943., -232.]), array([-485.,  -25.,  277.]))
(1, 18919, 18931, 17415, array([ 7920.,  -976., -1984.]), array([ 189.,  899., -276.]), array([-485.,  -25.,  277.]))
(1, 20343, 19940, 19962, array([ 7840.,  -912., -1904.]), array([ 256.,  885., -257.]), array([-486.,  -25.,  274.]))
(1, 21292, 20948, 19962, array([ 7872., -1008., -1840.]), array([ 368.,  849., -233.]), array([-486.,  -25.,  274.]))
(1, 23666, 22964, 22508, array([ 7776., -1088., -1808.]), array([ 504.,  768., -233.]), array([-485.,  -29.,  274.]))
(1, 24615, 23972, 22508, array([ 7744., -1088., -1824.]), array([ 516.,  717., -239.]), array([-485.,  -29.,  274.]))
(1, 26039, 25989, 25054, array([ 7776., -1152., -1792.]), array([ 518.,  725., -239.]), array([-487.,  -27.,  273.]))
(1, 26988, 26997, 25054, array([ 7760., -1168., -1840.]), array([ 456.,  691., -243.]), array([-487.,  -27.,  273.]))
(1, 27938, 28005, 27601, array([ 7760., -1216., -1792.]), array([ 476.,  679., -265.]), array([-484.,  -26.,  275.]))
(1, 29362, 29013, 27601, array([ 7808., -1152., -1840.]), array([ 408.,  676., -239.]), array([-484.,  -26.,  275.]))
(1, 30311, 30021, 30149, array([ 7904., -1232., -1840.]), array([ 274.,  649., -242.]), array([-490.,  -26.,  271.]))
(1, 31261, 31029, 30149, array([ 7856., -1248., -1776.]), array([ 219.,  616., -237.]), array([-490.,  -26.,  271.]))
(1, 32684, 32038, 32695, array([ 7808., -1136., -1712.]), array([ 106.,  602., -228.]), array([-485.,  -31.,  271.]))
(1, 33633, 33046, 32695, array([ 7808., -1152., -1744.]), array([  34.,  602., -201.]), array([-485.,  -31.,  271.]))
(1, 35057, 35062, 32695, array([ 7856., -1088., -1680.]), array([ -65.,  566., -193.]), array([-485.,  -31.,  271.]))
(1, 36007, 36070, 35242, array([ 7840., -1104., -1616.]), array([ -74.,  534., -141.]), array([-485.,  -29.,  271.]))
(1, 36957, 37078, 35242, array([ 7840., -1040., -1552.]), array([ -97.,  540., -121.]), array([-485.,  -29.,  271.]))
(1, 38382, 38086, 37788, array([ 7776., -1056., -1536.]), array([-146.,  513., -116.]), array([-489.,  -32.,  271.]))
(1, 39331, 39095, 37788, array([ 7760., -1072., -1504.]), array([-182.,  505., -154.]), array([-489.,  -32.,  271.]))
(1, 40280, 40103, 40334, array([ 7840., -1104., -1536.]), array([-283.,  489., -162.]), array([-488.,  -28.,  267.]))
(1, 41703, 41111, 40334, array([ 7808., -1008., -1552.]), array([-299.,  484., -148.]), array([-488.,  -28.,  267.]))
(1, 42653, 42119, 42881, array([ 7712.,  -928., -1536.]), array([-377.,  461., -140.]), array([-489.,  -30.,  267.]))
(1, 44077, 43127, 42881, array([ 7792.,  -896., -1520.]), array([-389.,  451., -148.]), array([-489.,  -30.,  267.]))
(1, 45026, 45144, 42881, array([ 7744.,  -880., -1584.]), array([-405.,  428., -155.]), array([-489.,  -30.,  267.]))
(1, 45976, 46152, 45429, array([ 7808.,  -784., -1536.]), array([-327.,  411., -159.]), array([-489.,  -33.,  267.]))
(1, 47399, 47160, 45429, array([ 7744.,  -816., -1616.]), array([-293.,  411., -150.]), array([-489.,  -33.,  267.]))
(1, 48348, 48168, 47975, array([ 7776.,  -848., -1568.]), array([-219.,  409., -170.]), array([-486.,  -30.,  264.]))
(1, 49298, 49176, 47975, array([ 7744.,  -864., -1616.]), array([-144.,  401., -147.]), array([-486.,  -30.,  264.]))
(1, 50721, 50184, 50522, array([ 7744.,  -880., -1568.]), array([ -75.,  405., -140.]), array([-489.,  -35.,  266.]))
(1, 51671, 51192, 50522, array([ 7808.,  -912., -1600.]), array([  11.,  426., -161.]), array([-489.,  -35.,  266.]))
(1, 52620, 52201, 53069, array([ 7808.,  -944., -1568.]), array([  32.,  404., -204.]), array([-489.,  -33.,  264.]))
(1, 54044, 53209, 53069, array([ 7824., -1008., -1520.]), array([ 102.,  383., -178.]), array([-489.,  -33.,  264.]))
(1, 54994, 55225, 53069, array([ 7856.,  -992., -1456.]), array([ 130.,  319., -115.]), array([-489.,  -33.,  264.]))
(1, 56418, 56233, 55616, array([ 7872., -1088., -1440.]), array([ 158.,  297., -121.]), array([-490.,  -34.,  265.]))
(1, 57367, 57241, 55616, array([ 7824., -1040., -1408.]), array([ 181.,  281.,  -88.]), array([-490.,  -34.,  265.]))
(1, 58316, 58250, 58163, array([ 7824., -1104., -1376.]), array([ 217.,  240.,  -67.]), array([-488.,  -32.,  262.]))
(1, 59740, 59258, 58163, array([ 7904., -1168., -1376.]), array([ 223.,  211.,  -66.]), array([-488.,  -32.,  262.]))
(1, 60689, 60266, 60710, array([ 7920., -1200., -1344.]), array([ 159.,  209.,  -75.]), array([-489.,  -35.,  262.]))
(1, 61638, 61274, 60710, array([ 7936., -1184., -1328.]), array([ 155.,  191.,  -76.]), array([-489.,  -35.,  262.]))
(1, 63062, 62282, 60710, array([ 7920., -1104., -1408.]), array([  60.,  176., -103.]), array([-489.,  -35.,  262.]))
