(1, 46252, 45868, 43823, array([ 7904.,  -832., -2592.]), array([  337., -2459.,   842.]), array([-472.,  -35.,  299.]))
(1, 47201, 46876, 46369, array([ 7904.,  -880., -2544.]), array([  552., -2497.,   862.]), array([-472.,  -34.,  309.]))
(1, 48150, 47884, 46369, array([ 7824.,  -880., -2480.]), array([  774., -2535.,   888.]), array([-472.,  -34.,  309.]))
(1, 49574, 48892, 48915, array([ 7744., -1056., -2400.]), array([  986., -2585.,   859.]), array([-469.,  -30.,  313.]))
(1, 50523, 49901, 48915, array([ 7744., -1072., -2336.]), array([ 1130., -2610.,   856.]), array([-469.,  -30.,  313.]))
(1, 52897, 52925, 51460, array([ 7648., -1328., -2544.]), array([ 1271., -2649.,   908.]), array([-468.,  -29.,  313.]))
(1, 53846, 53933, 54005, array([ 7568., -1280., -2704.]), array([ 1147., -2631.,   868.]), array([-465.,  -26.,  319.]))
(1, 55270, 54941, 54005, array([ 7632., -1216., -2992.]), array([  994., -2598.,   885.]), array([-465.,  -26.,  319.]))
(1, 56219, 55950, 54005, array([ 7616., -1264., -3136.]), array([  908., -2593.,   906.]), array([-465.,  -26.,  319.]))
(1, 57168, 56958, 56551, array([ 7568., -1376., -3232.]), array([  776., -2595.,   935.]), array([-463.,  -22.,  324.]))
(1, 58592, 57966, 56551, array([ 7648., -1360., -3216.]), array([  623., -2608.,   942.]), array([-463.,  -22.,  324.]))
(1, 59541, 58974, 59096, array([ 7632., -1264., -3200.]), array([  510., -2634.,   942.]), array([-459.,  -19.,  334.]))
(1, 60491, 59982, 59096, array([ 7552., -1280., -3152.]), array([  374., -2679.,   941.]), array([-459.,  -19.,  334.]))
(1, 61915, 61998, 61641, array([ 7680., -1216., -3184.]), array([  250., -2715.,   851.]), array([-459.,  -21.,  334.]))
(1, 62864, 63007, 61641, array([ 7664., -1168., -3120.]), array([  223., -2695.,   814.]), array([-459.,  -21.,  334.]))
(1, 64288, 64015, 64186, array([ 7536., -1072., -3120.]), array([  241., -2709.,   759.]), array([-455.,  -19.,  342.]))
(1, 65237, 65023, 64186, array([ 7536., -1056., -3136.]), array([  269., -2746.,   689.]), array([-455.,  -19.,  342.]))
(1, 651, 495, 64186, array([ 7536., -1088., -3040.]), array([  390., -2807.,   655.]), array([-455.,  -19.,  342.]))
(1, 2074, 1503, 1195, array([ 7392., -1120., -3088.]), array([  442., -2789.,   620.]), array([-454.,  -13.,  346.]))
(1, 3024, 2511, 1195, array([ 7376., -1152., -3168.]), array([  503., -2813.,   601.]), array([-454.,  -13.,  346.]))
(1, 3973, 3520, 3739, array([ 7456., -1264., -3104.]), array([  579., -2832.,   600.]), array([-451.,  -15.,  347.]))
(1, 5398, 4528, 3739, array([ 7488., -1328., -3248.]), array([  601., -2799.,   602.]), array([-451.,  -15.,  347.]))
(1, 6347, 6544, 6284, array([ 7504., -1360., -3296.]), array([  574., -2779.,   579.]), array([-448.,   -7.,  354.]))
(1, 7296, 7552, 6284, array([ 7456., -1328., -3424.]), array([  544., -2789.,   599.]), array([-448.,   -7.,  354.]))
(1, 8720, 8560, 8829, array([ 7504., -1296., -3472.]), array([  540., -2797.,   593.]), array([-444.,  -10.,  360.]))
(1, 9670, 9569, 8829, array([ 7488., -1248., -3472.]), array([  508., -2829.,   604.]), array([-444.,  -10.,  360.]))
(1, 11093, 10577, 8829, array([ 7424., -1264., -3392.]), array([  530., -2869.,   614.]), array([-444.,  -10.,  360.]))
(1, 12043, 11585, 11375, array([ 7328., -1216., -3360.]), array([  538., -2882.,   606.]), array([-444.,   -6.,  365.]))
(1, 12992, 12593, 11375, array([ 7312., -1200., -3248.]), array([  550., -2948.,   599.]), array([-444.,   -6.,  365.]))
(1, 14415, 13601, 13920, array([ 7296., -1264., -3168.]), array([  575., -2994.,   587.]), array([-443.,   -7.,  367.]))
(1, 16314, 16626, 16466, array([ 7184., -1584., -3088.]), array([  397., -3020.,   458.]), array([-438.,   -2.,  373.]))
(1, 17738, 17634, 16466, array([ 7216., -1600., -3136.]), array([  225., -3030.,   419.]), array([-438.,   -2.,  373.]))
(1, 18687, 18642, 16466, array([ 7152., -1568., -3200.]), array([   91., -3023.,   338.]), array([-438.,   -2.,  373.]))
(1, 20111, 19650, 19011, array([ 7104., -1568., -3312.]), array([  -67., -3020.,   302.]), array([-431.,   -3.,  380.]))
(1, 21060, 20658, 19011, array([ 7024., -1536., -3328.]), array([ -178., -3025.,   301.]), array([-431.,   -3.,  380.]))
(1, 22009, 21666, 21556, array([ 6912., -1488., -3376.]), array([ -248., -2994.,   292.]), array([-425.,   -4.,  391.]))
(1, 23433, 22675, 21556, array([ 6880., -1376., -3472.]), array([ -332., -2989.,   288.]), array([-425.,   -4.,  391.]))
(1, 24383, 23683, 24101, array([ 6896., -1280., -3520.]), array([ -299., -2978.,   277.]), array([-425.,   -2.,  391.]))
(1, 25331, 25699, 24101, array([ 6880., -1200., -3552.]), array([ -143., -2894.,   230.]), array([-425.,   -2.,  391.]))
(1, 26756, 26707, 26646, array([ 6880., -1104., -3584.]), array([  -19., -2866.,   198.]), array([-419.,   -2.,  396.]))
(1, 27705, 27715, 26646, array([ 6864., -1040., -3616.]), array([  173., -2859.,   194.]), array([-419.,   -2.,  396.]))
(1, 29129, 28724, 26646, array([ 6832., -1056., -3600.]), array([  397., -2827.,   197.]), array([-419.,   -2.,  396.]))
(1, 30079, 29732, 29191, array([ 6768., -1136., -3584.]), array([  589., -2804.,   198.]), array([-418.,   -4.,  404.]))
(1, 31028, 30740, 29191, array([ 6800., -1248., -3552.]), array([  743., -2762.,   212.]), array([-418.,   -4.,  404.]))
