(1, 62195, 61916, 61505, array([ 7408.,   288., -3456.]), array([  -37.,  3684.,    52.]), array([-470.,   -7.,  216.]))
(1, 63144, 62925, 61505, array([ 7424.,   304., -3376.]), array([   68.,  3674.,    29.]), array([-470.,   -7.,  216.]))
(1, 64568, 63933, 64050, array([ 7584.,   384., -3360.]), array([  174.,  3658.,    35.]), array([-475.,   -3.,  213.]))
(1, 65517, 64941, 64050, array([ 7600.,   416., -3344.]), array([  256.,  3616.,   -13.]), array([-475.,   -3.,  213.]))
(1, 930, 413, 1058, array([ 7632.,   416., -3280.]), array([  335.,  3602.,   -43.]), array([-470.,   -3.,  205.]))
(1, 2354, 2430, 1058, array([ 7664.,   512., -3232.]), array([  520.,  3630.,  -104.]), array([-470.,   -3.,  205.]))
(1, 3303, 3438, 3604, array([ 7728.,   592., -3216.]), array([  636.,  3603.,  -144.]), array([-475.,   -1.,  197.]))
(1, 4727, 4446, 3604, array([ 7760.,   592., -3152.]), array([  709.,  3580.,  -209.]), array([-475.,   -1.,  197.]))
(1, 5676, 5454, 3604, array([ 7792.,   576., -3168.]), array([  801.,  3583.,  -247.]), array([-475.,   -1.,  197.]))
(1, 6625, 6463, 6150, array([ 7760.,   528., -3152.]), array([  901.,  3547.,  -319.]), array([-474.,   -6.,  186.]))
(1, 8049, 7471, 6150, array([ 7776.,   576., -3008.]), array([  968.,  3534.,  -383.]), array([-474.,   -6.,  186.]))
(1, 8999, 8479, 8695, array([ 7760.,   576., -2992.]), array([ 1150.,  3542.,  -469.]), array([-477.,    0.,  186.]))
(1, 9948, 9487, 8695, array([ 7840.,   544., -2928.]), array([ 1285.,  3543.,  -541.]), array([-477.,    0.,  186.]))
(1, 11373, 10496, 11241, array([ 7888.,   576., -2912.]), array([ 1412.,  3565.,  -641.]), array([-476.,    0.,  180.]))
(1, 12322, 12512, 11241, array([ 7888.,   496., -2864.]), array([ 1636.,  3566.,  -802.]), array([-476.,    0.,  180.]))
(1, 13272, 13520, 11241, array([ 7872.,   464., -2784.]), array([ 1811.,  3592.,  -868.]), array([-476.,    0.,  180.]))
(1, 14696, 14529, 13787, array([ 7856.,   400., -2720.]), array([ 1899.,  3605.,  -932.]), array([-479.,   -5.,  165.]))
(1, 15645, 15537, 13787, array([ 7856.,   352., -2672.]), array([ 2015.,  3572.,  -998.]), array([-479.,   -5.,  165.]))
(1, 17069, 16545, 16332, array([ 7840.,   240., -2720.]), array([ 2178.,  3554., -1073.]), array([-479.,   -4.,  165.]))
(1, 18018, 17553, 16332, array([ 7856.,   240., -2784.]), array([ 2222.,  3563., -1084.]), array([-479.,   -4.,  165.]))
(1, 18968, 18561, 18878, array([ 7856.,   288., -2800.]), array([ 2316.,  3627., -1130.]), array([-479.,   -5.,  161.]))
(1, 20392, 19570, 18878, array([ 7808.,   304., -2960.]), array([ 2497.,  3657., -1184.]), array([-479.,   -5.,  161.]))
(1, 21341, 21586, 21422, array([ 7776.,   368., -2960.]), array([ 2943.,  3733., -1286.]), array([-482.,   -6.,  157.]))
(1, 22290, 22594, 21422, array([ 7856.,   336., -3200.]), array([ 3271.,  3808., -1304.]), array([-482.,   -6.,  157.]))
(1, 23714, 23603, 21422, array([ 8016.,   480., -3536.]), array([ 3671.,  3864., -1313.]), array([-482.,   -6.,  157.]))
(1, 24663, 24611, 23969, array([ 8000.,   544., -3536.]), array([ 4312.,  3924., -1287.]), array([-484.,   -9.,  149.]))
(1, 26087, 25619, 23969, array([ 8112.,   560., -3984.]), array([ 4906.,  4039., -1311.]), array([-484.,   -9.,  149.]))
(1, 27036, 26627, 26514, array([ 8144.,   864., -4176.]), array([ 5538.,  4042., -1337.]), array([-486.,   -8.,  144.]))
