(1, 58616, 58851, 56561, array([ 7824.,  -208., -1104.]), array([ -315.,  1326.,   328.]), array([-495.,   55.,   87.]))
(1, 60039, 59859, 59107, array([ 7808.,  -192., -1152.]), array([ -366.,  1369.,   336.]), array([-499.,   56.,   82.]))
(1, 60988, 60867, 59107, array([ 7728.,  -192., -1200.]), array([ -329.,  1362.,   332.]), array([-499.,   56.,   82.]))
(1, 62412, 61875, 61652, array([ 7712.,  -192., -1184.]), array([ -331.,  1417.,   315.]), array([-499.,   55.,   82.]))
(1, 63361, 62884, 61652, array([ 7696.,  -176., -1184.]), array([ -352.,  1465.,   308.]), array([-499.,   55.,   82.]))
(1, 64310, 63892, 64197, array([ 7728.,  -144., -1184.]), array([ -330.,  1474.,   281.]), array([-495.,   58.,   80.]))
(1, 198, 64900, 64197, array([ 7712.,  -144., -1216.]), array([ -277.,  1528.,   283.]), array([-495.,   58.,   80.]))
(1, 1147, 1380, 1206, array([ 7648.,  -144., -1248.]), array([ -143.,  1534.,   264.]), array([-495.,   59.,   75.]))
(1, 2097, 2389, 1206, array([ 7744.,  -224., -1296.]), array([ -108.,  1558.,   293.]), array([-495.,   59.,   75.]))
(1, 3521, 3397, 1206, array([ 7744.,  -208., -1232.]), array([  -38.,  1585.,   291.]), array([-495.,   59.,   75.]))
(1, 4470, 4405, 3752, array([ 7776.,  -240., -1168.]), array([  -71.,  1628.,   300.]), array([-498.,   60.,   75.]))
(1, 5419, 5413, 3752, array([ 7760.,  -336., -1168.]), array([  -47.,  1631.,   326.]), array([-498.,   60.,   75.]))
(1, 6844, 6422, 6297, array([ 7824.,  -256., -1280.]), array([  -34.,  1614.,   286.]), array([-494.,   61.,   76.]))
(1, 7793, 7430, 6297, array([ 7872.,  -224., -1376.]), array([  -65.,  1621.,   301.]), array([-494.,   61.,   76.]))
(1, 9217, 8438, 8842, array([ 8000.,  -192., -1376.]), array([  -71.,  1675.,   307.]), array([-502.,   61.,   70.]))
(1, 10165, 9446, 8842, array([ 7968.,  -240., -1408.]), array([ -147.,  1689.,   304.]), array([-502.,   61.,   70.]))
(1, 11115, 11463, 11387, array([ 7984.,  -272., -1232.]), array([ -162.,  1618.,   344.]), array([-496.,   61.,   68.]))
(1, 12539, 12471, 11387, array([ 7920.,  -304., -1280.]), array([ -167.,  1619.,   328.]), array([-496.,   61.,   68.]))
(1, 13489, 13479, 11387, array([ 7936.,  -256., -1376.]), array([ -130.,  1650.,   324.]), array([-496.,   61.,   68.]))
(1, 14438, 14487, 13931, array([ 8032.,  -176., -1392.]), array([ -172.,  1647.,   299.]), array([-496.,   62.,   65.]))
(1, 15863, 15496, 13931, array([ 8064.,  -160., -1456.]), array([ -180.,  1624.,   303.]), array([-496.,   62.,   65.]))
(1, 16812, 16504, 16477, array([ 8032.,  -240., -1328.]), array([ -153.,  1611.,   298.]), array([-497.,   59.,   60.]))
(1, 18236, 17512, 16477, array([ 7968.,  -208., -1280.]), array([ -139.,  1616.,   252.]), array([-497.,   59.,   60.]))
(1, 19185, 18520, 19021, array([ 7984.,  -208., -1248.]), array([  -90.,  1615.,   233.]), array([-496.,   62.,   57.]))
(1, 20134, 19529, 19021, array([ 7984.,  -208., -1376.]), array([  -83.,  1613.,   226.]), array([-496.,   62.,   57.]))
(1, 21558, 21545, 21566, array([ 8032.,  -176., -1440.]), array([   16.,  1601.,   210.]), array([-494.,   63.,   53.]))
(1, 22508, 22553, 21566, array([ 8032.,  -128., -1488.]), array([   79.,  1614.,   213.]), array([-494.,   63.,   53.]))
(1, 23457, 23561, 21566, array([ 8016.,  -144., -1504.]), array([  149.,  1603.,   207.]), array([-494.,   63.,   53.]))
(1, 24881, 24570, 24111, array([ 7968.,  -256., -1472.]), array([  178.,  1597.,   220.]), array([-494.,   64.,   53.]))
(1, 25831, 25578, 24111, array([ 7920.,  -320., -1424.]), array([  266.,  1557.,   180.]), array([-494.,   64.,   53.]))
(1, 27255, 26586, 26656, array([ 7952.,  -432., -1376.]), array([  241.,  1557.,   192.]), array([-498.,   64.,   48.]))
(1, 28205, 27594, 26656, array([ 7968.,  -352., -1424.]), array([  228.,  1526.,   190.]), array([-498.,   64.,   48.]))
(1, 29154, 28603, 29201, array([ 7984.,  -288., -1440.]), array([  278.,  1520.,   183.]), array([-496.,   64.,   45.]))
(1, 30578, 30619, 29201, array([ 7952.,  -320., -1504.]), array([  264.,  1476.,   166.]), array([-496.,   64.,   45.]))
