(1, 10252, 10349, 10033, array([ 9024.,   944., -6864.]), array([ 2002., -9209., -1369.]), array([-462.,   69.,  273.]))
(1, 11675, 11358, 10033, array([ 9200.,   960., -6832.]), array([ 2056., -9233., -1410.]), array([-462.,   69.,  273.]))
(1, 12624, 12366, 12577, array([ 9296.,   928., -6896.]), array([ 2076., -9258., -1418.]), array([-455.,   67.,  285.]))
(1, 13574, 13374, 12577, array([ 9232.,   880., -6816.]), array([ 2116., -9326., -1389.]), array([-455.,   67.,  285.]))
(1, 14997, 14382, 12577, array([ 9152.,   720., -6672.]), array([ 2232., -9393., -1375.]), array([-455.,   67.,  285.]))
(1, 15947, 15390, 15123, array([ 9088.,   656., -6560.]), array([ 2341., -9492., -1371.]), array([-445.,   65.,  300.]))
(1, 16895, 16398, 15123, array([ 8944.,   528., -6512.]), array([ 2380., -9575., -1352.]), array([-445.,   65.,  300.]))
(1, 18319, 18415, 17669, array([ 8752.,   432., -6448.]), array([ 2330., -9686., -1335.]), array([-435.,   65.,  320.]))
(1, 19269, 19423, 17669, array([ 8544.,   304., -6400.]), array([ 2184., -9711., -1372.]), array([-435.,   65.,  320.]))
(1, 20218, 20431, 20215, array([ 8400.,   224., -6352.]), array([ 2068., -9746., -1419.]), array([-425.,   61.,  333.]))
(1, 21641, 21439, 20215, array([ 8384.,   208., -6256.]), array([ 1830., -9785., -1410.]), array([-425.,   61.,  333.]))
(1, 22590, 22447, 22759, array([ 8384.,   160., -6112.]), array([ 1649., -9835., -1440.]), array([-414.,   60.,  350.]))
(1, 24014, 23455, 22759, array([ 8320.,    80., -6080.]), array([ 1411., -9822., -1459.]), array([-414.,   60.,  350.]))
(1, 24963, 24463, 22759, array([ 8304.,    96., -6000.]), array([ 1225., -9829., -1456.]), array([-414.,   60.,  350.]))
(1, 25912, 25471, 25304, array([ 8208.,   192., -6048.]), array([ 1080., -9859., -1480.]), array([-397.,   56.,  367.]))
(1, 27335, 26480, 25304, array([ 8048.,   336., -6096.]), array([  941., -9869., -1530.]), array([-397.,   56.,  367.]))
(1, 28284, 28496, 27849, array([ 7920.,   400., -6096.]), array([  947., -9837., -1559.]), array([-377.,   57.,  397.]))
(1, 29232, 29504, 27849, array([ 7808.,   464., -6016.]), array([  993., -9779., -1586.]), array([-377.,   57.,  397.]))
(1, 30656, 30512, 30394, array([ 7520.,   352., -5904.]), array([ 1046., -9750., -1630.]), array([-377.,   55.,  397.]))
(1, 31605, 31520, 30394, array([ 7344.,   240., -5840.]), array([ 1088., -9724., -1659.]), array([-377.,   55.,  397.]))
(1, 33028, 32528, 32939, array([ 7120.,   176., -5792.]), array([ 1145., -9640., -1631.]), array([-358.,   52.,  408.]))
(1, 33978, 33537, 32939, array([ 7024.,   160., -5600.]), array([ 1142., -9611., -1667.]), array([-358.,   52.,  408.]))
(1, 34927, 34545, 32939, array([ 6992.,    96., -5584.]), array([ 1118., -9579., -1722.]), array([-358.,   52.,  408.]))
(1, 36350, 35553, 35484, array([ 6736.,   -80., -5488.]), array([ 1067., -9549., -1715.]), array([-343.,   52.,  433.]))
(1, 37299, 36561, 35484, array([ 6528.,  -256., -5344.]), array([ 1003., -9490., -1740.]), array([-343.,   52.,  433.]))
(1, 38248, 38577, 38028, array([ 6368.,  -304., -5280.]), array([  755., -9404., -1754.]), array([-330.,   49.,  433.]))
(1, 39672, 39585, 38028, array([ 6112.,  -432., -5216.]), array([  550., -9368., -1767.]), array([-330.,   49.,  433.]))
(1, 40621, 40594, 40573, array([ 5904.,  -560., -5200.]), array([  407., -9346., -1743.]), array([-315.,   48.,  442.]))
(1, 42045, 41602, 40573, array([ 5632.,  -432., -5120.]), array([  218., -9266., -1712.]), array([-315.,   48.,  442.]))
(1, 42994, 42610, 43117, array([ 5600.,  -368., -5152.]), array([   56., -9182., -1716.]), array([-296.,   44.,  450.]))
(1, 43944, 43618, 43117, array([ 5552.,  -368., -5104.]), array([  -77., -9113., -1685.]), array([-296.,   44.,  450.]))
(1, 45367, 44626, 43117, array([ 5280.,  -288., -4992.]), array([ -190., -9001., -1628.]), array([-296.,   44.,  450.]))
(1, 46316, 45634, 45662, array([ 5104.,  -224., -5008.]), array([ -232., -8878., -1587.]), array([-286.,   42.,  464.]))
(1, 47265, 47650, 45662, array([ 4896.,  -160., -4976.]), array([ -134., -8647., -1596.]), array([-286.,   42.,  464.]))
(1, 48689, 48659, 48206, array([ 4592.,  -240., -4896.]), array([ -100., -8584., -1604.]), array([-269.,   41.,  470.]))
(1, 49638, 49667, 48206, array([ 4416.,  -320., -4784.]), array([  -78., -8440., -1583.]), array([-269.,   41.,  470.]))
(1, 50587, 50675, 50750, array([ 4160.,  -288., -4656.]), array([ -5.00000000e+00,  -8.32000000e+03,  -1.55800000e+03]), array([-256.,   41.,  480.]))
(1, 52011, 51683, 50750, array([ 3968.,  -464., -4640.]), array([ -5.00000000e+00,  -8.20200000e+03,  -1.60500000e+03]), array([-256.,   41.,  480.]))
(1, 52960, 52691, 53295, array([ 3728.,  -608., -4672.]), array([  -55., -8044., -1592.]), array([-243.,   38.,  486.]))
(1, 54383, 53699, 53295, array([ 3424.,  -688., -4736.]), array([ -165., -7895., -1579.]), array([-243.,   38.,  486.]))
(1, 55333, 54707, 53295, array([ 3296.,  -720., -4672.]), array([ -332., -7790., -1548.]), array([-243.,   38.,  486.]))
(1, 56282, 55716, 55840, array([ 3232.,  -640., -4640.]), array([ -356., -7699., -1540.]), array([-215.,   40.,  502.]))
(1, 57706, 57732, 55840, array([ 3088.,  -560., -4624.]), array([ -399., -7419., -1422.]), array([-215.,   40.,  502.]))
(1, 58655, 58740, 58383, array([ 3008.,  -528., -4640.]), array([ -343., -7293., -1348.]), array([-215.,   39.,  502.]))
(1, 59604, 59748, 58383, array([ 2928.,  -528., -4720.]), array([ -299., -7139., -1273.]), array([-215.,   39.,  502.]))
(1, 61028, 60756, 60927, array([ 2560.,  -576., -4752.]), array([ -249., -7007., -1240.]), array([-200.,   41.,  505.]))
(1, 61977, 61764, 60927, array([ 2352.,  -480., -4816.]), array([ -209., -6833., -1211.]), array([-200.,   41.,  505.]))
(1, 63400, 62773, 60927, array([ 2096.,  -384., -4880.]), array([  -99., -6686., -1172.]), array([-200.,   41.,  505.]))
(1, 64349, 63781, 63472, array([ 1952.,  -352., -4880.]), array([   -9., -6549., -1183.]), array([-185.,   39.,  521.]))
(1, 65298, 64789, 63472, array([ 1904.,  -416., -4832.]), array([  108., -6401., -1232.]), array([-185.,   39.,  521.]))
(1, 1186, 261, 481, array([ 1776.,  -448., -4768.]), array([  263., -6263., -1218.]), array([-173.,   39.,  521.]))
(1, 2135, 2277, 481, array([ 1712.,  -528., -4688.]), array([  466., -5940., -1189.]), array([-173.,   39.,  521.]))
(1, 3084, 3285, 3026, array([ 1712.,  -592., -4592.]), array([  416., -5842., -1197.]), array([-161.,   40.,  526.]))
(1, 4508, 4293, 3026, array([ 1552.,  -592., -4560.]), array([  395., -5731., -1196.]), array([-161.,   40.,  526.]))
(1, 5457, 5302, 5571, array([ 1360.,  -672., -4496.]), array([  417., -5613., -1191.]), array([-149.,   41.,  530.]))
(1, 6881, 6310, 5571, array([ 1136.,  -736., -4544.]), array([  344., -5501., -1186.]), array([-149.,   41.,  530.]))
(1, 7830, 7318, 5571, array([  896.,  -768., -4560.]), array([  346., -5373., -1189.]), array([-149.,   41.,  530.]))
(1, 8779, 8326, 8116, array([  704.,  -752., -4656.]), array([  318., -5239., -1159.]), array([-135.,   39.,  535.]))
(1, 10204, 9334, 8116, array([  592.,  -688., -4736.]), array([  335., -5099., -1139.]), array([-135.,   39.,  535.]))
(1, 11153, 11350, 10661, array([  592.,  -704., -4752.]), array([  402., -4793., -1002.]), array([-127.,   38.,  536.]))
(1, 12102, 12359, 10661, array([  544.,  -720., -4656.]), array([  524., -4669.,  -913.]), array([-127.,   38.,  536.]))
(1, 13525, 13367, 13206, array([  432.,  -864., -4544.]), array([  639., -4502.,  -863.]), array([-119.,   39.,  539.]))
(1, 14475, 14375, 13206, array([  352.,  -848., -4496.]), array([  688., -4333.,  -795.]), array([-119.,   39.,  539.]))
(1, 15424, 15383, 15750, array([  336.,  -864., -4480.]), array([  737., -4174.,  -739.]), array([-102.,   41.,  539.]))
(1, 16848, 16391, 15750, array([  288.,  -944., -4352.]), array([  620., -4051.,  -691.]), array([-102.,   41.,  539.]))
(1, 17796, 17399, 15750, array([  144., -1040., -4336.]), array([  493., -3931.,  -614.]), array([-102.,   41.,  539.]))
(1, 19220, 18407, 18295, array([   16., -1056., -4352.]), array([  364., -3815.,  -583.]), array([ -88.,   41.,  542.]))
(1, 20170, 19416, 18295, array([  -80., -1040., -4400.]), array([  135., -3676.,  -553.]), array([ -88.,   41.,  542.]))
(1, 21119, 21432, 20840, array([ -160.,  -928., -4448.]), array([ -331., -3462.,  -517.]), array([ -88.,   38.,  542.]))
(1, 22543, 22440, 20840, array([ -320.,  -704., -4496.]), array([ -485., -3333.,  -446.]), array([ -88.,   38.,  542.]))
(1, 23492, 23448, 23384, array([ -352.,  -560., -4480.]), array([ -507., -3224.,  -397.]), array([ -79.,   38.,  541.]))
(1, 24441, 24456, 23384, array([ -528.,  -560., -4480.]), array([ -482., -3096.,  -356.]), array([ -79.,   38.,  541.]))
(1, 25866, 25464, 25929, array([ -640.,  -544., -4432.]), array([ -440., -2957.,  -312.]), array([ -71.,   35.,  543.]))
(1, 26815, 26473, 25929, array([ -688.,  -544., -4432.]), array([ -349., -2831.,  -267.]), array([ -71.,   35.,  543.]))
(1, 28238, 27481, 25929, array([ -704.,  -496., -4496.]), array([ -257., -2684.,  -225.]), array([ -71.,   35.,  543.]))
(1, 29188, 28489, 28473, array([ -848.,  -464., -4656.]), array([ -241., -2512.,  -220.]), array([ -65.,   35.,  543.]))
(1, 30137, 30505, 28473, array([ -912.,  -464., -4688.]), array([ -121., -2228.,  -202.]), array([ -65.,   35.,  543.]))
(1, 31560, 31513, 31019, array([ -960.,  -240., -4832.]), array([   34., -2083.,  -234.]), array([ -64.,   32.,  542.]))
(1, 32510, 32521, 31019, array([ -976.,  -144., -4784.]), array([  229., -1939.,  -226.]), array([ -64.,   32.,  542.]))
(1, 33459, 33530, 33563, array([ -992.,  -128., -4784.]), array([  386., -1791.,  -186.]), array([ -55.,   31.,  542.]))
(1, 34882, 34538, 33563, array([-1008.,  -416., -4848.]), array([  561., -1639.,  -147.]), array([ -55.,   31.,  542.]))
(1, 35832, 35546, 36107, array([-1024.,  -560., -4752.]), array([  794., -1511.,   -81.]), array([ -50.,   34.,  543.]))
(1, 37255, 36554, 36107, array([-1056.,  -688., -4784.]), array([  900., -1390.,   -35.]), array([ -50.,   34.,  543.]))
(1, 38204, 37562, 36107, array([-1088.,  -800., -4864.]), array([  926., -1285.,    18.]), array([ -50.,   34.,  543.]))
(1, 39153, 38570, 38652, array([-1280.,  -880., -4976.]), array([  773., -1186.,    81.]), array([ -46.,   37.,  545.]))
(1, 40577, 40587, 38652, array([-1440.,  -608., -5168.]), array([ 547., -976.,  167.]), array([ -46.,   37.,  545.]))
(1, 41526, 41595, 41195, array([-1392.,  -432., -5344.]), array([ 445., -887.,  173.]), array([ -49.,   41.,  542.]))
(1, 42475, 42603, 41195, array([-1280.,  -208., -5424.]), array([ 444., -766.,  166.]), array([ -49.,   41.,  542.]))
(1, 43899, 43611, 43741, array([-1136.,   -48., -5520.]), array([ 532., -664.,  184.]), array([ -44.,   40.,  543.]))
(1, 44848, 44619, 43741, array([-1152.,     0., -5536.]), array([ 697., -594.,  190.]), array([ -44.,   40.,  543.]))
(1, 45797, 45627, 43741, array([-1136.,   -64., -5520.]), array([ 984., -530.,  151.]), array([ -44.,   40.,  543.]))
(1, 47220, 46635, 46285, array([-1184.,  -208., -5488.]), array([ 1163.,  -418.,   133.]), array([ -38.,   44.,  543.]))
(1, 48169, 47643, 46285, array([-1280.,  -336., -5504.]), array([ 1287.,  -307.,    96.]), array([ -38.,   44.,  543.]))
(1, 49593, 48652, 48830, array([-1392.,  -544., -5616.]), array([ 1313.,  -193.,    59.]), array([ -38.,   46.,  543.]))
(1, 50542, 50668, 48830, array([-1488.,  -640., -5664.]), array([ 1281.,   -49.,    17.]), array([ -38.,   46.,  543.]))
(1, 51492, 51676, 51375, array([-1472.,  -656., -5776.]), array([ 1088.,    10.,   -33.]), array([ -41.,   49.,  547.]))
(1, 52915, 52684, 51375, array([-1648.,  -512., -6096.]), array([ 987.,  103.,  -46.]), array([ -41.,   49.,  547.]))
(1, 53865, 53692, 53919, array([-1568.,  -512., -6256.]), array([ 866.,  189.,  -42.]), array([ -41.,   47.,  545.]))
(1, 54814, 54700, 53919, array([-1584.,  -512., -6368.]), array([ 806.,  246.,   -7.]), array([ -41.,   47.,  545.]))
