type,ID,seq,packetLoss,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula,voltage
2,5,6,0,12289893,14782796,2377108962265823277,1361426819.437880,15568,-968,72,nan,0.000000
2,5,6,0,12289893,14782796,2377108962265825898,1361426819.437880,15848,-876,420,nan,0.000000
2,5,7,0,12289893,14782828,2377108962265828519,1361426819.438907,16232,-1044,984,nan,0.000000
2,5,7,0,12289893,14782828,2377108962265831140,1361426819.438907,17256,752,1652,nan,0.000000
2,5,7,0,12289893,14782828,2377108962265833761,1361426819.438907,19320,-3288,-1424,nan,0.000000
2,5,7,0,12289893,14782828,2377108962265836382,1361426819.438907,15256,-1424,-1780,nan,0.000000
2,5,7,0,12289893,14782828,2377108962265839003,1361426819.438907,15620,-4256,-3228,nan,0.000000
2,5,8,0,12289893,14782860,2377108962265841624,1361426819.439701,15740,-1788,-508,nan,0.000000
2,5,8,0,12289893,14782860,2377108962265844245,1361426819.439701,14624,-356,-484,nan,0.000000
2,5,8,0,12289893,14782860,2377108962265846866,1361426819.439701,15624,-604,-896,nan,0.000000
2,5,8,0,12289893,14782860,2377108962265849487,1361426819.439701,15984,-28,176,nan,0.000000
2,5,8,0,12289893,14782860,2377108962265852108,1361426819.439701,15432,748,300,nan,0.000000
2,5,9,0,12289893,14782892,2377108962265854729,1361426819.440665,15756,504,276,nan,0.000000
2,5,9,0,12289893,14782892,2377108962265857350,1361426819.440665,16096,1508,1624,nan,0.000000
2,5,9,0,12289893,14782892,2377108962265859971,1361426819.440665,18084,780,1504,nan,0.000000
2,5,9,0,12289893,14782892,2377108962265862592,1361426819.440665,17584,-280,-12,nan,0.000000
2,5,9,0,12289893,14782892,2377108962265865213,1361426819.440665,16236,-3424,-1060,nan,0.000000
2,5,10,0,12289893,14782924,2377108962265867834,1361426819.441710,14024,-2404,-1068,nan,0.000000
2,5,10,0,12289893,14782924,2377108962265870455,1361426819.441710,17716,-1908,396,nan,0.000000
2,5,10,0,12289893,14782924,2377108962265873076,1361426819.441710,16516,-1992,-48,nan,0.000000
2,5,10,0,12289893,14782924,2377108962265875697,1361426819.441710,14448,-2228,40,nan,0.000000
2,5,10,0,12289893,14782924,2377108962265878318,1361426819.441710,15228,-1928,692,nan,0.000000
2,5,11,0,12289893,14782956,2377108962265880939,1361426819.442690,15528,-2012,844,nan,0.000000
2,5,11,0,12289893,14782956,2377108962265883560,1361426819.442690,15896,-1692,868,nan,0.000000
2,5,11,0,12289893,14782956,2377108962265886181,1361426819.442690,15828,-1368,1568,nan,0.000000
2,5,11,0,12289893,14782956,2377108962265888802,1361426819.442690,15524,-1208,1808,nan,0.000000
2,5,11,0,12289893,14782956,2377108962265891423,1361426819.442690,16784,-644,2684,nan,0.000000
1,5,12,0,12371219,14782988,7206714849739295747,1361426819.443427,16484,-2312,384,nan,0.000000
