(6, 562, 65199, 65225, array([-7680.,  -576.,  3072.]), array([-8294.,  -483.,  5133.]), array([ 162.,   48., -353.]))
(6, 1512, 1679, 65225, array([-7696.,  -448.,  3104.]), array([-8380.,  -511.,  5013.]), array([ 162.,   48., -353.]))
(6, 2461, 2687, 2233, array([-7616.,  -448.,  3152.]), array([-8313.,  -458.,  5063.]), array([ 163.,   56., -354.]))
(6, 3886, 3695, 2233, array([-7728.,  -544.,  3200.]), array([-8341.,  -464.,  5098.]), array([ 163.,   56., -354.]))
(6, 4835, 4703, 4778, array([-7744.,  -592.,  3152.]), array([-8332.,  -509.,  5086.]), array([ 163.,   61., -354.]))
(6, 6259, 5711, 4778, array([-7664.,  -448.,  3152.]), array([-8334.,  -495.,  5070.]), array([ 163.,   61., -354.]))
(6, 7209, 6719, 7324, array([-7744.,  -512.,  3024.]), array([-8369.,  -476.,  5059.]), array([ 163.,   73., -356.]))
(6, 8159, 7727, 7324, array([-7760.,  -512.,  3088.]), array([-8343.,  -454.,  5090.]), array([ 163.,   73., -356.]))
(6, 9582, 8735, 7324, array([-7760.,  -656.,  3152.]), array([-8331.,  -454.,  5138.]), array([ 163.,   73., -356.]))
(6, 10532, 10751, 9869, array([-7824.,  -640.,  3072.]), array([-8388.,  -446.,  5093.]), array([ 162.,   80., -359.]))
(6, 11482, 11759, 9869, array([-7728.,  -560.,  3200.]), array([-8377.,  -491.,  5092.]), array([ 162.,   80., -359.]))
(6, 12907, 12767, 12415, array([-7776.,  -608.,  3168.]), array([-8320.,  -477.,  5111.]), array([ 162.,   92., -359.]))
(6, 13856, 13775, 12415, array([-7744.,  -688.,  3200.]), array([-8353.,  -459.,  5139.]), array([ 162.,   92., -359.]))
(6, 14806, 14783, 14960, array([-7872.,  -640.,  3200.]), array([-8322.,  -462.,  5090.]), array([ 160.,  100., -360.]))
(6, 16230, 15791, 14960, array([-7792.,  -688.,  3040.]), array([-8357.,  -491.,  5038.]), array([ 160.,  100., -360.]))
(6, 17179, 16799, 17506, array([-7760.,  -624.,  3136.]), array([-8382.,  -490.,  5083.]), array([ 163.,  111., -360.]))
(6, 18603, 17807, 17506, array([-7792.,  -720.,  3056.]), array([-8328.,  -494.,  5117.]), array([ 163.,  111., -360.]))
(6, 19553, 18815, 17506, array([-7840.,  -640.,  3072.]), array([-8360.,  -485.,  5111.]), array([ 163.,  111., -360.]))
(6, 20502, 20831, 20051, array([-7728.,  -576.,  2992.]), array([-8411.,  -503.,  5034.]), array([ 163.,  118., -360.]))
(6, 21926, 21839, 20051, array([-7744.,  -656.,  2976.]), array([-8402.,  -466.,  5074.]), array([ 163.,  118., -360.]))
(6, 22875, 22847, 22596, array([-7696.,  -592.,  3040.]), array([-8291.,  -482.,  5117.]), array([ 163.,  130., -360.]))
