(6, 55106, 55162, 54655, array([-7888.,  -688.,  2416.]), array([-6310.,  -273.,  1699.]), array([ 248.,   78., -302.]))
(6, 56530, 56170, 54655, array([-7984.,  -896.,  2368.]), array([-6328.,  -221.,  1668.]), array([ 248.,   78., -302.]))
(6, 57479, 57178, 57200, array([-7808.,  -704.,  2368.]), array([-6331.,  -232.,  1610.]), array([ 248.,   84., -303.]))
(6, 58429, 58186, 57200, array([-7696.,  -640.,  2320.]), array([-6238.,  -277.,  1573.]), array([ 248.,   84., -303.]))
(6, 59853, 59194, 59746, array([-7552.,  -256.,  2144.]), array([-6192.,  -295.,  1571.]), array([ 250.,   92., -303.]))
(6, 60802, 60202, 59746, array([-7632.,  -320.,  2144.]), array([-6249.,  -299.,  1604.]), array([ 250.,   92., -303.]))
(6, 62225, 62218, 59746, array([-7872.,  -832.,  2368.]), array([-6293.,  -254.,  1730.]), array([ 250.,   92., -303.]))
(6, 63174, 63226, 62291, array([-7952., -1120.,  2432.]), array([-6274.,  -208.,  1693.]), array([ 247.,   99., -303.]))
(6, 64123, 64234, 62291, array([-7904.,  -912.,  2432.]), array([-6252.,  -190.,  1609.]), array([ 247.,   99., -303.]))
(6, 11, 65242, 64837, array([-7808.,  -624.,  2304.]), array([-6215.,  -220.,  1523.]), array([ 248.,  109., -303.]))
(6, 960, 714, 64837, array([-7664.,  -320.,  2192.]), array([-6159.,  -275.,  1513.]), array([ 248.,  109., -303.]))
(6, 1909, 1722, 1847, array([-7568.,  -128.,  2160.]), array([-6171.,  -289.,  1520.]), array([ 248.,  112., -304.]))
(6, 3333, 2730, 1847, array([-7776.,  -624.,  2320.]), array([-6197.,  -295.,  1650.]), array([ 248.,  112., -304.]))
(6, 4282, 3738, 4391, array([-8000.,  -976.,  2416.]), array([-6222.,  -248.,  1760.]), array([ 245.,  118., -297.]))
(6, 5706, 4746, 4391, array([-7968.,  -880.,  2416.]), array([-6214.,  -197.,  1723.]), array([ 245.,  118., -297.]))
(6, 6655, 6762, 4391, array([-7968.,  -800.,  2304.]), array([-6196.,  -250.,  1522.]), array([ 245.,  118., -297.]))
(6, 7604, 7770, 6936, array([-7728.,  -416.,  2304.]), array([-6092.,  -314.,  1481.]), array([ 251.,  129., -297.]))
(6, 9028, 8778, 6936, array([-7520.,  -224.,  1984.]), array([-6125.,  -349.,  1500.]), array([ 251.,  129., -297.]))
(6, 9977, 9786, 9481, array([-7584.,  -432.,  2000.]), array([-6179.,  -346.,  1629.]), array([ 248.,  132., -301.]))
(6, 10927, 10794, 9481, array([-7840.,  -880.,  2240.]), array([-6149.,  -285.,  1704.]), array([ 248.,  132., -301.]))
(6, 12350, 11802, 12027, array([-8064., -1072.,  2336.]), array([-6168.,  -208.,  1730.]), array([ 251.,  137., -303.]))
(6, 13300, 12810, 12027, array([-7984.,  -928.,  2400.]), array([-6122.,  -180.,  1627.]), array([ 251.,  137., -303.]))
(6, 14249, 13818, 14572, array([-7824.,  -800.,  2256.]), array([-6085.,  -222.,  1542.]), array([ 248.,  143., -300.]))
(6, 15673, 15834, 14572, array([-7584.,  -320.,  2032.]), array([-6079.,  -329.,  1473.]), array([ 248.,  143., -300.]))
(6, 16623, 16842, 14572, array([-7632.,  -256.,  2048.]), array([-6102.,  -312.,  1552.]), array([ 248.,  143., -300.]))
(6, 18047, 17850, 17117, array([-7904.,  -736.,  2336.]), array([-6050.,  -256.,  1632.]), array([ 251.,  151., -297.]))
(6, 18995, 18858, 17117, array([-8016., -1024.,  2336.]), array([-6055.,  -184.,  1666.]), array([ 251.,  151., -297.]))
(6, 19944, 19866, 19663, array([-7952.,  -928.,  2256.]), array([-6073.,  -199.,  1578.]), array([ 251.,  155., -297.]))
(6, 21368, 20874, 19663, array([-7792.,  -896.,  2144.]), array([-6022.,  -238.,  1489.]), array([ 251.,  155., -297.]))
(6, 22317, 21882, 22209, array([-7664.,  -432.,  2080.]), array([-6050.,  -276.,  1458.]), array([ 250.,  162., -290.]))
(6, 23266, 22890, 22209, array([-7696.,  -288.,  1984.]), array([-6036.,  -277.,  1434.]), array([ 250.,  162., -290.]))
