(6, 54674, 54662, 52609, array([-7552.,    16.,  3792.]), array([-6474.,  -434.,  5129.]), array([ 390.,  248.,  -57.]))
(6, 55624, 55670, 55154, array([-7536.,    48.,  3824.]), array([-6545.,  -470.,  5088.]), array([ 398.,  241.,  -47.]))
(6, 57048, 56678, 55154, array([-7472.,    64.,  3904.]), array([-6505.,  -485.,  5100.]), array([ 398.,  241.,  -47.]))
(6, 57997, 57686, 57699, array([-7552.,   -32.,  3888.]), array([-6453.,  -500.,  5148.]), array([ 398.,  232.,  -47.]))
(6, 58946, 58694, 57699, array([-7584.,     0.,  3808.]), array([-6481.,  -463.,  5119.]), array([ 398.,  232.,  -47.]))
(6, 60371, 59702, 60244, array([-7568.,    32.,  3888.]), array([-6477.,  -450.,  5099.]), array([ 401.,  223.,  -43.]))
(6, 61320, 60710, 60244, array([-7552.,   -16.,  3968.]), array([-6528.,  -435.,  5085.]), array([ 401.,  223.,  -43.]))
(6, 62744, 62726, 60244, array([-7456.,   -16.,  3968.]), array([-6454.,  -431.,  5063.]), array([ 401.,  223.,  -43.]))
(6, 63694, 63734, 62790, array([-7504.,    80.,  3936.]), array([-6477.,  -433.,  5094.]), array([ 406.,  213.,  -32.]))
(6, 64643, 64742, 62790, array([-7424.,    32.,  3952.]), array([-6434.,  -465.,  5109.]), array([ 406.,  213.,  -32.]))
(6, 531, 214, 65335, array([-7568.,    64.,  3952.]), array([-6483.,  -459.,  5090.]), array([ 406.,  206.,  -32.]))
(6, 1480, 1222, 65335, array([-7520.,    16.,  3888.]), array([-6511.,  -454.,  5101.]), array([ 406.,  206.,  -32.]))
(6, 2429, 2230, 2345, array([-7504.,    48.,  3904.]), array([-6482.,  -453.,  5112.]), array([ 413.,  196.,  -29.]))
(6, 3853, 3238, 2345, array([-7504.,   -48.,  3888.]), array([-6488.,  -441.,  5126.]), array([ 413.,  196.,  -29.]))
(6, 4803, 4246, 4890, array([-7536.,    64.,  3984.]), array([-6431.,  -465.,  5128.]), array([ 414.,  188.,  -21.]))
(6, 6227, 5255, 4890, array([-7488.,    48.,  3952.]), array([-6474.,  -478.,  5089.]), array([ 414.,  188.,  -21.]))
(6, 7177, 7271, 4890, array([-7584.,    48.,  3936.]), array([-6468.,  -452.,  5034.]), array([ 414.,  188.,  -21.]))
(6, 8126, 8279, 7435, array([-7504.,    80.,  3984.]), array([-6521.,  -415.,  5061.]), array([ 418.,  179.,  -21.]))
(6, 9550, 9287, 7435, array([-7472.,    16.,  3888.]), array([-6441.,  -423.,  5107.]), array([ 418.,  179.,  -21.]))
(6, 10499, 10295, 9980, array([-7456.,    48.,  4032.]), array([-6476.,  -467.,  5101.]), array([ 414.,  168.,  -16.]))
(6, 11449, 11303, 9980, array([-7456.,    80.,  3968.]), array([-6482.,  -474.,  5077.]), array([ 414.,  168.,  -16.]))
(6, 12873, 12311, 12524, array([-7488.,    32.,  4000.]), array([-6458.,  -467.,  5024.]), array([ 418.,  159.,  -14.]))
(6, 13822, 13319, 12524, array([-7488.,    48.,  4000.]), array([-6519.,  -437.,  5018.]), array([ 418.,  159.,  -14.]))
(6, 14772, 14327, 15069, array([-7504.,    80.,  4016.]), array([-6473.,  -426.,  5055.]), array([ 421.,  150.,  -14.]))
(6, 16196, 16343, 15069, array([-7472.,    64.,  4016.]), array([-6454.,  -471.,  5030.]), array([ 421.,  150.,  -14.]))
(6, 17145, 17351, 15069, array([-7472.,   112.,  4000.]), array([-6494.,  -438.,  4994.]), array([ 421.,  150.,  -14.]))
(6, 18569, 18359, 17613, array([-7504.,   144.,  4032.]), array([-6543.,  -420.,  4982.]), array([ 423.,  140.,  -11.]))
(6, 19518, 19367, 17613, array([-7440.,   208.,  4048.]), array([-6478.,  -398.,  5018.]), array([ 423.,  140.,  -11.]))
(6, 20467, 20375, 20158, array([-7488.,   192.,  4096.]), array([-6445.,  -403.,  5044.]), array([ 423.,  130.,   -8.]))
(6, 21891, 21383, 20158, array([-7424.,    48.,  3968.]), array([-6473.,  -416.,  5052.]), array([ 423.,  130.,   -8.]))
(6, 22840, 22391, 22704, array([-7424.,    80.,  4048.]), array([-6480.,  -420.,  5026.]), array([ 425.,  121.,   -4.]))
(6, 23789, 23399, 22704, array([-7552.,   144.,  4032.]), array([-6509.,  -391.,  4986.]), array([ 425.,  121.,   -4.]))
(6, 25212, 24407, 25250, array([-7488.,   240.,  4032.]), array([-6462.,  -404.,  4996.]), array([ 422.,  111.,   -5.]))
(6, 26162, 26423, 25250, array([-7440.,   160.,  4128.]), array([-6463.,  -384.,  5017.]), array([ 422.,  111.,   -5.]))
(6, 27586, 27431, 25250, array([-7408.,   128.,  4112.]), array([-6416.,  -392.,  5056.]), array([ 422.,  111.,   -5.]))
(6, 28535, 28439, 27795, array([-7536.,   128.,  4208.]), array([-6444.,  -445.,  5068.]), array([ 422.,  102.,   -5.]))
(6, 29485, 29447, 27795, array([-7600.,   176.,  4224.]), array([-6433.,  -446.,  5042.]), array([ 422.,  102.,   -5.]))
(6, 30909, 30455, 30341, array([-7440.,   112.,  4192.]), array([-6416.,  -421.,  5041.]), array([ 424.,   92.,   -4.]))
(6, 31858, 31463, 30341, array([-7488.,    80.,  4160.]), array([-6410.,  -417.,  5074.]), array([ 424.,   92.,   -4.]))
(6, 32807, 32471, 32888, array([-7488.,    96.,  4192.]), array([-6371.,  -457.,  5083.]), array([ 426.,   80.,   -4.]))
(6, 34232, 33479, 32888, array([-7488.,    16.,  4112.]), array([-6406.,  -479.,  5037.]), array([ 426.,   80.,   -4.]))
(6, 35181, 34487, 35433, array([-7408.,    32.,  4080.]), array([-6411.,  -475.,  5019.]), array([ 423.,   76.,   -5.]))
(6, 36131, 36503, 35433, array([-7392.,    96.,  4160.]), array([-6420.,  -446.,  5010.]), array([ 423.,   76.,   -5.]))
(6, 37554, 37511, 35433, array([-7424.,    64.,  4080.]), array([-6384.,  -447.,  5035.]), array([ 423.,   76.,   -5.]))
(6, 38504, 38519, 37979, array([-7360.,   144.,  4128.]), array([-6425.,  -470.,  5024.]), array([ 420.,   66.,   -3.]))
(6, 39928, 39527, 37979, array([-7328.,   -16.,  3984.]), array([-6448.,  -443.,  4993.]), array([ 420.,   66.,   -3.]))
(6, 40877, 40535, 40525, array([-7360.,  -144.,  3888.]), array([-6419.,  -453.,  4985.]), array([ 422.,   56.,   -4.]))
(6, 41826, 41543, 40525, array([-7360.,   144.,  4096.]), array([-6382.,  -449.,  5041.]), array([ 422.,   56.,   -4.]))
(6, 43250, 42551, 43070, array([-7232.,    80.,  4080.]), array([-6319.,  -491.,  5063.]), array([ 423.,   46.,   -6.]))
(6, 44200, 43559, 43070, array([-7312.,    64.,  4032.]), array([-6397.,  -484.,  5016.]), array([ 423.,   46.,   -6.]))
(6, 45149, 45575, 43070, array([-7264.,   160.,  4064.]), array([-6404.,  -443.,  4980.]), array([ 423.,   46.,   -6.]))
(6, 46573, 46583, 45615, array([-7264.,   176.,  4176.]), array([-6352.,  -424.,  5026.]), array([ 424.,   38.,   -7.]))
