(6, 34083, 33608, 33268, array([-7728.,  -528.,  2688.]), array([-8893.,  -547.,  4155.]), array([ 203.,  -29., -309.]))
(6, 35506, 34616, 33268, array([-7808.,  -624.,  2736.]), array([-8899.,  -536.,  4150.]), array([ 203.,  -29., -309.]))
(6, 36455, 36632, 35813, array([-7824.,  -608.,  2768.]), array([-8886.,  -520.,  4136.]), array([ 199.,  -19., -314.]))
(6, 37404, 37640, 35813, array([-7744.,  -512.,  2704.]), array([-8898.,  -533.,  4120.]), array([ 199.,  -19., -314.]))
(6, 38828, 38648, 38358, array([-7872.,  -544.,  2640.]), array([-8873.,  -534.,  4137.]), array([ 198.,   -7., -319.]))
(6, 39776, 39656, 38358, array([-7824.,  -560.,  2688.]), array([-8907.,  -518.,  4146.]), array([ 198.,   -7., -319.]))
(6, 40725, 40664, 40903, array([-7808.,  -560.,  2608.]), array([-8870.,  -510.,  4150.]), array([ 198.,    1., -319.]))
(6, 42149, 41672, 40903, array([-7776.,  -512.,  2608.]), array([-8871.,  -499.,  4158.]), array([ 198.,    1., -319.]))
(6, 43103, 42680, 40903, array([-7808.,  -576.,  2624.]), array([-8899.,  -501.,  4168.]), array([ 198.,    1., -319.]))
(6, 44526, 43688, 43449, array([-7904.,  -736.,  2752.]), array([-8849.,  -497.,  4184.]), array([ 195.,    7., -323.]))
(6, 45475, 44696, 43449, array([-7856.,  -784.,  2736.]), array([-8871.,  -501.,  4186.]), array([ 195.,    7., -323.]))
(6, 46429, 46712, 45996, array([-7856.,  -688.,  2736.]), array([-8930.,  -531.,  4097.]), array([ 197.,   21., -326.]))
(6, 47858, 47720, 45996, array([-7904.,  -528.,  2816.]), array([-8893.,  -538.,  4116.]), array([ 197.,   21., -326.]))
(6, 48807, 48728, 48542, array([-7792.,  -512.,  2672.]), array([-8865.,  -534.,  4137.]), array([ 197.,   25., -326.]))
(6, 49756, 49736, 48542, array([-7776.,  -624.,  2672.]), array([-8901.,  -528.,  4145.]), array([ 197.,   25., -326.]))
(6, 51179, 50744, 51089, array([-7760.,  -624.,  2752.]), array([-8845.,  -538.,  4119.]), array([ 194.,   37., -327.]))
(6, 52128, 51752, 51089, array([-7776.,  -608.,  2688.]), array([-8902.,  -530.,  4095.]), array([ 194.,   37., -327.]))
(6, 54501, 53768, 53635, array([-7824.,  -720.,  2656.]), array([-8844.,  -560.,  4121.]), array([ 194.,   48., -333.]))
(6, 55450, 55784, 53635, array([-7856.,  -720.,  2704.]), array([-8873.,  -542.,  4133.]), array([ 194.,   48., -333.]))
(6, 56873, 56793, 56181, array([-7808.,  -560.,  2624.]), array([-8919.,  -546.,  4096.]), array([ 195.,   56., -334.]))
(6, 57822, 57801, 56181, array([-7872.,  -576.,  2576.]), array([-8904.,  -545.,  4086.]), array([ 195.,   56., -334.]))
(6, 58772, 58809, 58726, array([-7856.,  -560.,  2560.]), array([-8881.,  -542.,  4120.]), array([ 194.,   66., -335.]))
(6, 60195, 59817, 58726, array([-7856.,  -592.,  2624.]), array([-8912.,  -543.,  4131.]), array([ 194.,   66., -335.]))
(6, 61144, 60825, 61273, array([-7872.,  -624.,  2624.]), array([-8885.,  -560.,  4135.]), array([ 197.,   77., -337.]))
(6, 62098, 61833, 61273, array([-7856.,  -592.,  2528.]), array([-8885.,  -540.,  4130.]), array([ 197.,   77., -337.]))
(6, 63522, 62841, 61273, array([-7920.,  -752.,  2624.]), array([-8894.,  -537.,  4140.]), array([ 197.,   77., -337.]))
(6, 64471, 63849, 63818, array([-7856.,  -752.,  2656.]), array([-8875.,  -520.,  4158.]), array([ 196.,   83., -337.]))
(6, 359, 329, 63818, array([-7776.,  -720.,  2544.]), array([-8887.,  -507.,  4115.]), array([ 196.,   83., -337.]))
(6, 1308, 1337, 829, array([-7888.,  -688.,  2576.]), array([-8932.,  -528.,  4108.]), array([ 194.,   96., -339.]))
(6, 2257, 2345, 829, array([-7920.,  -688.,  2496.]), array([-8895.,  -558.,  4125.]), array([ 194.,   96., -339.]))
(6, 3682, 3353, 3374, array([-7856.,  -816.,  2560.]), array([-8841.,  -546.,  4121.]), array([ 193.,  104., -336.]))
(6, 4636, 4361, 3374, array([-7936.,  -736.,  2432.]), array([-8875.,  -541.,  4132.]), array([ 193.,  104., -336.]))
(6, 5589, 5369, 5920, array([-7840.,  -656.,  2560.]), array([-8902.,  -567.,  4103.]), array([ 192.,  112., -340.]))
(6, 7013, 6377, 5920, array([-7856.,  -752.,  2432.]), array([-8907.,  -533.,  4103.]), array([ 192.,  112., -340.]))
(6, 7962, 7385, 5920, array([-7792.,  -800.,  2528.]), array([-8881.,  -521.,  4133.]), array([ 192.,  112., -340.]))
(6, 9390, 9401, 8467, array([-7824.,  -656.,  2432.]), array([-8892.,  -548.,  4088.]), array([ 195.,  125., -340.]))
(6, 10340, 10409, 8467, array([-7840.,  -544.,  2496.]), array([-8864.,  -590.,  4092.]), array([ 195.,  125., -340.]))
(6, 11288, 11417, 11014, array([-7808.,  -512.,  2544.]), array([-8888.,  -578.,  4133.]), array([ 195.,  133., -340.]))
(6, 12711, 12425, 11014, array([-7872.,  -640.,  2464.]), array([-8870.,  -547.,  4151.]), array([ 195.,  133., -340.]))
(6, 13660, 13433, 13559, array([-7872.,  -656.,  2496.]), array([-8844.,  -542.,  4146.]), array([ 197.,  141., -339.]))
(6, 14609, 14441, 13559, array([-7904.,  -672.,  2448.]), array([-8928.,  -518.,  4127.]), array([ 197.,  141., -339.]))
(6, 16033, 15449, 16105, array([-7936.,  -752.,  2512.]), array([-8871.,  -536.,  4158.]), array([ 197.,  152., -340.]))
(6, 16982, 16457, 16105, array([-7904.,  -800.,  2464.]), array([-8905.,  -525.,  4135.]), array([ 197.,  152., -340.]))
(6, 17931, 17465, 16105, array([-7920.,  -768.,  2448.]), array([-8918.,  -507.,  4100.]), array([ 197.,  152., -340.]))
(6, 19359, 19481, 18650, array([-7936.,  -592.,  2448.]), array([-8912.,  -575.,  4075.]), array([ 198.,  158., -337.]))
