(6, 58997, 59163, 56834, array([-7824.,   224.,  2576.]), array([-8513.,  -330.,  3084.]), array([ 345.,  -97.,   54.]))
(6, 59946, 60171, 59380, array([-7824.,   224.,  2576.]), array([-8481.,  -320.,  3068.]), array([ 344., -103.,   49.]))
(6, 61370, 61180, 59380, array([-7856.,   272.,  2544.]), array([-8491.,  -315.,  3037.]), array([ 344., -103.,   49.]))
(6, 62319, 62188, 61926, array([-7840.,   416.,  2624.]), array([-8476.,  -347.,  3045.]), array([ 340., -109.,   42.]))
(6, 63742, 63196, 61926, array([-7808.,   336.,  2512.]), array([-8438.,  -348.,  3064.]), array([ 340., -109.,   42.]))
(6, 64691, 64204, 64471, array([-7824.,   352.,  2544.]), array([-8481.,  -337.,  3059.]), array([ 337., -115.,   37.]))
(6, 105, 65212, 64471, array([-7808.,   336.,  2544.]), array([-8475.,  -348.,  3072.]), array([ 337., -115.,   37.]))
(6, 1529, 684, 1479, array([-7840.,   288.,  2480.]), array([-8520.,  -343.,  3089.]), array([ 333., -123.,   30.]))
(6, 2478, 2700, 1479, array([-7776.,   256.,  2608.]), array([-8483.,  -332.,  3083.]), array([ 333., -123.,   30.]))
(6, 3427, 3708, 1479, array([-7760.,   208.,  2608.]), array([-8529.,  -337.,  3081.]), array([ 333., -123.,   30.]))
(6, 4851, 4716, 4025, array([-7776.,   336.,  2592.]), array([-8522.,  -329.,  3071.]), array([ 336., -128.,   26.]))
(6, 7223, 6732, 6570, array([-7664.,   288.,  2592.]), array([-8510.,  -355.,  3093.]), array([ 329., -134.,   15.]))
(6, 8173, 7740, 6570, array([-7776.,   288.,  2640.]), array([-8505.,  -345.,  3092.]), array([ 329., -134.,   15.]))
(6, 9122, 8748, 9115, array([-7856.,    96.,  2416.]), array([-8552.,  -332.,  3061.]), array([ 331., -139.,    8.]))
(6, 10546, 9756, 9115, array([-7840.,   240.,  2624.]), array([-8504.,  -328.,  3097.]), array([ 331., -139.,    8.]))
(6, 11495, 10764, 11660, array([-7792.,   224.,  2688.]), array([-8533.,  -330.,  3088.]), array([ 328., -144.,    3.]))
(6, 12444, 12780, 11660, array([-7856.,   176.,  2592.]), array([-8536.,  -330.,  3085.]), array([ 328., -144.,    3.]))
(6, 13868, 13788, 11660, array([-7824.,   144.,  2640.]), array([-8531.,  -333.,  3072.]), array([ 328., -144.,    3.]))
(6, 14817, 14796, 14206, array([-7840.,   240.,  2608.]), array([-8504.,  -360.,  3084.]), array([ 323., -147.,   -4.]))
(6, 15766, 15804, 14206, array([-7696.,   208.,  2624.]), array([-8556.,  -360.,  3069.]), array([ 323., -147.,   -4.]))
(6, 17190, 16812, 16751, array([-7776.,   240.,  2544.]), array([-8544.,  -328.,  3081.]), array([ 311., -154.,  -22.]))
(6, 18140, 17820, 16751, array([-7776.,   256.,  2640.]), array([-8490.,  -335.,  3067.]), array([ 311., -154.,  -22.]))
(6, 19564, 18828, 19296, array([-7792.,   208.,  2688.]), array([-8563.,  -333.,  3078.]), array([ 311., -152.,  -22.]))
(6, 20513, 19836, 19296, array([-7808.,   176.,  2624.]), array([-8521.,  -330.,  3079.]), array([ 311., -152.,  -22.]))
(6, 21463, 21852, 21841, array([-7712.,   128.,  2704.]), array([-8556.,  -341.,  3076.]), array([ 314., -159.,  -32.]))
(6, 22887, 22860, 21841, array([-7792.,   112.,  2640.]), array([-8542.,  -325.,  3084.]), array([ 314., -159.,  -32.]))
(6, 23836, 23868, 21841, array([-7760.,   112.,  2656.]), array([-8562.,  -328.,  3082.]), array([ 314., -159.,  -32.]))
(6, 24785, 24876, 24385, array([-7760.,   160.,  2656.]), array([-8560.,  -339.,  3059.]), array([ 313., -166.,  -41.]))
(6, 26208, 25884, 24385, array([-7744.,   176.,  2672.]), array([-8598.,  -343.,  3067.]), array([ 313., -166.,  -41.]))
(6, 27158, 26892, 26930, array([-7792.,   176.,  2640.]), array([-8558.,  -350.,  3078.]), array([ 308., -162.,  -47.]))
(6, 28581, 27900, 26930, array([-7776.,   128.,  2656.]), array([-8507.,  -358.,  3103.]), array([ 308., -162.,  -47.]))
(6, 29530, 28908, 29474, array([-7808.,   144.,  2608.]), array([-8565.,  -347.,  3089.]), array([ 305., -163.,  -57.]))
(6, 30480, 29916, 29474, array([-7856.,   112.,  2624.]), array([-8507.,  -341.,  3053.]), array([ 305., -163.,  -57.]))
(6, 31904, 31932, 29474, array([-7792.,   192.,  2704.]), array([-8581.,  -328.,  3063.]), array([ 305., -163.,  -57.]))
(6, 32853, 32940, 32019, array([-7760.,   176.,  2736.]), array([-8546.,  -332.,  3057.]), array([ 302., -168.,  -65.]))
(6, 33803, 33948, 32019, array([-7776.,   144.,  2720.]), array([-8582.,  -346.,  3072.]), array([ 302., -168.,  -65.]))
(6, 35227, 34956, 34563, array([-7744.,   112.,  2736.]), array([-8527.,  -343.,  3092.]), array([ 300., -172.,  -76.]))
(6, 36176, 35964, 34563, array([-7696.,    64.,  2768.]), array([-8556.,  -335.,  3078.]), array([ 300., -172.,  -76.]))
(6, 38549, 37980, 37108, array([-7696.,    48.,  2784.]), array([-8563.,  -324.,  3091.]), array([ 294., -172.,  -85.]))
(6, 39498, 38988, 39653, array([-7728.,   -32.,  2640.]), array([-8572.,  -327.,  3097.]), array([ 292., -171.,  -89.]))
(6, 40922, 39996, 39653, array([-7744.,    80.,  2672.]), array([-8524.,  -337.,  3088.]), array([ 292., -171.,  -89.]))
(6, 41871, 42012, 39653, array([-7760.,    64.,  2656.]), array([-8522.,  -326.,  3107.]), array([ 292., -171.,  -89.]))
(6, 42820, 43020, 42198, array([-7792.,    96.,  2768.]), array([-8503.,  -342.,  3097.]), array([ 289., -171., -102.]))
(6, 44244, 44028, 42198, array([-7744.,     0.,  2688.]), array([-8555.,  -342.,  3065.]), array([ 289., -171., -102.]))
(6, 45192, 45036, 44743, array([-7776.,   -16.,  2640.]), array([-8513.,  -347.,  3061.]), array([ 285., -172., -117.]))
(6, 46142, 46044, 44743, array([-7808.,    64.,  2736.]), array([-8540.,  -328.,  3067.]), array([ 285., -172., -117.]))
(6, 47566, 47052, 47288, array([-7776.,    16.,  2672.]), array([-8569.,  -358.,  3086.]), array([ 285., -171., -117.]))
(6, 48515, 48060, 47288, array([-7744.,    32.,  2768.]), array([-8525.,  -352.,  3071.]), array([ 285., -171., -117.]))
(6, 49938, 49068, 49833, array([-7760.,   -64.,  2672.]), array([-8547.,  -348.,  3072.]), array([ 278., -167., -129.]))
(6, 50887, 51084, 49833, array([-7728.,   -80.,  2608.]), array([-8580.,  -367.,  3055.]), array([ 278., -167., -129.]))
(6, 51836, 52092, 49833, array([-7744.,   -48.,  2608.]), array([-8573.,  -348.,  3100.]), array([ 278., -167., -129.]))
(6, 53260, 53100, 52379, array([-7744.,     0.,  2800.]), array([-8543.,  -331.,  3098.]), array([ 276., -165., -133.]))
(6, 54209, 54108, 52379, array([-7760.,   -80.,  2720.]), array([-8554.,  -315.,  3098.]), array([ 276., -165., -133.]))
(6, 55158, 55116, 54924, array([-7712.,     0.,  2736.]), array([-8531.,  -343.,  3090.]), array([ 271., -165., -142.]))
(6, 56582, 56124, 54924, array([-7712.,   -64.,  2752.]), array([-8553.,  -315.,  3062.]), array([ 271., -165., -142.]))
(6, 57531, 57133, 57469, array([-7760.,  -224.,  2704.]), array([-8533.,  -312.,  3071.]), array([ 272., -159., -154.]))
(6, 58954, 58141, 57469, array([-7760.,  -240.,  2576.]), array([-8506.,  -316.,  3075.]), array([ 272., -159., -154.]))
(6, 59903, 59149, 60014, array([-7808.,   -96.,  2640.]), array([-8545.,  -351.,  3075.]), array([ 263., -159., -162.]))
(6, 60853, 61165, 60014, array([-7872.,   -64.,  2720.]), array([-8502.,  -318.,  3069.]), array([ 263., -159., -162.]))
(6, 62277, 62173, 60014, array([-7696.,  -176.,  2672.]), array([-8514.,  -335.,  3071.]), array([ 263., -159., -162.]))
(6, 63226, 63181, 62559, array([-7808.,  -224.,  2672.]), array([-8496.,  -347.,  3074.]), array([ 263., -157., -168.]))
(6, 64176, 64189, 62559, array([-7744.,  -112.,  2768.]), array([-8515.,  -348.,  3073.]), array([ 263., -157., -168.]))
(6, 64, 65197, 65106, array([-7744.,  -128.,  2704.]), array([-8495.,  -368.,  3068.]), array([ 261., -151., -180.]))
(6, 1013, 669, 65106, array([-7696.,     0.,  2768.]), array([-8537.,  -339.,  3040.]), array([ 261., -151., -180.]))
(6, 2437, 1677, 2115, array([-7680.,    80.,  2848.]), array([-8544.,  -335.,  3071.]), array([ 254., -145., -185.]))
(6, 3386, 2685, 2115, array([-7712.,   -80.,  2768.]), array([-8480.,  -324.,  3065.]), array([ 254., -145., -185.]))
(6, 4335, 3693, 4661, array([-7600.,  -112.,  2704.]), array([-8534.,  -341.,  3046.]), array([ 254., -144., -194.]))
(6, 5758, 5709, 4661, array([-7824.,   -48.,  2768.]), array([-8480.,  -352.,  3061.]), array([ 254., -144., -194.]))
(6, 6707, 6717, 4661, array([-7808.,  -176.,  2688.]), array([-8472.,  -346.,  3061.]), array([ 254., -144., -194.]))
(6, 7656, 7725, 7206, array([-7744.,  -192.,  2592.]), array([-8479.,  -357.,  3075.]), array([ 249., -138., -211.]))
(6, 9080, 8733, 7206, array([-7728.,  -192.,  2752.]), array([-8536.,  -339.,  3060.]), array([ 249., -138., -211.]))
(6, 10029, 9741, 9751, array([-7744.,  -208.,  2720.]), array([-8490.,  -337.,  3059.]), array([ 249., -133., -211.]))
(6, 10978, 10749, 9751, array([-7712.,  -256.,  2624.]), array([-8493.,  -328.,  3067.]), array([ 249., -133., -211.]))
(6, 12402, 11757, 12296, array([-7648.,  -256.,  2672.]), array([-8475.,  -305.,  3068.]), array([ 245., -128., -216.]))
(6, 13351, 12765, 12296, array([-7760.,  -256.,  2672.]), array([-8448.,  -322.,  3057.]), array([ 245., -128., -216.]))
(6, 14775, 14781, 12296, array([-7760.,  -256.,  2672.]), array([-8469.,  -357.,  3065.]), array([ 245., -128., -216.]))
(6, 15724, 15789, 14841, array([-7712.,  -224.,  2672.]), array([-8502.,  -343.,  3041.]), array([ 245., -121., -226.]))
(6, 16673, 16797, 14841, array([-7744.,  -192.,  2816.]), array([-8454.,  -326.,  3075.]), array([ 245., -121., -226.]))
(6, 18096, 17805, 17387, array([-7712.,  -272.,  2800.]), array([-8450.,  -328.,  3075.]), array([ 238., -112., -231.]))
(6, 19046, 18813, 17387, array([-7712.,  -256.,  2672.]), array([-8447.,  -313.,  3064.]), array([ 238., -112., -231.]))
(6, 19995, 19821, 19932, array([-7744.,  -192.,  2720.]), array([-8426.,  -327.,  3026.]), array([ 238., -110., -237.]))
(6, 21418, 20829, 19932, array([-7712.,  -192.,  2736.]), array([-8469.,  -348.,  3031.]), array([ 238., -110., -237.]))
(6, 22367, 21837, 22477, array([-7696.,  -416.,  2608.]), array([-8450.,  -342.,  3090.]), array([ 239., -104., -239.]))
(6, 23791, 22845, 22477, array([-7744.,  -288.,  2672.]), array([-8406.,  -341.,  3089.]), array([ 239., -104., -239.]))
(6, 24740, 24861, 22477, array([-7792.,  -336.,  2592.]), array([-8453.,  -333.,  3035.]), array([ 239., -104., -239.]))
