(6, 9517, 9146, 8198, array([-7952.,  -976.,   592.]), array([-9859.,  -881.,  -151.]), array([ 296.,  241., -234.]))
(6, 10466, 10155, 10742, array([-7984.,  -944.,   512.]), array([-9847.,  -889.,  -145.]), array([ 294.,  246., -229.]))
(6, 11890, 11163, 10742, array([-7872.,  -960.,   576.]), array([-9887.,  -896.,  -170.]), array([ 294.,  246., -229.]))
(6, 12839, 12171, 10742, array([-7888.,  -992.,   480.]), array([-9865.,  -893.,  -179.]), array([ 294.,  246., -229.]))
(6, 13788, 13179, 13287, array([-7968., -1008.,   528.]), array([-9873.,  -878.,  -186.]), array([ 292.,  259., -222.]))
(6, 15212, 15195, 13287, array([-7936.,  -960.,   576.]), array([-9831.,  -867.,  -173.]), array([ 292.,  259., -222.]))
(6, 16161, 16203, 15831, array([-8016.,  -912.,   496.]), array([-9878.,  -870.,  -178.]), array([ 291.,  265., -215.]))
(6, 17110, 17211, 15831, array([-7968.,  -944.,   432.]), array([-9879.,  -866.,  -182.]), array([ 291.,  265., -215.]))
(6, 18534, 18219, 18376, array([-7920.,  -944.,   528.]), array([-9889.,  -861.,  -174.]), array([ 286.,  272., -211.]))
(6, 19483, 19227, 18376, array([-7968.,  -912.,   544.]), array([-9897.,  -866.,  -173.]), array([ 286.,  272., -211.]))
(6, 20906, 20235, 18376, array([-7952.,  -832.,   416.]), array([-9872.,  -850.,  -196.]), array([ 286.,  272., -211.]))
(6, 21855, 21243, 20921, array([-8032.,  -832.,   480.]), array([-9858.,  -864.,  -206.]), array([ 287.,  282., -198.]))
(6, 22805, 22251, 20921, array([-7952.,  -848.,   480.]), array([-9857.,  -884.,  -182.]), array([ 287.,  282., -198.]))
