(6, 27012, 26379, 26967, array([-8000.,  -128.,  1680.]), array([-7275.,  -124.,   670.]), array([ 315., -164.,  -62.]))
(6, 27961, 27387, 26967, array([-7984.,   -48.,  1808.]), array([-7209.,  -129.,   646.]), array([ 315., -164.,  -62.]))
(6, 28910, 28395, 26967, array([-7776.,   224.,  1776.]), array([-7237.,  -118.,   599.]), array([ 315., -164.,  -62.]))
(6, 30334, 30411, 29512, array([-7792.,   368.,  1648.]), array([-7265.,  -169.,   598.]), array([ 318., -167.,  -69.]))
(6, 31282, 31419, 29512, array([-7824.,   256.,  1568.]), array([-7303.,  -177.,   678.]), array([ 318., -167.,  -69.]))
(6, 32706, 32427, 32057, array([-8048.,    96.,  1600.]), array([-7230.,  -178.,   706.]), array([ 317., -164.,  -76.]))
(6, 33656, 33435, 32057, array([-8080.,   -80.,  1488.]), array([-7237.,  -160.,   698.]), array([ 317., -164.,  -76.]))
(6, 34605, 34443, 34602, array([-8064.,    32.,  1616.]), array([-7283.,  -144.,   661.]), array([ 315., -163.,  -83.]))
(6, 36029, 35451, 34602, array([-7872.,   176.,  1568.]), array([-7240.,  -133.,   605.]), array([ 315., -163.,  -83.]))
(6, 36978, 36459, 37146, array([-7904.,   176.,  1648.]), array([-7251.,  -124.,   614.]), array([ 315., -162.,  -90.]))
(6, 37928, 37467, 37146, array([-8000.,    16.,  1600.]), array([-7224.,   -79.,   647.]), array([ 315., -162.,  -90.]))
(6, 39352, 38475, 37146, array([-7920.,   -48.,  1600.]), array([-7223.,   -94.,   660.]), array([ 315., -162.,  -90.]))
(6, 40301, 40491, 39691, array([-7808.,  -144.,  1600.]), array([-7232.,  -114.,   625.]), array([ 314., -160.,  -95.]))
(6, 41725, 41499, 39691, array([-7920.,    48.,  1728.]), array([-7266.,  -111.,   556.]), array([ 314., -160.,  -95.]))
(6, 42674, 42507, 42237, array([-7872.,   128.,  1680.]), array([-7247.,  -154.,   598.]), array([ 312., -159., -112.]))
(6, 43623, 43515, 42237, array([-7904.,   160.,  1712.]), array([-7256.,  -143.,   631.]), array([ 312., -159., -112.]))
