(6, 48920, 48804, 46814, array([ 8304., -1584., -4048.]), array([ 4306., -5811.,  2058.]), array([-398.,  148.,  383.]))
(6, 50344, 49812, 49361, array([ 8224., -1680., -3936.]), array([ 4535., -5850.,  2023.]), array([-391.,  154.,  395.]))
(6, 51293, 50820, 49361, array([ 8288., -1760., -4000.]), array([ 4726., -5861.,  1998.]), array([-391.,  154.,  395.]))
(6, 52243, 51828, 51908, array([ 8288., -1744., -4096.]), array([ 4855., -5872.,  2053.]), array([-380.,  162.,  395.]))
(6, 53667, 52836, 51908, array([ 8384., -1920., -4064.]), array([ 4937., -5896.,  2076.]), array([-380.,  162.,  395.]))
(6, 54616, 54852, 54454, array([ 8480., -2160., -3968.]), array([ 4889., -5880.,  2216.]), array([-370.,  169.,  403.]))
(6, 56040, 55861, 54454, array([ 8496., -2384., -3840.]), array([ 4630., -5835.,  2276.]), array([-370.,  169.,  403.]))
(6, 56989, 56869, 57001, array([ 8448., -2368., -3856.]), array([ 4422., -5787.,  2321.]), array([-348.,  187.,  410.]))
(6, 57939, 57877, 57001, array([ 8384., -2336., -3744.]), array([ 4088., -5727.,  2349.]), array([-348.,  187.,  410.]))
(6, 59362, 58885, 57001, array([ 8368., -2256., -3648.]), array([ 3820., -5704.,  2412.]), array([-348.,  187.,  410.]))
(6, 60311, 59893, 59548, array([ 8320., -2192., -3664.]), array([ 3619., -5723.,  2483.]), array([-348.,  194.,  410.]))
(6, 61260, 60901, 59548, array([ 8288., -2096., -3664.]), array([ 3357., -5744.,  2570.]), array([-348.,  194.,  410.]))
(6, 62684, 61909, 62095, array([ 8224., -1840., -3616.]), array([ 3241., -5740.,  2666.]), array([-339.,  201.,  415.]))
(6, 63633, 63926, 62095, array([ 8112., -1808., -3456.]), array([ 3168., -5634.,  2882.]), array([-339.,  201.,  415.]))
(6, 65057, 64934, 64642, array([ 7936., -2048., -3184.]), array([ 3086., -5608.,  2991.]), array([-324.,  212.,  421.]))
(6, 470, 406, 64642, array([ 7760., -1776., -2656.]), array([ 2963., -5577.,  3113.]), array([-324.,  212.,  421.]))
(6, 1419, 1414, 1653, array([ 7808., -2080., -3056.]), array([ 2961., -5554.,  3231.]), array([-317.,  220.,  421.]))
(6, 2843, 2422, 1653, array([ 7728., -2112., -3296.]), array([ 2683., -5518.,  3318.]), array([-317.,  220.,  421.]))
(6, 3792, 3430, 1653, array([ 7664., -1888., -3520.]), array([ 2607., -5548.,  3341.]), array([-317.,  220.,  421.]))
(6, 4741, 4438, 4200, array([ 7664., -1648., -3584.]), array([ 2661., -5519.,  3364.]), array([-298.,  230.,  427.]))
(6, 6165, 5447, 4200, array([ 7520., -1584., -3568.]), array([ 2722., -5494.,  3399.]), array([-298.,  230.,  427.]))
(6, 7114, 6455, 6746, array([ 7600., -1680., -3584.]), array([ 2833., -5466.,  3441.]), array([-289.,  229.,  429.]))
(6, 8063, 8471, 6746, array([ 7424., -1840., -3472.]), array([ 2672., -5410.,  3414.]), array([-289.,  229.,  429.]))
(6, 9486, 9479, 9293, array([ 7424., -1968., -3424.]), array([ 2320., -5373.,  3378.]), array([-274.,  242.,  433.]))
(6, 10436, 10487, 9293, array([ 7408., -2096., -3344.]), array([ 1835., -5299.,  3340.]), array([-274.,  242.,  433.]))
(6, 11384, 11495, 11839, array([ 7360., -2160., -3360.]), array([ 1346., -5186.,  3315.]), array([-263.,  245.,  439.]))
(6, 12808, 12504, 11839, array([ 7328., -2208., -3424.]), array([  779., -5071.,  3329.]), array([-263.,  245.,  439.]))
(6, 13757, 13512, 11839, array([ 7200., -2336., -3440.]), array([  292., -4970.,  3380.]), array([-263.,  245.,  439.]))
(6, 15181, 14520, 14386, array([ 7280., -2576., -3696.]), array([ -178., -4955.,  3403.]), array([-252.,  247.,  441.]))
(6, 16130, 15528, 14386, array([ 6976., -2432., -3488.]), array([ -608., -4936.,  3371.]), array([-252.,  247.,  441.]))
(6, 17080, 16536, 16932, array([ 6960., -2960., -3552.]), array([ -880., -4927.,  3403.]), array([-241.,  251.,  442.]))
(6, 18503, 18552, 16932, array([ 6784., -2832., -3504.]), array([-1665., -4884.,  3384.]), array([-241.,  251.,  442.]))
(6, 19452, 19561, 19479, array([ 6608., -2624., -3456.]), array([-1915., -4824.,  3379.]), array([-220.,  247.,  450.]))
(6, 20876, 20569, 19479, array([ 6336., -2416., -3472.]), array([-2228., -4755.,  3277.]), array([-220.,  247.,  450.]))
(6, 21825, 21577, 19479, array([ 6320., -2352., -3472.]), array([-2439., -4709.,  3131.]), array([-220.,  247.,  450.]))
(6, 22774, 22585, 22025, array([ 6336., -2272., -3456.]), array([-2704., -4679.,  2997.]), array([-220.,  239.,  450.]))
(6, 24198, 23593, 22025, array([ 6256., -2176., -3536.]), array([-2945., -4649.,  2983.]), array([-220.,  239.,  450.]))
(6, 25147, 24601, 24573, array([ 6192., -1904., -3600.]), array([-3237., -4551.,  2965.]), array([-206.,  235.,  455.]))
(6, 26096, 25609, 24573, array([ 6128., -1680., -3552.]), array([-3572., -4478.,  2857.]), array([-206.,  235.,  455.]))
(6, 27520, 27626, 27120, array([ 6000., -1472., -3536.]), array([-4054., -4351.,  2656.]), array([-197.,  228.,  460.]))
(6, 28469, 28634, 27120, array([ 5840., -1472., -3440.]), array([-4388., -4363.,  2539.]), array([-197.,  228.,  460.]))
(6, 29893, 29642, 29667, array([ 5600., -1552., -3408.]), array([-4884., -4291.,  2407.]), array([-184.,  220.,  468.]))
(6, 30842, 30650, 29667, array([ 5504., -1664., -3488.]), array([-5525., -4190.,  2265.]), array([-184.,  220.,  468.]))
(6, 31791, 31658, 29667, array([ 5360., -1696., -3568.]), array([-6103., -4060.,  2167.]), array([-184.,  220.,  468.]))
(6, 33214, 32666, 32213, array([ 5264., -1776., -3504.]), array([-6665., -3940.,  2075.]), array([-173.,  204.,  477.]))
(6, 34163, 33675, 32213, array([ 5168., -1920., -3424.]), array([-7107., -3857.,  1945.]), array([-173.,  204.,  477.]))
(6, 35113, 34683, 34759, array([ 5024., -1904., -3408.]), array([-7552., -3788.,  1874.]), array([-165.,  187.,  477.]))
(6, 36537, 35691, 34759, array([ 4848., -1952., -3360.]), array([-7992., -3746.,  1786.]), array([-165.,  187.,  477.]))
(6, 37487, 37707, 37305, array([ 4704., -1840., -3408.]), array([-8757., -3648.,  1520.]), array([-154.,  162.,  481.]))
(6, 38437, 38715, 37305, array([ 4496., -1504., -3472.]), array([-9114., -3613.,  1392.]), array([-154.,  162.,  481.]))
(6, 39860, 39723, 39851, array([ 4384.,  -800., -3872.]), array([-9347., -3598.,  1243.]), array([-145.,  146.,  489.]))
(6, 40809, 40732, 39851, array([ 4256.,  -336., -4016.]), array([-9423., -3546.,  1096.]), array([-145.,  146.,  489.]))
(6, 42233, 41740, 39851, array([ 4096.,   208., -4224.]), array([-9242., -3516.,   954.]), array([-145.,  146.,  489.]))
(6, 43182, 42748, 42399, array([ 4000.,   368., -4288.]), array([-9024., -3472.,   812.]), array([-140.,  125.,  489.]))
(6, 44131, 43756, 42399, array([ 3904.,   512., -4384.]), array([-8739., -3380.,   702.]), array([-140.,  125.,  489.]))
(6, 45555, 44764, 44945, array([ 3824.,   496., -4416.]), array([-8401., -3252.,   595.]), array([-134.,  101.,  495.]))
(6, 46504, 45772, 44945, array([ 3792.,   608., -4544.]), array([-8074., -3127.,   469.]), array([-134.,  101.,  495.]))
(6, 47453, 47788, 47493, array([ 3760.,   912., -4624.]), array([-7287., -2870.,   137.]), array([-120.,   84.,  498.]))
(6, 48877, 48797, 47493, array([ 3696.,  1312., -4592.]), array([-6875., -2836.,   -16.]), array([-120.,   84.,  498.]))
(6, 49826, 49805, 50039, array([ 3712.,  1344., -4624.]), array([-6445., -2814.,  -120.]), array([-120.,   72.,  498.]))
(6, 51250, 50813, 50039, array([ 3600.,  1200., -4624.]), array([-6079., -2687.,  -144.]), array([-120.,   72.,  498.]))
(6, 52199, 51821, 50039, array([ 3472.,  1200., -4704.]), array([-5650., -2548.,  -205.]), array([-120.,   72.,  498.]))
(6, 53148, 52829, 52586, array([ 3408.,  1184., -4928.]), array([-5274., -2416.,  -323.]), array([-114.,   57.,  502.]))
(6, 54572, 53837, 52586, array([ 3392.,  1248., -5216.]), array([-4809., -2291.,  -410.]), array([-114.,   57.,  502.]))
(6, 55521, 54845, 55132, array([ 3280.,  1264., -5408.]), array([-4367., -2205.,  -436.]), array([-107.,   47.,  502.]))
(6, 56470, 56862, 55132, array([ 3264.,  1168., -5520.]), array([-3593., -2138.,  -510.]), array([-107.,   47.,  502.]))
(6, 57894, 57870, 57678, array([ 3264.,  1040., -5744.]), array([-3439., -2033.,  -550.]), array([-103.,   39.,  500.]))
(6, 58843, 58878, 57678, array([ 3360.,   880., -5728.]), array([-3273., -1915.,  -541.]), array([-103.,   39.,  500.]))
(6, 59793, 59886, 60225, array([ 3504.,   736., -5632.]), array([-3200., -1796.,  -521.]), array([ -99.,   29.,  501.]))
(6, 61216, 60894, 60225, array([ 3616.,   384., -5376.]), array([-3285., -1737.,  -511.]), array([ -99.,   29.,  501.]))
(6, 62165, 61902, 60225, array([ 3616.,   288., -5232.]), array([-3351., -1681.,  -501.]), array([ -99.,   29.,  501.]))
(6, 63589, 62911, 62772, array([ 3664.,    96., -5152.]), array([-3505., -1604.,  -492.]), array([ -97.,   18.,  504.]))
(6, 64538, 63919, 62772, array([ 3680.,    80., -5024.]), array([-3626., -1529.,  -460.]), array([ -97.,   18.,  504.]))
(6, 65488, 64927, 65318, array([ 3584.,   112., -5056.]), array([-3783., -1438.,  -490.]), array([ -90.,   11.,  500.]))
(6, 1375, 1407, 65318, array([ 3472.,   384., -5168.]), array([-4313., -1300.,  -536.]), array([ -90.,   11.,  500.]))
