(1, 3094, 2927, 2317, array([ 7968., -1152., -2080.]), array([ 6396.,  -256.,  -790.]), array([-436.,  119.,  367.]))
(1, 4043, 3935, 2317, array([ 7920., -1344., -2000.]), array([ 5880.,  -322.,  -833.]), array([-436.,  119.,  367.]))
(1, 5467, 4943, 4863, array([ 7840., -1696., -1904.]), array([ 5348.,  -348.,  -834.]), array([-433.,  122.,  364.]))
(1, 6416, 5952, 4863, array([ 7856., -1792., -1872.]), array([ 4875.,  -352.,  -852.]), array([-433.,  122.,  364.]))
(1, 7365, 6960, 7410, array([ 7808., -1888., -1840.]), array([ 4406.,  -365.,  -816.]), array([-433.,  127.,  366.]))
(1, 8790, 7968, 7410, array([ 7808., -1840., -1840.]), array([ 3995.,  -389.,  -796.]), array([-433.,  127.,  366.]))
(1, 9739, 9984, 9957, array([ 7808., -1824., -1840.]), array([ 3218.,  -398.,  -730.]), array([-433.,  128.,  366.]))
(1, 10689, 10993, 9957, array([ 7664., -1776., -1792.]), array([ 2904.,  -449.,  -697.]), array([-433.,  128.,  366.]))
(1, 12113, 12001, 9957, array([ 7664., -1632., -1792.]), array([ 2623.,  -453.,  -629.]), array([-433.,  128.,  366.]))
(1, 13063, 13009, 12503, array([ 7648., -1520., -1696.]), array([ 2456.,  -472.,  -560.]), array([-431.,  132.,  365.]))
(1, 14488, 14017, 12503, array([ 7664., -1280., -1568.]), array([ 2356.,  -473.,  -521.]), array([-431.,  132.,  365.]))
(1, 15437, 15025, 15050, array([ 7664., -1200., -1616.]), array([ 2317.,  -431.,  -473.]), array([-436.,  135.,  367.]))
(1, 16387, 16033, 15050, array([ 7712., -1216., -1488.]), array([ 2354.,  -457.,  -409.]), array([-436.,  135.,  367.]))
(1, 17812, 17042, 17596, array([ 7760., -1312., -1440.]), array([ 2397.,  -473.,  -362.]), array([-430.,  137.,  367.]))
(1, 18761, 18050, 17596, array([ 7728., -1328., -1376.]), array([ 2475.,  -489.,  -315.]), array([-430.,  137.,  367.]))
(1, 19711, 20066, 17596, array([ 7664., -1328., -1376.]), array([ 2438.,  -503.,  -221.]), array([-430.,  137.,  367.]))
(1, 21135, 21074, 20143, array([ 7616., -1440., -1184.]), array([ 2356.,  -510.,  -175.]), array([-430.,  139.,  368.]))
(1, 22084, 22083, 20143, array([ 7632., -1488., -1184.]), array([ 2254.,  -493.,  -134.]), array([-430.,  139.,  368.]))
(1, 23509, 23091, 22690, array([ 7680., -1536., -1200.]), array([ 2133.,  -460.,   -66.]), array([-431.,  142.,  368.]))
(1, 24458, 24099, 22690, array([ 7632., -1520., -1120.]), array([ 1979.,  -449.,   -18.]), array([-431.,  142.,  368.]))
(1, 25408, 25107, 25237, array([ 7712., -1536., -1168.]), array([ 1873.,  -449.,    38.]), array([-431.,  144.,  372.]))
(1, 26832, 26115, 25237, array([ 7680., -1536., -1120.]), array([ 1804.,  -391.,    56.]), array([-431.,  144.,  372.]))
(1, 27782, 27123, 27784, array([ 7744., -1456., -1152.]), array([ 1678.,  -338.,    82.]), array([-429.,  147.,  367.]))
(1, 28731, 29140, 27784, array([ 7760., -1360., -1184.]), array([ 1479.,  -206.,   170.]), array([-429.,  147.,  367.]))
(1, 30155, 30148, 27784, array([ 7776., -1264., -1184.]), array([ 1350.,  -160.,   198.]), array([-429.,  147.,  367.]))
(1, 31105, 31156, 30330, array([ 7824., -1232., -1232.]), array([ 1268.,  -152.,   216.]), array([-429.,  148.,  366.]))
(1, 32055, 32164, 30330, array([ 7824., -1168., -1264.]), array([ 1169.,   -92.,   238.]), array([-429.,  148.,  366.]))
(1, 33478, 33173, 32877, array([ 7872., -1088., -1264.]), array([ 1144.,   -36.,   257.]), array([-429.,  146.,  366.]))
(1, 34428, 34181, 32877, array([ 7888., -1008., -1328.]), array([ 1024.,     7.,   267.]), array([-429.,  146.,  366.]))
(1, 35852, 35189, 35423, array([ 7984.,  -944., -1344.]), array([ 987.,   58.,  306.]), array([-428.,  150.,  367.]))
(1, 36801, 36197, 35423, array([ 8032.,  -928., -1440.]), array([ 949.,  104.,  334.]), array([-428.,  150.,  367.]))
(1, 37751, 37205, 37970, array([ 7952.,  -864., -1424.]), array([ 879.,  145.,  331.]), array([-428.,  154.,  367.]))
(1, 39175, 39222, 37970, array([ 7936.,  -880., -1456.]), array([ 764.,  180.,  318.]), array([-428.,  154.,  367.]))
(1, 40123, 40230, 37970, array([ 8016.,  -864., -1536.]), array([ 673.,  227.,  330.]), array([-428.,  154.,  367.]))
(1, 41073, 41238, 40517, array([ 8000.,  -800., -1536.]), array([ 665.,  252.,  326.]), array([-425.,  155.,  370.]))
(1, 42498, 42246, 40517, array([ 7952.,  -736., -1600.]), array([ 572.,  278.,  318.]), array([-425.,  155.,  370.]))
(1, 43447, 43254, 43064, array([ 7984.,  -752., -1632.]), array([ 529.,  300.,  294.]), array([-427.,  154.,  373.]))
(1, 44871, 44263, 43064, array([ 7984.,  -752., -1632.]), array([ 457.,  293.,  279.]), array([-427.,  154.,  373.]))
(1, 45821, 45271, 45609, array([ 7984.,  -720., -1600.]), array([ 400.,  301.,  271.]), array([-427.,  159.,  367.]))
(1, 46771, 46279, 45609, array([ 7872.,  -704., -1616.]), array([ 345.,  324.,  248.]), array([-427.,  159.,  367.]))
(1, 48195, 47287, 48155, array([ 7904.,  -688., -1696.]), array([ 274.,  360.,  212.]), array([-426.,  155.,  367.]))
(1, 49145, 49303, 48155, array([ 7888.,  -608., -1680.]), array([ 208.,  346.,  130.]), array([-426.,  155.,  367.]))
(1, 50094, 50312, 48155, array([ 7920.,  -624., -1664.]), array([ 159.,  299.,   75.]), array([-426.,  155.,  367.]))
(1, 51518, 51320, 50701, array([ 7872.,  -688., -1616.]), array([ 152.,  280.,   28.]), array([-427.,  157.,  368.]))
(1, 52467, 52328, 50701, array([ 7872.,  -672., -1648.]), array([  90.,  286.,    5.]), array([-427.,  157.,  368.]))
(1, 53416, 53336, 53246, array([ 7920.,  -688., -1616.]), array([ 122.,  240.,  -54.]), array([-429.,  158.,  368.]))
(1, 54841, 54344, 53246, array([ 7840.,  -688., -1568.]), array([ 117.,  279.,  -53.]), array([-429.,  158.,  368.]))
(1, 55791, 55353, 55792, array([ 7840.,  -704., -1600.]), array([ 113.,  321.,  -50.]), array([-427.,  154.,  366.]))
(1, 57214, 56361, 55792, array([ 7792.,  -784., -1504.]), array([ 107.,  246.,  -96.]), array([-427.,  154.,  366.]))
(1, 58164, 58377, 58340, array([ 7840.,  -816., -1504.]), array([ 123.,  233., -135.]), array([-427.,  157.,  366.]))
(1, 59113, 59385, 58340, array([ 7888.,  -864., -1520.]), array([ 144.,  205., -124.]), array([-427.,  157.,  366.]))
(1, 60537, 60394, 58340, array([ 7888.,  -896., -1504.]), array([ 111.,  192., -109.]), array([-427.,  157.,  366.]))
(1, 61486, 61402, 60887, array([ 7808.,  -960., -1504.]), array([ 179.,  207., -146.]), array([-428.,  155.,  366.]))
(1, 62436, 62410, 60887, array([ 7840.,  -976., -1472.]), array([ 225.,  161., -145.]), array([-428.,  155.,  366.]))
(1, 63860, 63418, 63434, array([ 7840.,  -960., -1440.]), array([ 259.,  133., -112.]), array([-429.,  157.,  365.]))
(1, 64809, 64426, 63434, array([ 7888., -1040., -1424.]), array([ 294.,  179., -121.]), array([-429.,  157.,  365.]))
(1, 698, 65434, 445, array([ 7824., -1024., -1472.]), array([ 332.,  174., -113.]), array([-429.,  158.,  365.]))
(1, 1647, 907, 445, array([ 7824., -1024., -1440.]), array([ 385.,  137.,  -92.]), array([-429.,  158.,  365.]))
(1, 2597, 2923, 445, array([ 7840., -1008., -1424.]), array([ 537.,  151.,  -71.]), array([-429.,  158.,  365.]))
(1, 4021, 3931, 2991, array([ 7792., -1040., -1408.]), array([ 516.,  139.,  -63.]), array([-429.,  157.,  366.]))
(1, 4970, 4939, 2991, array([ 7840., -1104., -1328.]), array([ 561.,  105.,  -25.]), array([-429.,  157.,  366.]))
(1, 5919, 5948, 5539, array([ 7856., -1152., -1344.]), array([ 580.,   79.,  -20.]), array([-428.,  157.,  368.]))
(1, 7343, 6956, 5539, array([ 7840., -1152., -1312.]), array([ 571.,   73.,   -9.]), array([-428.,  157.,  368.]))
(1, 8293, 7964, 8085, array([ 7840., -1216., -1296.]), array([ 584.,   64.,   15.]), array([-430.,  154.,  368.]))
(1, 9717, 8972, 8085, array([ 7904., -1248., -1232.]), array([ 521.,   55.,   38.]), array([-430.,  154.,  368.]))
(1, 10667, 9980, 10632, array([ 7840., -1296., -1248.]), array([ 467.,   35.,   60.]), array([-430.,  158.,  363.]))
(1, 11617, 10988, 10632, array([ 7840., -1296., -1248.]), array([ 430.,   36.,   77.]), array([-430.,  158.,  363.]))
(1, 13041, 13005, 10632, array([ 7920., -1264., -1216.]), array([ 218.,   83.,  141.]), array([-430.,  158.,  363.]))
(1, 13991, 14013, 13178, array([ 7888., -1264., -1264.]), array([ 114.,  131.,  148.]), array([-429.,  157.,  368.]))
(1, 14940, 15021, 13178, array([ 7936., -1280., -1248.]), array([ -20.,  153.,  160.]), array([-429.,  157.,  368.]))
(1, 16365, 16029, 15725, array([ 7888., -1200., -1264.]), array([-110.,  180.,  206.]), array([-429.,  158.,  366.]))
