(1, 9226, 9352, 7083, array([ 7792.,  -576., -2608.]), array([  3.00000000e+00,  -3.55900000e+03,   1.85500000e+03]), array([-366.,  165.,  434.]))
(1, 10650, 10360, 9630, array([ 7712.,  -592., -2672.]), array([   88., -3546.,  1786.]), array([-360.,  169.,  442.]))
(1, 11599, 11368, 9630, array([ 7696.,  -640., -2720.]), array([   94., -3478.,  1722.]), array([-360.,  169.,  442.]))
(1, 12549, 12377, 12177, array([ 7632.,  -640., -2688.]), array([   79., -3407.,  1669.]), array([-356.,  169.,  443.]))
(1, 13973, 13385, 12177, array([ 7552.,  -656., -2736.]), array([   28., -3354.,  1618.]), array([-356.,  169.,  443.]))
(1, 14922, 14393, 14724, array([ 7520.,  -640., -2736.]), array([  -17., -3266.,  1609.]), array([-352.,  171.,  448.]))
(1, 15871, 15401, 14724, array([ 7488.,  -704., -2672.]), array([  -83., -3209.,  1588.]), array([-352.,  171.,  448.]))
(1, 17295, 16409, 17272, array([ 7456.,  -656., -2656.]), array([ -145., -3124.,  1534.]), array([-342.,  173.,  451.]))
(1, 18244, 18426, 17272, array([ 7360.,  -656., -2624.]), array([ -163., -3002.,  1447.]), array([-342.,  173.,  451.]))
(1, 19194, 19434, 17272, array([ 7376.,  -656., -2592.]), array([ -217., -2928.,  1415.]), array([-342.,  173.,  451.]))
(1, 20618, 20442, 19818, array([ 7264.,  -704., -2464.]), array([ -200., -2885.,  1379.]), array([-338.,  173.,  455.]))
(1, 21567, 21450, 19818, array([ 7248.,  -672., -2432.]), array([ -220., -2808.,  1346.]), array([-338.,  173.,  455.]))
(1, 22991, 22459, 22365, array([ 7280.,  -736., -2368.]), array([ -223., -2760.,  1319.]), array([-333.,  175.,  460.]))
(1, 23940, 23467, 22365, array([ 7296.,  -816., -2352.]), array([ -180., -2726.,  1260.]), array([-333.,  175.,  460.]))
(1, 24890, 24475, 24911, array([ 7168.,  -832., -2304.]), array([ -202., -2632.,  1227.]), array([-322.,  172.,  467.]))
(1, 26314, 25483, 24911, array([ 7216.,  -912., -2368.]), array([ -215., -2550.,  1216.]), array([-322.,  172.,  467.]))
(1, 27263, 27499, 27458, array([ 7184.,  -944., -2464.]), array([ -403., -2414.,  1193.]), array([-322.,  174.,  467.]))
(1, 28213, 28508, 27458, array([ 7232.,  -944., -2448.]), array([ -479., -2333.,  1163.]), array([-322.,  174.,  467.]))
(1, 29636, 29516, 27458, array([ 7216., -1008., -2480.]), array([ -616., -2262.,  1126.]), array([-322.,  174.,  467.]))
(1, 30585, 30524, 30005, array([ 7264.,  -992., -2560.]), array([ -722., -2212.,  1127.]), array([-318.,  173.,  469.]))
