(1, 33855, 32961, 32297, array([ 7808.,  2128., -2880.]), array([  808., -2083.,   150.]), array([-376., -126.,  391.]))
(1, 34804, 34978, 34843, array([ 7744.,  2064., -2864.]), array([ 1525., -1927.,   149.]), array([-367., -125.,  399.]))
(1, 35754, 35986, 34843, array([ 7712.,  2000., -2832.]), array([ 1837., -1889.,   169.]), array([-367., -125.,  399.]))
(1, 37178, 36994, 34843, array([ 7712.,  1888., -2864.]), array([ 2141., -1831.,   162.]), array([-367., -125.,  399.]))
(1, 38128, 38002, 37389, array([ 7648.,  1808., -2832.]), array([ 2412., -1806.,   170.]), array([-367., -123.,  399.]))
(1, 39077, 39010, 37389, array([ 7632.,  1648., -2752.]), array([ 2539., -1761.,   191.]), array([-367., -123.,  399.]))
(1, 40501, 40018, 39935, array([ 7600.,  1408., -2736.]), array([ 2612., -1745.,   193.]), array([-368., -118.,  402.]))
(1, 41450, 41027, 39935, array([ 7568.,  1344., -2656.]), array([ 2552., -1741.,   213.]), array([-368., -118.,  402.]))
(1, 42400, 42035, 42481, array([ 7520.,  1248., -2576.]), array([ 2410., -1765.,   214.]), array([-364., -113.,  406.]))
(1, 43823, 43043, 42481, array([ 7408.,  1216., -2544.]), array([ 2307., -1794.,   208.]), array([-364., -113.,  406.]))
(1, 44773, 45059, 45028, array([ 7408.,  1216., -2560.]), array([ 1779., -1855.,   193.]), array([-361., -109.,  411.]))
(1, 46196, 46067, 45028, array([ 7376.,  1184., -2528.]), array([ 1519., -1858.,   204.]), array([-361., -109.,  411.]))
(1, 47145, 47075, 45028, array([ 7456.,  1296., -2512.]), array([ 1239., -1873.,   201.]), array([-361., -109.,  411.]))
(1, 48095, 48084, 47574, array([ 7456.,  1344., -2480.]), array([  993., -1889.,   193.]), array([-361., -107.,  416.]))
(1, 49519, 49092, 47574, array([ 7504.,  1488., -2624.]), array([  718., -1902.,   234.]), array([-361., -107.,  416.]))
(1, 50468, 50100, 50120, array([ 7456.,  1568., -2672.]), array([  537., -1921.,   276.]), array([-360., -107.,  415.]))
(1, 51418, 51108, 50120, array([ 7392.,  1600., -2704.]), array([  380., -1941.,   323.]), array([-360., -107.,  415.]))
(1, 52842, 52116, 52667, array([ 7360.,  1712., -2768.]), array([  303., -1968.,   337.]), array([-352., -109.,  421.]))
