(1, 38607, 38603, 38086, array([ 4048., -1456., -4256.]), array([-1300., -3056.,   109.]), array([ -75.,  179.,  561.]))
(1, 40982, 40619, 40631, array([ 3952., -1488., -4368.]), array([-1325., -2903.,   -10.]), array([ -72.,  174.,  564.]))
(1, 41932, 41627, 40631, array([ 3824., -1520., -4368.]), array([-1321., -2847.,   -32.]), array([ -72.,  174.,  564.]))
(1, 43357, 42636, 43177, array([ 3728., -1584., -4448.]), array([-1311., -2708.,   -62.]), array([ -63.,  170.,  568.]))
(1, 44307, 44652, 43177, array([ 3712., -1600., -4464.]), array([-1430., -2514.,   -79.]), array([ -63.,  170.,  568.]))
(1, 45257, 45660, 45721, array([ 3664., -1712., -4576.]), array([-1511., -2390.,   -99.]), array([ -58.,  168.,  567.]))
(1, 46681, 46668, 45721, array([ 3632., -1824., -4736.]), array([-1601., -2298.,   -89.]), array([ -58.,  168.,  567.]))
(1, 47630, 47676, 45721, array([ 3584., -1888., -4784.]), array([-1781., -2198.,   -71.]), array([ -58.,  168.,  567.]))
(1, 49054, 48685, 48265, array([ 3472., -1904., -4832.]), array([-1955., -2126.,   -59.]), array([ -55.,  163.,  568.]))
(1, 50004, 49693, 48265, array([ 3440., -1856., -4848.]), array([-2095., -2079.,    30.]), array([ -55.,  163.,  568.]))
(1, 50954, 50701, 50811, array([ 3392., -1776., -4816.]), array([-2330., -2007.,    54.]), array([ -48.,  158.,  569.]))
(1, 52379, 51709, 50811, array([ 3344., -1632., -4784.]), array([-2619., -1860.,   115.]), array([ -48.,  158.,  569.]))
(1, 53329, 52717, 53357, array([ 3312., -1520., -4928.]), array([-2885., -1723.,    99.]), array([ -39.,  147.,  574.]))
(1, 54753, 54734, 53357, array([ 3232., -1152., -5024.]), array([-3161., -1532.,   115.]), array([ -39.,  147.,  574.]))
(1, 55703, 55742, 53357, array([ 3104., -1056., -4928.]), array([-3253., -1415.,   160.]), array([ -39.,  147.,  574.]))
(1, 56653, 56750, 55903, array([ 3072.,  -976., -5088.]), array([-3208., -1338.,   224.]), array([ -39.,  141.,  574.]))
(1, 58077, 57758, 55903, array([ 2912.,  -880., -5264.]), array([-3078., -1252.,   274.]), array([ -39.,  141.,  574.]))
(1, 59027, 58766, 58449, array([ 2832.,  -928., -5440.]), array([-2938., -1196.,   298.]), array([ -38.,  135.,  574.]))
(1, 59977, 59775, 58449, array([ 2784.,  -992., -5504.]), array([-2803., -1130.,   325.]), array([ -38.,  135.,  574.]))
(1, 61402, 60783, 60994, array([ 2704., -1104., -5616.]), array([-2655., -1065.,   304.]), array([ -33.,  128.,  578.]))
(1, 62351, 61791, 60994, array([ 2688., -1120., -5680.]), array([-2511.,  -990.,   276.]), array([ -33.,  128.,  578.]))
(1, 63776, 62799, 63540, array([ 2624., -1136., -5616.]), array([-2461.,  -935.,   298.]), array([ -32.,  124.,  577.]))
(1, 64725, 64815, 63540, array([ 2544., -1072., -5616.]), array([-2293.,  -884.,   335.]), array([ -32.,  124.,  577.]))
(1, 139, 288, 63540, array([ 2512., -1024., -5600.]), array([-2197.,  -827.,   320.]), array([ -32.,  124.,  577.]))
(1, 1563, 1296, 550, array([ 2576.,  -848., -5552.]), array([-2053.,  -752.,   335.]), array([ -30.,  117.,  579.]))
(1, 2512, 2304, 550, array([ 2576.,  -736., -5552.]), array([-1999.,  -708.,   319.]), array([ -30.,  117.,  579.]))
(1, 3462, 3312, 3095, array([ 2624.,  -656., -5536.]), array([-1958.,  -663.,   322.]), array([ -27.,  114.,  579.]))
(1, 4886, 4320, 3095, array([ 2592.,  -480., -5536.]), array([-1877.,  -608.,   383.]), array([ -27.,  114.,  579.]))
(1, 5836, 5328, 5641, array([ 2624.,  -304., -5536.]), array([-1814.,  -556.,   396.]), array([ -27.,  108.,  579.]))
(1, 6786, 6337, 5641, array([ 2656.,  -160., -5600.]), array([-1671.,  -553.,   448.]), array([ -27.,  108.,  579.]))
(1, 8211, 8353, 8187, array([ 2672.,   -64., -5664.]), array([-1172.,  -497.,   556.]), array([ -24.,  105.,  577.]))
(1, 9160, 9361, 8187, array([ 2688.,     0., -5696.]), array([-869., -456.,  607.]), array([ -24.,  105.,  577.]))
(1, 10584, 10369, 8187, array([ 2816.,     0., -5728.]), array([-533., -425.,  635.]), array([ -24.,  105.,  577.]))
(1, 11533, 11378, 10733, array([ 2864.,   -16., -5776.]), array([-189., -416.,  658.]), array([ -21.,  101.,  579.]))
(1, 12483, 12386, 10733, array([ 2912.,   -96., -5888.]), array([ 119., -393.,  636.]), array([ -21.,  101.,  579.]))
(1, 13907, 13394, 13277, array([ 2880.,  -240., -6016.]), array([ 350., -348.,  633.]), array([ -22.,  101.,  585.]))
(1, 14857, 14402, 13277, array([ 2880.,  -320., -6096.]), array([ 459., -328.,  660.]), array([ -22.,  101.,  585.]))
(1, 15807, 15410, 15823, array([ 2848.,  -416., -6272.]), array([ 533., -271.,  622.]), array([ -21.,  104.,  578.]))
(1, 17232, 16418, 15823, array([ 2880.,  -528., -6400.]), array([ 599., -217.,  575.]), array([ -21.,  104.,  578.]))
(1, 18181, 18435, 18369, array([ 2864.,  -528., -6432.]), array([ 547., -126.,  457.]), array([ -21.,  103.,  578.]))
(1, 19606, 19443, 18369, array([ 2800.,  -560., -6352.]), array([ 527.,  -96.,  394.]), array([ -21.,  103.,  578.]))
(1, 20555, 20451, 18369, array([ 2816.,  -624., -6368.]), array([ 519.,  -49.,  337.]), array([ -21.,  103.,  578.]))
(1, 21505, 21459, 20914, array([ 2944.,  -608., -6400.]), array([ 451.,   53.,  289.]), array([ -21.,  105.,  579.]))
(1, 22929, 22467, 20914, array([ 3024.,  -672., -6528.]), array([ 366.,  133.,  224.]), array([ -21.,  105.,  579.]))
(1, 23878, 23476, 23459, array([ 2992.,  -640., -6592.]), array([ 272.,  172.,  154.]), array([ -19.,  104.,  575.]))
(1, 24828, 24484, 23459, array([ 2976.,  -608., -6704.]), array([ 268.,  210.,  100.]), array([ -19.,  104.,  575.]))
(1, 26252, 25492, 26005, array([ 3008.,  -704., -6704.]), array([ 196.,  241.,   51.]), array([ -20.,  107.,  575.]))
(1, 27201, 26500, 26005, array([ 2944.,  -688., -6752.]), array([ 171.,  243.,   25.]), array([ -20.,  107.,  575.]))
(1, 28150, 28517, 28551, array([ 3008.,  -816., -6816.]), array([  17.,  337.,  -43.]), array([ -21.,  108.,  579.]))
(1, 29574, 29525, 28551, array([ 3088.,  -864., -6944.]), array([ -85.,  423.,  -38.]), array([ -21.,  108.,  579.]))
(1, 30524, 30533, 28551, array([ 3024.,  -912., -6960.]), array([-280.,  443.,  -58.]), array([ -21.,  108.,  579.]))
(1, 31949, 31541, 31097, array([ 3008.,  -880., -7072.]), array([-409.,  499.,  -68.]), array([ -19.,  104.,  581.]))
(1, 32898, 32549, 31097, array([ 2976.,  -832., -7152.]), array([-554.,  556.,  -68.]), array([ -19.,  104.,  581.]))
(1, 33847, 33557, 33642, array([ 3040.,  -832., -7200.]), array([-740.,  605.,  -35.]), array([ -23.,  100.,  579.]))
(1, 35272, 34566, 33642, array([ 3040.,  -608., -7264.]), array([-854.,  553.,  -13.]), array([ -23.,  100.,  579.]))
(1, 36222, 35574, 36188, array([ 3088.,  -496., -7248.]), array([-931.,  539.,  -14.]), array([ -23.,  101.,  579.]))
