(1, 18438, 17967, 16877, array([ 6176., -1808., -4064.]), array([-1591., -1182.,   211.]), array([-234.,  273.,  488.]))
(1, 19387, 18975, 19424, array([ 6208., -1904., -3984.]), array([-1498., -1179.,   153.]), array([-232.,  268.,  493.]))
(1, 20811, 19984, 19424, array([ 6176., -1904., -3984.]), array([-1412., -1176.,   106.]), array([-232.,  268.,  493.]))
(1, 21759, 22000, 21972, array([ 6112., -1984., -3920.]), array([-1267., -1231.,    63.]), array([-232.,  267.,  493.]))
(1, 22708, 23008, 21972, array([ 6112., -2048., -3904.]), array([-1200., -1244.,    88.]), array([-232.,  267.,  493.]))
(1, 24132, 24016, 21972, array([ 6048., -2048., -4016.]), array([-1194., -1214.,   111.]), array([-232.,  267.,  493.]))
(1, 25082, 25024, 24519, array([ 6032., -2064., -4048.]), array([-1165., -1205.,   135.]), array([-229.,  265.,  496.]))
(1, 26506, 26033, 24519, array([ 6016., -2128., -3968.]), array([-1117., -1221.,   193.]), array([-229.,  265.,  496.]))
(1, 27456, 27041, 27065, array([ 6000., -2128., -4000.]), array([-1058., -1202.,   221.]), array([-230.,  263.,  499.]))
(1, 28405, 28049, 27065, array([ 5968., -2128., -3984.]), array([-1067., -1200.,   269.]), array([-230.,  263.,  499.]))
(1, 29830, 29057, 29612, array([ 5920., -2112., -4000.]), array([-1052., -1208.,   300.]), array([-224.,  260.,  499.]))
(1, 30779, 30065, 29612, array([ 5904., -2112., -4064.]), array([-1006., -1195.,   358.]), array([-224.,  260.,  499.]))
(1, 31729, 32082, 29612, array([ 5856., -2160., -4080.]), array([ -905., -1188.,   433.]), array([-224.,  260.,  499.]))
(1, 33153, 33090, 32159, array([ 5776., -2080., -4128.]), array([ -856., -1160.,   494.]), array([-219.,  259.,  500.]))
(1, 34102, 34098, 32159, array([ 5760., -2128., -4096.]), array([ -811., -1162.,   552.]), array([-219.,  259.,  500.]))
(1, 35526, 35106, 34706, array([ 5792., -2160., -4112.]), array([ -786., -1155.,   597.]), array([-222.,  258.,  501.]))
(1, 36475, 36114, 34706, array([ 5792., -2160., -4208.]), array([ -813., -1138.,   649.]), array([-222.,  258.,  501.]))
(1, 37424, 37123, 37253, array([ 5792., -2176., -4176.]), array([ -794., -1141.,   640.]), array([-216.,  256.,  506.]))
(1, 38848, 38131, 37253, array([ 5760., -2112., -4240.]), array([ -738., -1122.,   651.]), array([-216.,  256.,  506.]))
(1, 39797, 39139, 39799, array([ 5728., -2064., -4320.]), array([ -735., -1101.,   671.]), array([-212.,  253.,  504.]))
(1, 40747, 41155, 39799, array([ 5664., -2096., -4336.]), array([ -536., -1075.,   662.]), array([-212.,  253.,  504.]))
(1, 42171, 42164, 39799, array([ 5648., -2128., -4368.]), array([ -520., -1051.,   674.]), array([-212.,  253.,  504.]))
(1, 43120, 43172, 42346, array([ 5616., -2144., -4336.]), array([ -381., -1072.,   649.]), array([-212.,  253.,  506.]))
(1, 44070, 44180, 42346, array([ 5520., -2096., -4320.]), array([ -362., -1009.,   625.]), array([-212.,  253.,  506.]))
(1, 45494, 45188, 44893, array([ 5472., -2096., -4368.]), array([-309., -969.,  611.]), array([-207.,  254.,  506.]))
(1, 46443, 46196, 44893, array([ 5440., -1968., -4336.]), array([-322., -949.,  582.]), array([-207.,  254.,  506.]))
(1, 47867, 47205, 47439, array([ 5456., -1920., -4288.]), array([-294., -955.,  536.]), array([-201.,  251.,  511.]))
(1, 48815, 48213, 47439, array([ 5424., -1936., -4320.]), array([-278., -895.,  502.]), array([-201.,  251.,  511.]))
(1, 49764, 49221, 49986, array([ 5424., -1904., -4384.]), array([-286., -879.,  479.]), array([-201.,  248.,  511.]))
(1, 51188, 51237, 49986, array([ 5360., -1984., -4304.]), array([-197., -796.,  417.]), array([-201.,  248.,  511.]))
(1, 52138, 52245, 49986, array([ 5376., -2000., -4240.]), array([-165., -756.,  394.]), array([-201.,  248.,  511.]))
(1, 53087, 53254, 52532, array([ 5376., -2080., -4192.]), array([-103., -735.,  350.]), array([-202.,  252.,  518.]))
(1, 54511, 54262, 52532, array([ 5456., -2160., -4240.]), array([-119., -703.,  338.]), array([-202.,  252.,  518.]))
(1, 55461, 55270, 55079, array([ 5376., -2192., -4240.]), array([-139., -675.,  304.]), array([-202.,  250.,  518.]))
(1, 56885, 56278, 55079, array([ 5360., -2288., -4208.]), array([-107., -667.,  212.]), array([-202.,  250.,  518.]))
(1, 57835, 57286, 57627, array([ 5344., -2320., -4192.]), array([-159., -659.,  184.]), array([-200.,  246.,  513.]))
(1, 58784, 58295, 57627, array([ 5360., -2272., -4336.]), array([-228., -637.,  154.]), array([-200.,  246.,  513.]))
(1, 60208, 59303, 60173, array([ 5376., -2240., -4432.]), array([-326., -533.,  104.]), array([-197.,  249.,  514.]))
(1, 61158, 61319, 60173, array([ 5296., -2288., -4496.]), array([-387., -546.,   28.]), array([-197.,  249.,  514.]))
(1, 62107, 62327, 60173, array([ 5312., -2384., -4448.]), array([-406., -498.,   37.]), array([-197.,  249.,  514.]))
(1, 63531, 63335, 62718, array([ 5216., -2544., -4416.]), array([-454., -471.,   33.]), array([-196.,  247.,  514.]))
(1, 64480, 64344, 62718, array([ 5232., -2608., -4384.]), array([-612., -413.,   15.]), array([-196.,  247.,  514.]))
(1, 368, 65352, 65264, array([ 5232., -2480., -4448.]), array([-800., -358.,   24.]), array([-195.,  246.,  518.]))
(1, 1317, 824, 65264, array([ 5232., -2416., -4528.]), array([-1006.,  -292.,   -36.]), array([-195.,  246.,  518.]))
(1, 2266, 1832, 2275, array([ 5280., -2352., -4560.]), array([-1204.,  -228.,   -43.]), array([-193.,  243.,  518.]))
(1, 3690, 2840, 2275, array([ 5328., -2272., -4560.]), array([-1333.,  -144.,   -33.]), array([-193.,  243.,  518.]))
(1, 4639, 4857, 4822, array([ 5280., -2272., -4736.]), array([-1435.,   -36.,   -78.]), array([-193.,  239.,  518.]))
(1, 5589, 5865, 4822, array([ 5264., -2304., -4768.]), array([-1442.,   -12.,  -101.]), array([-193.,  239.,  518.]))
(1, 7012, 6873, 4822, array([ 5312., -2176., -4864.]), array([-1519.,    39.,  -103.]), array([-193.,  239.,  518.]))
(1, 7962, 7881, 7368, array([ 5264., -2192., -4864.]), array([-1569.,    25.,   -93.]), array([-193.,  235.,  519.]))
(1, 8911, 8889, 7368, array([ 5280., -2128., -4864.]), array([-1607.,    15.,  -112.]), array([-193.,  235.,  519.]))
(1, 10335, 9898, 9915, array([ 5392., -2176., -4880.]), array([-1592.,     0.,  -139.]), array([-193.,  229.,  519.]))
(1, 11284, 10906, 9915, array([ 5392., -2112., -4944.]), array([-1534.,     4.,  -147.]), array([-193.,  229.,  519.]))
(1, 12708, 11914, 12461, array([ 5360., -2144., -5056.]), array([-1504.,     5.,  -147.]), array([-194.,  227.,  519.]))
(1, 13657, 12922, 12461, array([ 5344., -2144., -5104.]), array([-1443.,    -9.,  -181.]), array([-194.,  227.,  519.]))
