TOTAL_TIME,0m7s
TOTAL_FRAMES,449
SELECTED_FRAMES,449
NO_OF_JOINTS,7
FREQUENCY,64.0
DESCRIPTION,east
TIME_STAMP,Jul 17, 2009

Time,Frame,Pelvis_accelX_37,Pelvis_accelY_37,Pelvis_accelZ_37,RFEP_accelX_30,RFEP_accelY_30,RFEP_accelZ_30,RFEO_accelX_55,RFEO_accelY_55,RFEO_accelZ_55,RTIO_accelX_44,RTIO_accelY_44,RTIO_accelZ_44,LFEP_accelX_25,LFEP_accelY_25,LFEP_accelZ_25,LFEO_accelX_28,LFEO_accelY_28,LFEO_accelZ_28,LTIO_accelX_70,LTIO_accelY_70,LTIO_accelZ_70
3.65625,234,-0.6064453,-0.48406982,0.107788086,-1.0496826,0.20916748,-0.43621826,-0.678833,0.1619873,-0.74853516,0.50909424,-0.24682617,0.82702637,-0.88360596,0.09503174,0.05609131,-1.0144653,-0.08343506,-0.08691406,-0.5054321,0.2590332,0.8751831
3.671875,235,-0.5554199,-0.4683838,0.073913574,-0.93865967,0.10247803,-0.40863037,-0.53808594,0.11248779,-0.7366333,0.48901367,-0.19519043,0.7172241,-0.9038086,0.18206787,-0.05706787,-0.9645996,0.042663574,-0.07897949,-0.48205566,0.3036499,0.84924316
3.6875,236,-0.6535034,-0.41357422,0.0579834,-0.8897095,-0.012023926,-0.42834473,-0.479187,0.10443115,-0.7207031,0.43988037,-0.15649414,0.6843262,-1.0596924,0.118774414,-0.16113281,-1.0042725,0.040649414,-0.055358887,-0.49017334,0.21539307,0.8552246
3.703125,237,-0.76568604,-0.27270508,0.014099121,-0.8897095,-0.10498047,-0.4440918,-0.44122314,0.049865723,-0.7366333,0.3727417,-0.17340088,0.68829346,-0.9827881,0.09899902,-0.0065307617,-0.9737549,-0.024353027,-0.18157959,-0.48205566,0.28186035,0.847229
3.71875,238,-0.8217163,-0.11230469,-0.055664062,-0.8734131,-0.14416504,-0.45593262,-0.4312744,4.272461E-4,-0.7366333,0.26550293,-0.16149902,0.72320557,-0.8724365,0.033691406,-0.078308105,-0.94525146,-0.13861084,-0.16778564,-0.539978,0.3086548,0.84625244
3.734375,239,-0.817749,-0.17492676,-0.08557129,-0.89178467,-0.13336182,-0.36328125,-0.5220947,0.03173828,-0.77630615,0.0049438477,-0.15057373,0.75115967,-0.8269043,-0.04736328,-0.030761719,-0.9574585,-0.26080322,-0.15002441,-0.5227051,0.27392578,0.8312988
3.75,240,-0.7576904,-0.16705322,-0.09051514,-0.8184204,-0.1607666,-0.40270996,-0.48120117,0.023620605,-0.80804443,-0.023132324,-0.15252686,0.6843262,-0.86535645,-0.1027832,-0.1227417,-0.98187256,-0.19378662,-0.14013672,-0.5440674,0.3036499,0.8432617
3.765625,241,-0.7015991,-0.21014404,-0.09753418,-0.68188477,-0.16467285,-0.43029785,-0.35437012,0.015563965,-0.8557129,-0.06121826,-0.16345215,0.7102661,-0.9402466,-0.05529785,-0.1237793,-0.9716797,-0.1071167,-0.11450195,-0.48712158,0.25604248,0.8552246
3.78125,242,-0.6755371,-0.2668457,-0.089538574,-0.5474243,-0.14215088,-0.46777344,-0.28948975,0.023620605,-0.8557129,-0.115356445,-0.21209717,0.72320557,-1.0172119,0.03967285,-0.20861816,-0.98291016,-0.11694336,-0.10662842,-0.53082275,0.27191162,0.84924316
3.796875,243,-0.7196045,-0.29229736,-0.11541748,-0.45776367,-0.12261963,-0.5150757,-0.27453613,0.11248779,-0.8517456,-0.20959473,-0.272583,0.7701416,-0.96661377,0.15435791,-0.17022705,-0.95336914,-0.114990234,-0.055358887,-0.5054321,0.24414062,0.8372803
