(1, 23850, 24116, 24006, array([ 7504.,    64., -2368.]), array([  966., -1345.,  -266.]), array([-509.,   23.,  143.]))
(1, 25274, 25124, 24006, array([ 7504.,   128., -2320.]), array([  987., -1321.,  -246.]), array([-509.,   23.,  143.]))
(1, 26223, 26132, 24006, array([ 7472.,   144., -2352.]), array([  948., -1281.,  -217.]), array([-509.,   23.,  143.]))
(1, 27173, 27140, 26552, array([ 7408.,   192., -2336.]), array([  946., -1296.,  -166.]), array([-506.,   19.,  149.]))
(1, 28597, 28149, 26552, array([ 7472.,   160., -2320.]), array([  937., -1275.,  -167.]), array([-506.,   19.,  149.]))
(1, 29546, 29157, 29098, array([ 7440.,   176., -2304.]), array([  997., -1242.,  -196.]), array([-507.,   20.,  148.]))
(1, 30496, 30165, 29098, array([ 7488.,   160., -2352.]), array([  996., -1249.,  -201.]), array([-507.,   20.,  148.]))
(1, 31919, 31173, 31644, array([ 7392.,    80., -2304.]), array([ 1001., -1212.,  -190.]), array([-507.,   20.,  148.]))
(1, 32869, 32181, 31644, array([ 7376.,    80., -2288.]), array([ 1030., -1178.,  -199.]), array([-507.,   20.,  148.]))
(1, 34293, 34198, 34191, array([ 7376.,    96., -2208.]), array([  873., -1132.,  -187.]), array([-507.,   17.,  153.]))
(1, 35242, 35206, 34191, array([ 7408.,   128., -2224.]), array([  815., -1114.,  -177.]), array([-507.,   17.,  153.]))
(1, 36191, 36214, 34191, array([ 7424.,   128., -2224.]), array([  776., -1108.,  -157.]), array([-507.,   17.,  153.]))
(1, 37615, 37223, 36737, array([ 7424.,   112., -2224.]), array([  752., -1083.,  -120.]), array([-508.,   20.,  156.]))
(1, 38565, 38231, 36737, array([ 7392.,   128., -2208.]), array([  718., -1040.,  -132.]), array([-508.,   20.,  156.]))
(1, 39514, 39239, 39283, array([ 7312.,   112., -2208.]), array([  722., -1019.,  -139.]), array([-507.,   17.,  161.]))
(1, 40938, 40247, 39283, array([ 7280.,   112., -2224.]), array([ 729., -983., -145.]), array([-507.,   17.,  161.]))
(1, 41888, 41255, 41830, array([ 7280.,    96., -2192.]), array([ 659., -947., -128.]), array([-507.,   18.,  163.]))
