(1, 64360, 63967, 64332, array([ 7696.,   -80., -1520.]), array([ -62.,  169.,   -2.]), array([-492.,  -29.,  110.]))
(1, 248, 64975, 64332, array([ 7712.,   -48., -1520.]), array([ -30.,  169.,  -33.]), array([-492.,  -29.,  110.]))
(1, 1197, 1456, 1340, array([ 7744.,     0., -1520.]), array([ -21.,  225., -102.]), array([-490.,  -28.,  111.]))
(1, 2621, 2464, 1340, array([ 7808.,   -16., -1504.]), array([   3.,  213.,  -54.]), array([-490.,  -28.,  111.]))
(1, 3571, 3472, 1340, array([ 7808.,   -32., -1536.]), array([  21.,  182.,  -73.]), array([-490.,  -28.,  111.]))
(1, 4520, 4481, 3885, array([ 7808.,   -48., -1568.]), array([  94.,  207.,  -56.]), array([-493.,  -29.,  117.]))
(1, 5944, 5489, 3885, array([ 7792.,   -48., -1536.]), array([ 112.,  208.,  -57.]), array([-493.,  -29.,  117.]))
(1, 6893, 6497, 6429, array([ 7760.,   -32., -1552.]), array([ 131.,  195.,  -55.]), array([-490.,  -30.,  112.]))
(1, 7843, 7505, 6429, array([ 7792.,   -64., -1536.]), array([ 118.,  179.,  -15.]), array([-490.,  -30.,  112.]))
(1, 9266, 8514, 8974, array([ 7792.,   -96., -1520.]), array([ 141.,  157.,  -27.]), array([-490.,  -26.,  112.]))
(1, 10216, 9522, 8974, array([ 7792.,  -112., -1504.]), array([ 227.,  144.,  -38.]), array([-490.,  -26.,  112.]))
(1, 11165, 11538, 11520, array([ 7728.,   -48., -1504.]), array([ 192.,  153.,  -16.]), array([-492.,  -29.,  108.]))
(1, 12590, 12547, 11520, array([ 7760.,  -112., -1552.]), array([ 202.,  129.,  -39.]), array([-492.,  -29.,  108.]))
(1, 13539, 13555, 11520, array([ 7808.,  -112., -1568.]), array([ 206.,  149.,  -41.]), array([-492.,  -29.,  108.]))
(1, 14963, 14563, 14065, array([ 7744.,   -96., -1600.]), array([ 177.,  166.,  -17.]), array([-493.,  -29.,  112.]))
(1, 15912, 15571, 14065, array([ 7776.,    16., -1520.]), array([ 152.,  154.,  -38.]), array([-493.,  -29.,  112.]))
(1, 16862, 16579, 16610, array([ 7760.,   -64., -1536.]), array([ 150.,  166.,  -43.]), array([-493.,  -30.,  112.]))
(1, 18286, 17588, 16610, array([ 7776.,   -64., -1504.]), array([ 118.,  191.,  -14.]), array([-493.,  -30.,  112.]))
(1, 19236, 18596, 19156, array([ 7776.,   -96., -1520.]), array([ 107.,  161.,    8.]), array([-492.,  -32.,  110.]))
(1, 20185, 20612, 19156, array([ 7760.,   -80., -1504.]), array([  92.,  170.,   18.]), array([-492.,  -32.,  110.]))
(1, 21610, 21621, 21701, array([ 7744.,   -64., -1568.]), array([ 128.,  170.,   22.]), array([-490.,  -30.,  110.]))
(1, 22560, 22629, 21701, array([ 7808.,   -32., -1520.]), array([ 163.,  161.,   28.]), array([-490.,  -30.,  110.]))
(1, 23984, 23637, 21701, array([ 7760.,   -64., -1600.]), array([ 142.,  208.,   -6.]), array([-490.,  -30.,  110.]))
(1, 24933, 24645, 24245, array([ 7824.,   -16., -1616.]), array([ 137.,  193.,  -19.]), array([-493.,  -27.,  112.]))
(1, 25882, 25654, 24245, array([ 7728.,   -64., -1568.]), array([ 120.,  173.,    0.]), array([-493.,  -27.,  112.]))
(1, 27306, 26662, 26790, array([ 7792.,   -32., -1536.]), array([ 207.,  168.,   25.]), array([-494.,  -30.,  110.]))
(1, 28256, 27670, 26790, array([ 7840.,     0., -1584.]), array([ 217.,  194.,   -8.]), array([-494.,  -30.,  110.]))
(1, 29205, 28678, 29336, array([ 7760.,     0., -1552.]), array([ 197.,  231.,  -15.]), array([-491.,  -27.,  108.]))
(1, 30629, 30695, 29336, array([ 7744.,   -32., -1520.]), array([ 254.,  201.,    0.]), array([-491.,  -27.,  108.]))
(1, 31579, 31703, 31881, array([ 7792.,   -48., -1488.]), array([ 291.,  168.,    0.]), array([-491.,  -29.,  110.]))
(1, 33003, 32711, 31881, array([ 7760.,   -48., -1536.]), array([ 266.,  171.,   35.]), array([-491.,  -29.,  110.]))
(1, 33953, 33719, 31881, array([ 7776.,   -64., -1536.]), array([ 248.,  200.,   47.]), array([-491.,  -29.,  110.]))
(1, 34902, 34728, 34427, array([ 7760.,  -112., -1504.]), array([ 259.,  199.,   37.]), array([-491.,  -29.,  109.]))
(1, 36326, 35736, 34427, array([ 7760.,  -112., -1552.]), array([ 237.,  206.,   50.]), array([-491.,  -29.,  109.]))
(1, 37276, 36744, 36973, array([ 7760.,   -96., -1568.]), array([ 240.,  221.,   68.]), array([-493.,  -32.,  109.]))
(1, 38225, 37752, 36973, array([ 7760.,   -64., -1536.]), array([ 240.,  230.,   71.]), array([-493.,  -32.,  109.]))
(1, 39649, 38761, 39520, array([ 7776.,   -48., -1488.]), array([ 213.,  187.,   74.]), array([-491.,  -27.,  110.]))
(1, 40599, 40777, 39520, array([ 7728.,   -32., -1504.]), array([ 197.,  195.,   88.]), array([-491.,  -27.,  110.]))
(1, 41549, 41785, 39520, array([ 7728.,     0., -1456.]), array([ 240.,  209.,  102.]), array([-491.,  -27.,  110.]))
(1, 42973, 42794, 42065, array([ 7760.,   -64., -1456.]), array([ 248.,  239.,   96.]), array([-486.,  -29.,  108.]))
(1, 43922, 43802, 42065, array([ 7776.,   -80., -1472.]), array([ 226.,  230.,   88.]), array([-486.,  -29.,  108.]))
(1, 45345, 44810, 44610, array([ 7744.,   -16., -1424.]), array([ 236.,  185.,   94.]), array([-486.,  -28.,  108.]))
(1, 46294, 45818, 44610, array([ 7744.,    64., -1408.]), array([ 231.,  200.,   95.]), array([-486.,  -28.,  108.]))
(1, 47244, 46827, 47155, array([ 7760.,    64., -1424.]), array([ 231.,  203.,   80.]), array([-494.,  -29.,  109.]))
(1, 48667, 47835, 47155, array([ 7776.,     0., -1408.]), array([ 279.,  193.,   73.]), array([-494.,  -29.,  109.]))
(1, 49617, 49851, 49700, array([ 7776.,   -48., -1392.]), array([ 361.,  184.,   97.]), array([-490.,  -28.,  108.]))
(1, 50567, 50859, 49700, array([ 7744.,   -80., -1440.]), array([ 307.,  189.,  106.]), array([-490.,  -28.,  108.]))
(1, 51990, 51868, 49700, array([ 7792.,    16., -1360.]), array([ 323.,  203.,   74.]), array([-490.,  -28.,  108.]))
(1, 52939, 52876, 52245, array([ 7760.,   -16., -1424.]), array([ 329.,  220.,   52.]), array([-490.,  -28.,  108.]))
(1, 54363, 53884, 52245, array([ 7776.,    16., -1312.]), array([ 302.,  239.,   74.]), array([-490.,  -28.,  108.]))
(1, 55312, 54892, 54791, array([ 7792.,    16., -1344.]), array([ 310.,  258.,   40.]), array([-491.,  -27.,  114.]))
(1, 56261, 55901, 54791, array([ 7824.,   -80., -1360.]), array([ 272.,  256.,   44.]), array([-491.,  -27.,  114.]))
(1, 57686, 56909, 57336, array([ 7808.,   -32., -1376.]), array([ 295.,  217.,   64.]), array([-494.,  -28.,  107.]))
(1, 58635, 57917, 57336, array([ 7792.,   -48., -1376.]), array([ 327.,  234.,   38.]), array([-494.,  -28.,  107.]))
(1, 59585, 59934, 59880, array([ 7824.,   -32., -1376.]), array([ 333.,  250.,   38.]), array([-492.,  -26.,  108.]))
(1, 61008, 60942, 59880, array([ 7808.,   -48., -1344.]), array([ 280.,  273.,   56.]), array([-492.,  -26.,  108.]))
(1, 61958, 61950, 59880, array([ 7840.,    16., -1344.]), array([ 325.,  259.,   57.]), array([-492.,  -26.,  108.]))
(1, 62907, 62958, 62423, array([ 7856.,   -64., -1296.]), array([ 318.,  273.,   55.]), array([-489.,  -27.,  107.]))
(1, 64331, 63967, 62423, array([ 7824.,   -32., -1296.]), array([ 317.,  307.,   60.]), array([-489.,  -27.,  107.]))
(1, 65281, 64975, 64966, array([ 7808.,   -16., -1328.]), array([ 305.,  287.,   41.]), array([-492.,  -28.,  107.]))
(1, 1169, 447, 64966, array([ 7792.,     0., -1264.]), array([ 314.,  297.,   40.]), array([-492.,  -28.,  107.]))
(1, 2118, 1455, 1974, array([ 7808.,   -48., -1264.]), array([ 277.,  315.,   20.]), array([-490.,  -25.,  106.]))
(1, 3068, 2464, 1974, array([ 7824.,   -32., -1264.]), array([ 270.,  322.,   12.]), array([-490.,  -25.,  106.]))
(1, 4492, 4480, 4519, array([ 7872.,   -64., -1264.]), array([ 262.,  327.,   -6.]), array([-491.,  -28.,  106.]))
(1, 5442, 5488, 4519, array([ 7840.,   -64., -1248.]), array([ 194.,  343.,   -4.]), array([-491.,  -28.,  106.]))
(1, 6392, 6496, 4519, array([ 7792.,    16., -1248.]), array([ 225.,  368.,   -8.]), array([-491.,  -28.,  106.]))
(1, 7816, 7505, 7064, array([ 7888.,   -32., -1216.]), array([ 288.,  396.,  -28.]), array([-491.,  -27.,  106.]))
(1, 8765, 8513, 7064, array([ 7824.,     0., -1216.]), array([ 253.,  415.,   -7.]), array([-491.,  -27.,  106.]))
(1, 10189, 9521, 9610, array([ 7840.,    16., -1184.]), array([ 279.,  442.,   -3.]), array([-496.,  -25.,  103.]))
(1, 11138, 10529, 9610, array([ 7792.,   -16., -1200.]), array([ 267.,  424.,   -3.]), array([-496.,  -25.,  103.]))
(1, 12088, 11538, 12154, array([ 7840.,   -64., -1232.]), array([ 301.,  386.,  -15.]), array([-494.,  -26.,  103.]))
(1, 13511, 13554, 12154, array([ 7856.,   -48., -1184.]), array([ 321.,  461.,  -39.]), array([-494.,  -26.,  103.]))
(1, 14460, 14562, 14700, array([ 7888.,    48., -1104.]), array([ 309.,  499.,  -43.]), array([-492.,  -30.,  101.]))
(1, 15409, 15571, 14700, array([ 7872.,     0., -1104.]), array([ 288.,  458.,  -54.]), array([-492.,  -30.,  101.]))
(1, 16834, 16579, 14700, array([ 7872.,   -32., -1056.]), array([ 287.,  484.,  -24.]), array([-492.,  -30.,  101.]))
(1, 17783, 17587, 17245, array([ 7872.,     0., -1120.]), array([ 330.,  526.,  -30.]), array([-490.,  -28.,  103.]))
(1, 19207, 18595, 17245, array([ 7936.,     0., -1008.]), array([ 365.,  533.,  -20.]), array([-490.,  -28.,  103.]))
(1, 20156, 19604, 19791, array([ 7840.,    16., -1072.]), array([ 408.,  553.,  -38.]), array([-493.,  -26.,  101.]))
(1, 21106, 20612, 19791, array([ 7856.,    32., -1056.]), array([ 417.,  576.,  -65.]), array([-493.,  -26.,  101.]))
(1, 22529, 21620, 22335, array([ 7824.,    16., -1024.]), array([ 388.,  585.,  -58.]), array([-491.,  -30.,  102.]))
(1, 23479, 23637, 22335, array([ 7888.,    16., -1008.]), array([ 349.,  587.,  -45.]), array([-491.,  -30.,  102.]))
(1, 24429, 24645, 22335, array([ 7840.,    32.,  -960.]), array([ 392.,  634.,  -49.]), array([-491.,  -30.,  102.]))
(1, 25853, 25653, 24880, array([ 7840.,   -16., -1104.]), array([ 375.,  657.,  -87.]), array([-493.,  -29.,  100.]))
(1, 26802, 26661, 24880, array([ 7824.,    16.,  -992.]), array([ 349.,  717.,  -87.]), array([-493.,  -29.,  100.]))
(1, 27752, 27669, 27426, array([ 7904.,     0.,  -960.]), array([ 290.,  735., -104.]), array([-494.,  -28.,  100.]))
(1, 29176, 28678, 27426, array([ 7888.,   -32., -1008.]), array([ 249.,  753., -120.]), array([-494.,  -28.,  100.]))
(1, 30126, 29686, 29971, array([ 7936.,   -80., -1024.]), array([ 265.,  765., -118.]), array([-492.,  -26.,  100.]))
(1, 31550, 30694, 29971, array([ 7936.,   -16.,  -944.]), array([ 255.,  809., -125.]), array([-492.,  -26.,  100.]))
(1, 32500, 32711, 32513, array([ 7936.,    32.,  -880.]), array([ 275.,  859., -117.]), array([-493.,  -30.,   95.]))
(1, 33449, 33719, 32513, array([ 7968.,    48.,  -896.]), array([ 229.,  890., -124.]), array([-493.,  -30.,   95.]))
(1, 34873, 34727, 32513, array([ 7968.,    48.,  -912.]), array([ 246.,  868., -112.]), array([-493.,  -30.,   95.]))
(1, 35822, 35735, 35058, array([ 8000.,    16.,  -960.]), array([ 254.,  904., -134.]), array([-493.,  -31.,   95.]))
(1, 36771, 36744, 35058, array([ 7952.,    16.,  -944.]), array([ 277.,  937., -153.]), array([-493.,  -31.,   95.]))
(1, 38195, 37752, 37603, array([ 7920.,    64.,  -912.]), array([ 236.,  961., -148.]), array([-491.,  -30.,   95.]))
(1, 39145, 38760, 37603, array([ 7920.,   112.,  -944.]), array([ 235.,  954., -124.]), array([-491.,  -30.,   95.]))
(1, 40569, 39768, 40148, array([ 7968.,    80.,  -832.]), array([ 296.,  968., -148.]), array([-493.,  -26.,   89.]))
(1, 41518, 40777, 40148, array([ 7984.,   112.,  -768.]), array([ 289.,  983., -192.]), array([-493.,  -26.,   89.]))
(1, 42468, 42793, 42694, array([ 7904.,    96.,  -832.]), array([  242.,  1022.,  -216.]), array([-494.,  -26.,   89.]))
(1, 43892, 43801, 42694, array([ 7936.,    96.,  -784.]), array([  241.,  1024.,  -225.]), array([-494.,  -26.,   89.]))
(1, 44842, 44810, 42694, array([ 7952.,   128.,  -864.]), array([  267.,  1044.,  -217.]), array([-494.,  -26.,   89.]))
(1, 45791, 45818, 45240, array([ 7952.,   128.,  -800.]), array([  172.,  1071.,  -228.]), array([-492.,  -30.,   91.]))
(1, 47216, 46826, 45240, array([ 7888.,   160.,  -800.]), array([  205.,  1094.,  -220.]), array([-492.,  -30.,   91.]))
(1, 48165, 47834, 47785, array([ 7904.,   160.,  -880.]), array([  173.,  1097.,  -242.]), array([-491.,  -30.,   90.]))
