(1, 61187, 61147, 60110, array([ 6816., -1152., -3056.]), array([ -40., -339.,  395.]), array([-470.,   28.,  251.]))
(1, 62137, 62155, 60110, array([ 6752., -1184., -3072.]), array([ -74., -304.,  440.]), array([-470.,   28.,  251.]))
(1, 63560, 63163, 62656, array([ 6752., -1184., -3056.]), array([ -27., -278.,  413.]), array([-474.,   28.,  249.]))
(1, 64510, 64172, 62656, array([ 6688., -1152., -2992.]), array([ -86., -240.,  384.]), array([-474.,   28.,  249.]))
(1, 65459, 65180, 65201, array([ 6704., -1168., -3104.]), array([ -82., -224.,  390.]), array([-474.,   27.,  249.]))
(1, 1347, 652, 65201, array([ 6752., -1168., -3056.]), array([ -97., -229.,  382.]), array([-474.,   27.,  249.]))
(1, 3245, 2669, 2210, array([ 6784., -1136., -3040.]), array([-114., -182.,  358.]), array([-471.,   27.,  252.]))
(1, 4669, 4685, 4756, array([ 6800., -1104., -3104.]), array([-171., -123.,  312.]), array([-469.,   30.,  253.]))
(1, 5619, 5693, 4756, array([ 6784., -1136., -3072.]), array([-145., -123.,  277.]), array([-469.,   30.,  253.]))
(1, 7043, 6701, 4756, array([ 6800., -1104., -3168.]), array([-141.,  -97.,  275.]), array([-469.,   30.,  253.]))
(1, 7992, 7710, 7302, array([ 6752., -1072., -3136.]), array([-111.,  -86.,  248.]), array([-472.,   32.,  252.]))
(1, 8942, 8718, 7302, array([ 6688., -1072., -3104.]), array([-201.,  -78.,  260.]), array([-472.,   32.,  252.]))
(1, 10365, 9726, 9846, array([ 6768., -1056., -3152.]), array([-139.,  -72.,  250.]), array([-469.,   30.,  253.]))
(1, 11314, 10734, 9846, array([ 6800., -1168., -3184.]), array([-131.,  -35.,  226.]), array([-469.,   30.,  253.]))
(1, 13688, 13759, 12391, array([ 6800., -1168., -3184.]), array([-228.,   30.,  166.]), array([-471.,   30.,  252.]))
(1, 14638, 14767, 12391, array([ 6800., -1136., -3216.]), array([-183.,    1.,  176.]), array([-471.,   30.,  252.]))
(1, 15587, 15776, 14937, array([ 6816., -1104., -3248.]), array([-203.,   46.,  152.]), array([-472.,   34.,  252.]))
(1, 17011, 16784, 14937, array([ 6816., -1136., -3280.]), array([-219.,  101.,  126.]), array([-472.,   34.,  252.]))
(1, 17961, 17792, 17483, array([ 6768., -1120., -3296.]), array([-234.,   96.,  123.]), array([-472.,   30.,  253.]))
(1, 19385, 18800, 17483, array([ 6800., -1120., -3376.]), array([-195.,   99.,  118.]), array([-472.,   30.,  253.]))
(1, 20334, 19809, 20028, array([ 6784., -1120., -3376.]), array([-160.,  135.,  129.]), array([-472.,   32.,  257.]))
(1, 22707, 21825, 22574, array([ 6784., -1120., -3360.]), array([-135.,  150.,  167.]), array([-471.,   31.,  252.]))
(1, 23656, 23841, 22574, array([ 6752., -1136., -3456.]), array([-130.,  150.,  132.]), array([-471.,   31.,  252.]))
(1, 24605, 24850, 22574, array([ 6752., -1152., -3424.]), array([ -93.,  160.,  147.]), array([-471.,   31.,  252.]))
(1, 26029, 25858, 25119, array([ 6768., -1088., -3472.]), array([-100.,  160.,  133.]), array([-471.,   31.,  255.]))
(1, 26978, 26866, 25119, array([ 6752., -1088., -3456.]), array([ -66.,  132.,  145.]), array([-471.,   31.,  255.]))
(1, 28402, 27874, 27665, array([ 6752., -1088., -3536.]), array([ -37.,  120.,  143.]), array([-471.,   29.,  255.]))
(1, 30301, 29891, 30211, array([ 6720., -1072., -3568.]), array([   1.,  146.,  123.]), array([-469.,   29.,  252.]))
(1, 32674, 32916, 32756, array([ 6800., -1120., -3632.]), array([ 132.,  102.,   99.]), array([-471.,   31.,  257.]))
(1, 33624, 33924, 32756, array([ 6832., -1104., -3584.]), array([ 114.,  138.,   91.]), array([-471.,   31.,  257.]))
(1, 35047, 34932, 32756, array([ 6784., -1072., -3648.]), array([ 144.,  114.,   94.]), array([-471.,   31.,  257.]))
(1, 35997, 35940, 35301, array([ 6752., -1104., -3616.]), array([ 152.,  107.,   90.]), array([-468.,   30.,  255.]))
(1, 36946, 36949, 35301, array([ 6784., -1152., -3664.]), array([ 158.,  128.,   94.]), array([-468.,   30.,  255.]))
(1, 38371, 37957, 37848, array([ 6768., -1200., -3584.]), array([ 173.,  121.,   95.]), array([-469.,   31.,  257.]))
(1, 40744, 39973, 40395, array([ 6800., -1216., -3616.]), array([ 237.,  124.,   72.]), array([-470.,   30.,  253.]))
(1, 41693, 40981, 40395, array([ 6752., -1168., -3600.]), array([ 189.,   84.,   88.]), array([-470.,   30.,  253.]))
(1, 42643, 42998, 42941, array([ 6800., -1152., -3600.]), array([ 199.,   91.,   95.]), array([-469.,   31.,  253.]))
(1, 44066, 44006, 42941, array([ 6752., -1152., -3600.]), array([ 187.,   64.,   94.]), array([-469.,   31.,  253.]))
(1, 45015, 45014, 42941, array([ 6720., -1184., -3552.]), array([ 232.,   83.,   57.]), array([-469.,   31.,  253.]))
(1, 45965, 46023, 45486, array([ 6720., -1168., -3584.]), array([ 251.,   81.,   70.]), array([-469.,   30.,  253.]))
(1, 62101, 62154, 60762, array([ 6720., -1184., -3568.]), array([ 164.,   57.,  -43.]), array([-473.,   30.,  258.]))
(1, 63050, 63163, 60762, array([ 6752., -1248., -3536.]), array([ 181.,   40.,  -21.]), array([-473.,   30.,  258.]))
(1, 63999, 64171, 63307, array([ 6784., -1200., -3520.]), array([ 173.,   77.,   -5.]), array([-472.,   31.,  256.]))
(1, 65423, 65179, 63307, array([ 6752., -1216., -3504.]), array([ 200.,   56.,  -16.]), array([-472.,   31.,  256.]))
(1, 836, 651, 317, array([ 6704., -1216., -3520.]), array([ 184.,   46.,  -14.]), array([-470.,   30.,  255.]))
(1, 1785, 1660, 317, array([ 6736., -1248., -3520.]), array([ 192.,   84.,    6.]), array([-470.,   30.,  255.]))
(1, 3209, 2668, 2863, array([ 6752., -1248., -3552.]), array([ 176.,   99.,  -10.]), array([-468.,   28.,  258.]))
(1, 5583, 4684, 5410, array([ 6704., -1248., -3456.]), array([ 210.,   53.,  -15.]), array([-470.,   30.,  254.]))
(1, 6532, 6701, 5410, array([ 6688., -1264., -3488.]), array([ 200.,  104.,  -11.]), array([-470.,   30.,  254.]))
(1, 7481, 7709, 5410, array([ 6672., -1264., -3520.]), array([ 240.,   90.,  -53.]), array([-470.,   30.,  254.]))
(1, 8905, 8717, 7956, array([ 6752., -1248., -3440.]), array([ 220.,  121.,  -53.]), array([-466.,   30.,  257.]))
(1, 9854, 9725, 7956, array([ 6720., -1280., -3472.]), array([ 225.,  134.,  -24.]), array([-466.,   30.,  257.]))
(1, 10803, 10734, 10504, array([ 6688., -1200., -3440.]), array([ 215.,  107.,  -66.]), array([-466.,   28.,  257.]))
(1, 12227, 11742, 10504, array([ 6704., -1216., -3456.]), array([ 233.,  112.,  -45.]), array([-466.,   28.,  257.]))
(1, 13176, 12750, 13049, array([ 6720., -1168., -3408.]), array([ 261.,  135.,  -53.]), array([-470.,   30.,  251.]))
(1, 14600, 13758, 13049, array([ 6752., -1200., -3376.]), array([ 229.,  108.,  -49.]), array([-470.,   30.,  251.]))
(1, 15549, 14767, 15596, array([ 6720., -1216., -3328.]), array([ 242.,  110.,  -69.]), array([-468.,   28.,  254.]))
(1, 16499, 16783, 15596, array([ 6704., -1168., -3248.]), array([ 291.,  181.,  -91.]), array([-468.,   28.,  254.]))
(1, 17923, 17791, 15596, array([ 6736., -1168., -3280.]), array([ 329.,  169.,  -82.]), array([-468.,   28.,  254.]))
(1, 18872, 18800, 18143, array([ 6736., -1168., -3216.]), array([ 316.,  181.,  -73.]), array([-468.,   28.,  254.]))
